time,nod1,nod2,u2_mean,v2_mean,trend,total,total_nodal,total_wind,rate_slr
1890,1.1951167206582218,0.0,2.296633469179744,0.20187233348065153,-15.334097643362245,-11.640475120043629,1.1951167206582218,2.4985058026603952,
1891,1.1276671363634958,0.2747611111991339,3.343496413753132,0.5986965184745716,-15.15032848547687,-9.805707305686536,1.4024282475626297,3.9421929322277034,1.836641960579506
1892,0.9329317761176964,0.5185084771959889,1.2175513482316525,0.07645891824208226,-14.966769251246344,-12.221318731458924,1.4514402533136854,1.2940102664737347,1.8333667990492675
1893,0.6328914537928424,0.7037290388470742,4.181041266126075,0.43935704998906755,-14.783655125667016,-8.826636316911957,1.3366204926399166,4.620398316115143,1.8285847617167228
1894,0.2614133133467574,0.8095159681074757,2.1945567585490093,0.43065676977900424,-14.601052298903,-10.904909489120753,1.070929281454233,2.625213528328014,1.8235090636202145
1895,-0.139571935500647,0.8239285326970865,2.6404363253957936,0.4165071568062979,-14.418953312942973,-10.677653233544442,0.6843565971964396,3.0569434822020916,1.8191603760100783
1896,-0.5248029590644422,0.7453399099409552,3.9955800894679347,0.3830987135311036,-14.237220223700984,-9.638004469825432,0.22053695087651304,4.378678802999039,1.8163975921992837
1897,-0.8507966866994459,0.5826208148806667,3.236291299136947,0.7807078241662024,-14.055673794503116,-10.306850543018747,-0.2681758718187791,4.016999123303149,1.8149785932253515
1898,-1.080756475815705,0.35413821557702324,7.144877806231166,0.46284644752038057,-13.874224505055913,-6.993118511543049,-0.7266182602386819,7.607724253751547,1.814353813261853
1899,-1.1887255442641886,0.08568215592318,4.872985854174878,0.35897039091243244,-13.692803031850746,-9.563890175104444,-1.1030433883410087,5.231956245087311,1.8157698314627257
1900,-1.1625168501306506,-0.1924453035171404,2.980542038504615,0.8067271226449266,-13.511070538763368,-11.078763531261618,-1.354962153647791,3.7872691611495415,1.8214397964013163
1901,-1.0050887078519293,-0.44885043994527024,1.9767164136902218,0.444903208486757,-13.328515072570482,-12.360834598190703,-1.4539391477971995,2.421619622176979,1.8327048311375105
1902,-0.7342108675611194,-0.6545914444748208,2.876410467962944,0.17234794339325102,-13.144529572535866,-11.484573473215612,-1.3888023120359403,3.0487584113561947,1.8504131288801595
1903,-0.3804587490585668,-0.7864452377395267,6.99003139443742,1.5068867119523235,-12.95843244679445,-5.628418327202801,-1.1669039867980935,8.496918106389742,1.875339486137415
1904,0.01623776813193622,-0.8295287821420413,2.783844043764205,0.48128878690294724,-12.769461675308383,-10.317619858651335,-0.8132910140101051,3.2651328306671523,1.9081925721583648
1905,0.41110144223449474,-0.7789790093147957,4.067871521441199,0.38548219507429826,-12.576793932362778,-8.491317782927581,-0.36787756708030095,4.4533537165154975,1.9473824886346502
1906,0.7595619142022739,-0.6405017404624544,5.443820802289035,0.6736329536175092,-12.379985177581453,-6.14347124793509,0.11906017373981947,6.117453755906544,1.9887559591879267
1907,1.0222866007467963,-0.4297276400329474,5.425934935745247,0.4900086283176517,-12.179042740525192,-5.670540215748444,0.592558960713849,5.915943564062899,2.027624635859926
1908,1.1696203718124292,-0.17044789964517432,3.4774719961601925,0.3610405367129464,-11.974460250409468,-7.1367752453690745,0.9991724721672548,3.838512532873139,2.0582645958521173
1909,1.1849328825313046,0.1080712000055914,3.206687836666831,0.827365886766397,-11.767389821354769,-6.440332015384645,1.293004082536896,4.034053723433228,2.0767771712171523
1910,1.0664957285314578,0.37439172961109046,2.9896253056298567,0.9682068275343629,-11.559104816166037,-6.160385224859269,1.4408874581425484,3.95783213316422,2.0819346944203687
1911,0.8276775401136014,0.5984526772207097,4.939211076514935,0.9786627592798884,-11.351002882470695,-4.00699882934156,1.4261302173343111,5.917873835794824,2.0737449658333773
1912,0.49543499398113494,0.7549630942405275,4.312560324088262,1.8411530327164427,-11.144355822999362,-3.740244377972994,1.2503980882216625,6.153713356804705,2.0543572582814296
1913,0.10727007003993928,0.8262568190592066,3.8493342412764218,1.086822185001627,-10.940131430814409,-5.070448115437214,0.9335268890991458,4.936156426278049,2.026509921219768
1914,-0.29300299615446584,0.8042865504906417,2.468766379944663,2.4291335692618214,-10.739053838755408,-5.329870335212748,0.5112835543361758,4.897899949206485,1.994214826289209
1915,-0.6602032587538482,0.6915321893782879,4.926061898763892,2.2159140770694337,-10.541288465556567,-3.3679835590988016,0.031328930624439644,7.141975975833326,1.9606181860684124
1916,-0.9528828748201555,0.5007209190222939,9.25484422973377,2.1029971346744807,-10.346930201541726,0.5587492070686633,-0.45216195579786167,11.357841364408252,1.9256466049633492
1917,-1.1380055423855908,0.2533906204376174,3.400846021347859,1.580681646091848,-10.156159144563897,-6.059246399072164,-0.8846149219479734,4.981527667439707,1.88879384691238
1918,-1.194675483230364,-0.022541222610911738,2.85301266637653,1.4446696047985437,-9.96917143215925,-6.888705866825452,-1.2172167058412757,4.2976822711750735,1.8500330183315494
1919,-1.1164960602964953,-0.2959287182022943,2.979917797578919,0.4381133316657299,-9.786152540897588,-7.780546190151728,-1.4124247784987896,3.418031129244649,1.809387569135108
1920,-0.9122918000693762,-0.5359131684197934,2.275435595318362,1.3747254653430674,-9.607293918332228,-7.405337826159968,-1.4482049684891696,3.6501610606614294,1.7665785739073225
1921,-0.6051123214279815,-0.7154062543995366,6.330577824441503,0.16184798779764456,-9.432836826116123,-4.260929589704493,-1.3205185758275182,6.492425812239148,1.7214716029621968
1922,-0.22963060280210054,-0.814147638680187,3.8802592009247143,0.5909755015774917,-9.262999597739789,-5.8355431367198705,-1.0437782414822876,4.471234702502206,1.6756237664611895
