time,24,Average
1865,-15.224203821656012,-15.224203821656012
1866,-5.924203821656011,-5.924203821656011
1867,-3.6242038216560104,-3.6242038216560104
1868,-7.024203821656011,-7.024203821656011
1869,-5.324203821656011,-5.324203821656011
1870,-14.724203821656012,-14.724203821656012
1871,-13.52420382165601,-13.52420382165601
1872,-9.924203821656011,-9.924203821656011
1873,-6.824203821656011,-6.824203821656011
1874,-5.62420382165601,-5.62420382165601
1875,-14.324203821656011,-14.324203821656011
1876,-11.224203821656012,-11.224203821656012
1877,3.4757961783439897,3.4757961783439897
1878,-3.9242038216560107,-3.9242038216560107
1879,-12.424203821656011,-12.424203821656011
1880,-6.724203821656011,-6.724203821656011
1881,-13.324203821656011,-13.324203821656011
1882,-10.424203821656011,-10.424203821656011
1883,-15.224203821656012,-15.224203821656012
1884,-13.52420382165601,-13.52420382165601
1885,-12.924203821656011,-12.924203821656011
1886,-14.824203821656011,-14.824203821656011
1887,-11.52420382165601,-11.52420382165601
1888,-14.724203821656012,-14.724203821656012
1889,-11.12420382165601,-11.12420382165601
1890,-13.324203821656011,-13.324203821656011
1891,-10.924203821656011,-10.924203821656011
1892,-10.924203821656011,-10.924203821656011
1893,-6.524203821656011,-6.524203821656011
1894,-9.824203821656011,-9.824203821656011
1895,-11.02420382165601,-11.02420382165601
1896,-10.424203821656011,-10.424203821656011
1897,-10.424203821656011,-10.424203821656011
1898,-4.724203821656011,-4.724203821656011
1899,-7.324203821656011,-7.324203821656011
1900,-9.424203821656011,-9.424203821656011
1901,-11.224203821656012,-11.224203821656012
1902,-14.324203821656011,-14.324203821656011
1903,-1.8242038216560106,-1.8242038216560106
1904,-11.62420382165601,-11.62420382165601
1905,-17.82420382165601,-17.82420382165601
1906,-9.724203821656012,-9.724203821656012
1907,-11.224203821656012,-11.224203821656012
1908,-10.52420382165601,-10.52420382165601
1909,-5.824203821656011,-5.824203821656011
1910,-4.824203821656011,-4.824203821656011
1911,-3.6242038216560104,-3.6242038216560104
1912,3.17579617834399,3.17579617834399
1913,-2.7242038216560105,-2.7242038216560105
1914,-2.2242038216560105,-2.2242038216560105
1915,-6.224203821656011,-6.224203821656011
1916,0.8757961783439896,0.8757961783439896
1917,-5.524203821656011,-5.524203821656011
1918,-6.924203821656011,-6.924203821656011
1919,-9.424203821656011,-9.424203821656011
1920,-6.724203821656011,-6.724203821656011
1921,0.0757961783439896,0.0757961783439896
1922,-5.824203821656011,-5.824203821656011
1923,-3.4242038216560107,-3.4242038216560107
1924,-6.924203821656011,-6.924203821656011
1925,1.2757961783439897,1.2757961783439897
1926,0.0757961783439896,0.0757961783439896
1927,-2.5242038216560108,-2.5242038216560108
1928,-1.2242038216560105,-1.2242038216560105
1929,-5.12420382165601,-5.12420382165601
1930,-2.9242038216560107,-2.9242038216560107
1931,0.0757961783439896,0.0757961783439896
1932,-1.6242038216560104,-1.6242038216560104
1933,-6.12420382165601,-6.12420382165601
1934,-3.9242038216560107,-3.9242038216560107
1935,0.3757961783439896,0.3757961783439896
1936,0.2757961783439896,0.2757961783439896
1937,-3.4242038216560107,-3.4242038216560107
1938,1.2757961783439897,1.2757961783439897
1939,-5.024203821656011,-5.024203821656011
1940,-2.9242038216560107,-2.9242038216560107
1941,-8.12420382165601,-8.12420382165601
1942,-6.024203821656011,-6.024203821656011
1943,0.7757961783439896,0.7757961783439896
1944,3.8757961783439896,3.8757961783439896
1945,3.9757961783439897,3.9757961783439897
1946,1.2757961783439897,1.2757961783439897
1947,-8.824203821656011,-8.824203821656011
1948,0.7757961783439896,0.7757961783439896
1949,3.0757961783439898,3.0757961783439898
1950,-0.3242038216560104,-0.3242038216560104
1951,-2.9242038216560107,-2.9242038216560107
1952,1.9757961783439897,1.9757961783439897
1953,-0.9242038216560104,-0.9242038216560104
1954,-0.1242038216560104,-0.1242038216560104
1955,2.17579617834399,2.17579617834399
1956,-2.2242038216560105,-2.2242038216560105
1957,-0.2242038216560104,-0.2242038216560104
1958,-1.2242038216560105,-1.2242038216560105
1959,-4.524203821656011,-4.524203821656011
1960,0.2757961783439896,0.2757961783439896
1961,10.37579617834399,10.37579617834399
1962,3.3757961783439896,3.3757961783439896
1963,-1.1242038216560104,-1.1242038216560104
1964,0.3757961783439896,0.3757961783439896
1965,1.7757961783439897,1.7757961783439897
1966,4.77579617834399,4.77579617834399
1967,12.07579617834399,12.07579617834399
1968,5.47579617834399,5.47579617834399
1969,2.9757961783439897,2.9757961783439897
1970,7.97579617834399,7.97579617834399
1971,4.37579617834399,4.37579617834399
1972,-3.9242038216560107,-3.9242038216560107
1973,5.27579617834399,5.27579617834399
1974,5.27579617834399,5.27579617834399
1975,2.4757961783439897,2.4757961783439897
1976,-0.42420382165601045,-0.42420382165601045
1977,3.27579617834399,3.27579617834399
1978,3.27579617834399,3.27579617834399
1979,1.8757961783439896,1.8757961783439896
1980,6.27579617834399,6.27579617834399
1981,12.475796178343991,12.475796178343991
1982,9.67579617834399,9.67579617834399
1983,14.57579617834399,14.57579617834399
1984,4.87579617834399,4.87579617834399
1985,6.47579617834399,6.47579617834399
1986,3.67579617834399,3.67579617834399
1987,4.07579617834399,4.07579617834399
