time,nod1,nod2,u2_mean,v2_mean,trend,total,total_nodal,total_wind,rate_slr
1890,1.0972642257799747,0.0,0.6142466735423537,0.008565153649124852,-16.040876330647677,-14.320800277676224,1.0972642257799747,0.6228118271914785,
1891,1.0353372067608013,0.12284049496477031,2.1469738277447656,0.03157358907393345,-15.748774267472756,-12.412049148928485,1.1581777017255717,2.178547416818699,2.9207395271425973
1892,0.8565461810822322,0.2318153311587909,0.3660819737995131,-0.01127507425445736,-15.456728425219158,-14.013560013433079,1.088361512241023,0.3548068995450558,2.919831769254504
1893,0.5810722409324935,0.31462394032321545,2.139993643480957,0.007204596636668004,-15.164807913621855,-12.12191349224852,0.8956961812557089,2.147198240117625,2.9191358833035608
1894,0.24000959230160226,0.36191927514857497,1.1723328022012154,0.005923964686843059,-14.872901248558446,-13.09271561422021,0.6019288674501773,1.1782567668880584,2.9198839681435818
1895,-0.12814421311366364,0.3683628601238023,1.518666677272117,0.007619872604651317,-14.580831119993139,-12.814325923106232,0.24021864701013868,1.5262865498767682,2.922684856806601
1896,-0.4818337009356973,0.3332273736066943,2.8535621309385606,-0.010958712892544983,-14.288364277197125,-11.594367186480113,-0.14860632732900297,2.8426034180460156,2.927657430231072
1897,-0.7811360610980946,0.2604787444786856,2.288399783396729,0.028795150593014754,-13.995299633946924,-12.19876201657659,-0.5206573166194091,2.3171949339897435,2.932362729491702
1898,-0.9922674473498133,0.1583284966986958,5.43532040556032,0.0060201535990522075,-13.701891731298785,-9.09449012279053,-0.8339389506511174,5.441340559159372,2.933370474683832
1899,-1.0913963393245332,0.038306871002657505,3.4432058361516926,0.005196404793609704,-13.408625539010158,-11.013312766386731,-1.0530894683218757,3.448402240945302,2.9293355280831435
1900,-1.0673335327550608,-0.08603865457713106,3.089976567607437,0.020153068743997374,-13.116024625682156,-11.159267176662913,-1.1533721873321918,3.1101296363514344,2.919951829712355
1901,-0.9227951243573419,-0.20067254047488256,1.77159398561015,0.006054701016137043,-12.824635173067687,-12.170454151273624,-1.1234676648322244,1.777648686626287,2.9051212878628263
1902,-0.6740959315756127,-0.2926554514503813,2.0749959191892473,-0.0012588647885312268,-12.535000368109591,-11.428014696734868,-0.966751383025994,2.073737054400716,2.8849111901222635
1903,-0.3493079525295604,-0.35160478804656414,5.5205812034575965,0.0647729277212382,-12.247652935043234,-7.363211544440524,-0.7009127405761245,5.585354131178835,2.8601904890479624
1904,0.014908269434863895,-0.3708666257067193,2.0990865153067166,0.014355000200749295,-11.962962270299998,-10.205479111064388,-0.3559583562718554,2.113441515507466,2.832567394029244
1905,0.3774417158869834,-0.3482667785618475,3.2918981723293124,0.008833995748884485,-11.681139456237386,-8.351232350834053,0.029174937325135875,3.3007321680781967,2.8036038565632104
1906,0.6973713122012791,-0.2863562113314556,3.9485202099621444,0.012848476927335482,-11.402241498987356,-7.029857711228053,0.4110151008698235,3.9613686868894797,2.7749061942653164
1907,0.9385849064816686,-0.19212309839375952,3.545310120489627,0.01819109599280776,-11.126158217384322,-6.8161951928139795,0.7464618080879091,3.5635012164824347,2.7463771993806585
1908,1.0738554398489348,-0.07620403144658963,2.485203443731261,-0.002305138762138422,-10.852966059111225,-7.372416345739757,0.9976514084023452,2.4828983049691224,2.715686013635512
1909,1.087914209112443,0.0483165890623512,3.107983020194015,0.01650215036472522,-10.58302101465722,-6.322305045923685,1.136230798174794,3.12448517055874,2.6812829258103665
1910,0.979174326353836,0.1673834596731234,3.272797910844615,0.01814388986713071,-10.316709473949151,-5.879209887210446,1.1465577860269596,3.290941800711746,2.6429371478311214
1911,0.7599098393904451,0.267556870628261,3.102347243585945,0.03013859367302691,-10.054433585090996,-5.894481037813317,1.027466710018706,3.132485837258972,2.6007021542175934
1912,0.4548702948408344,0.3375297172583762,4.96928419098705,0.07027401259705807,-9.796569043105633,-3.964610827422314,0.7924000120992106,5.039558203584108,2.5550189573351467
1913,0.0984871254139188,0.36940379291044856,3.2336747778210433,0.05929090493584229,-9.543429793623966,-5.7825731925427135,0.46789091832436736,3.2929656827568854,2.5070053726250308
1914,-0.2690128086816263,0.3595813014607199,3.1582174433683865,0.13950216418943975,-9.295167968580627,-5.906879868243706,0.09056849277909362,3.297719607557826,2.4595809167219507
1915,-0.6061478389951551,0.3091709596622418,6.5221011406129,0.10416581715053998,-9.051513610279576,-2.722223531849049,-0.29697687933291333,6.62626695776344,2.4154496025585903
1916,-0.8748637449593042,0.22386285039928586,7.901517150144903,0.10113335318111738,-8.812078048068908,-1.4604284393029072,-0.6510008945600183,8.00265050332602,2.376017965553494
1917,-1.044829135777898,0.11328615282614742,4.51335956697249,0.07412884845976049,-8.576310017168877,-4.920364584688377,-0.9315429829517506,4.58748841543225,2.341862165325521
1918,-1.0968591155206213,-0.010077754200916183,4.014394644842898,0.0806099592039004,-8.343705615003804,-5.355637880678543,-1.1069368697215376,4.095004604046799,2.310928376595207
1919,-1.0250807841705163,-0.13230413161312932,2.5930168206014357,0.010143363954247551,-8.114124341849836,-6.668349073077798,-1.1573849157836456,2.603160184555683,2.2807507813211103
1920,-0.8375961430254439,-0.23959663934796774,2.123080229667245,0.06563339911952072,-7.887555458739582,-6.776034612326228,-1.0771927823734118,2.1887136287867657,2.249845598769551
1921,-0.5555675788017681,-0.319844602490487,4.5350935798130125,0.00021770139190275162,-7.664155222095926,-4.004256122183265,-0.8754121812922551,4.5353112812049154,2.2171890028122165
1922,-0.2108291527042341,-0.36399000744101084,1.9681416563102843,0.02277560029971665,-7.444117658177139,-6.028019561712383,-0.5748191601452449,1.9909172566100009,2.183318909431873
1923,0.15770667905469313,-0.36704992799498326,5.595702070186823,0.03594436848273376,-7.227491440209551,-1.8051882504802848,-0.20934324894029013,5.631646438669557,2.1492965025887
1924,0.5084413207559979,-0.32867897467575696,1.961107486266177,0.06702758437382839,-7.014258357659399,-4.806360940939152,0.17976234608024094,2.0281350706400056,2.115617117978066
1925,0.801785491500848,-0.2532082806783372,5.236019383052428,0.029046649274969253,-6.804368016613938,-0.9907247734640308,0.5485772108225108,5.265066032327397,2.082570799524608
1926,1.0046278775070667,-0.14915662387365336,2.592806730432171,0.03264854291877246,-6.597744197754477,-3.11681767077012,0.8554712536334134,2.6254552733509438,2.0508095549520844
1927,1.0940725818685608,-0.02826886712796596,3.9719124564993735,0.03509866681160107,-6.394206105623521,-1.3213912675719515,1.0658037147405948,4.007011123310974,2.0211790335422553
1928,1.0600235059829688,0.09580974671695712,3.9900078585527776,0.03351153125326629,-6.193508391046026,-1.0141557485400563,1.155833252699926,4.023519389806044,1.9935286812484465
1929,0.9063239497964892,0.20907380583975643,2.5005001335994526,0.043004699042840946,-5.995500369373832,-2.3365977810952927,1.1153977556362458,2.5435048326422933,1.9669727552394267
1930,0.6503227981366243,0.29873859462008945,3.1604420271768134,0.04730272542341935,-5.800113839998141,-1.6433076946411944,0.9490613927567138,3.2077447526002327,1.9407466992311484
