time,nod1,nod2,trend,total,total_nodal,rate_slr
1890,0.9423229683436205,0.0,-14.174205542971283,-13.231882574627662,0.9423229683436205,
1891,0.8891404704440483,0.16497643577113455,-13.782364753561291,-12.728247847346108,1.054116906215183,3.917618535367602
1892,0.7355959676048447,0.31133110545224235,-13.390681835897762,-12.343754762840675,1.046927073057087,3.9151210760489707
1893,0.4990208429590996,0.42254418054632814,-12.999340538351497,-12.077775514846069,0.9215650235054278,3.911197018759216
1894,0.20611858669485075,0.4860624508881072,-12.60844243214592,-11.91626139456296,0.6921810375829579,3.9063384379566113
1895,-0.11004936863907078,0.49471627211461977,-12.218072850760175,-11.833405947284625,0.384666903475549,3.9003091071643237
1896,-0.4137954675328712,0.44752884148484556,-11.828380610713054,-11.79464723676108,0.033733373951974344,3.8923815118144756
1897,-0.6708342753551146,0.3498264547904819,-11.43959654839728,-11.760604368961912,-0.32100782056463273,3.8797734436256803
1898,-0.8521524573652858,0.21263729907506335,-11.052425921987918,-11.691941080278141,-0.6395151582902224,3.8589964155758327
1899,-0.9372836678244911,0.05144664261875135,-10.667797265282113,-11.553634290487853,-0.8858370252057398,3.829644183969334
1900,-0.9166186950854909,-0.11555106949666494,-10.286497085194052,-11.318666849776207,-1.032169764582156,3.7928481684091686
1901,-0.792490104322237,-0.2695059189901463,-9.90922763160028,-10.971223654912663,-1.0619960233123833,3.7486940881891595
1902,-0.5789089485161654,-0.39304020472339274,-9.53675826755622,-10.508707420795778,-0.9719491532395581,3.696632928188972
1903,-0.29998326652790347,-0.4722099560785975,-9.169901045962485,-9.942094268568987,-0.7721932226065009,3.6374291883608922
1904,0.01280311922749628,-0.4980788629442525,-8.809272429884041,-9.294548173600797,-0.48527574371675625,3.5730152069085275
1905,0.32414434894977756,-0.4677269644762214,-8.45529800458078,-8.598880620107224,-0.14358261552644386,3.505265221988436
1906,0.5988976852718131,-0.38458024057895535,-8.108219385486354,-7.893901940793496,0.21431744469285774,3.436104068469663
1907,0.8060502605829754,-0.25802390336671577,-7.768077190886847,-7.220050833670587,0.5480263572162596,3.3657738310625263
1908,0.9222196640294952,-0.10234303845043384,-7.435064619273849,-6.6151879936947875,0.8198766255790614,3.2923411472156294
1909,0.9342932383540659,0.06488982850819132,-7.109608961443721,-6.110425894581463,0.9991830668622572,3.21431748711857
1910,0.8409081751295817,0.22479823605263807,-6.792201121850135,-5.7264947106679145,1.0657064111822199,3.1309828354322278
1911,0.6526053421808339,0.35933247334267276,-6.483412394357275,-5.471474578833769,1.0119378155235066,3.042101655457823
1912,0.3906394798764755,0.45330694683455625,-6.18378079075857,-5.3398343640475385,0.8439464267110317,2.94829605302267
1913,0.08458006575189679,0.49611425883770705,-5.893753183752741,-5.313058859163138,0.5806943245896038,2.8508038429480775
1914,-0.23102634939103195,0.48292252080186293,-5.613620022168955,-5.361723850758124,0.251896171410831,2.7523900688569025
1915,-0.5205555940648346,0.41522075422804156,-5.343275169981361,-5.448610009818154,-0.10533483983679309,2.6560449260680086
1916,-0.7513269654446737,0.3006508169071829,-5.082411036955353,-5.533087185492843,-0.4506761485374908,2.565098995958248
1917,-0.8972920737831067,0.15214482586415706,-4.830255370789711,-5.575402618708661,-0.7451472479189496,2.48223264398467
1918,-0.9419750624398907,-0.01353455934153919,-4.585964508158419,-5.541474129939849,-0.95550962178143,2.4071589646130143
1919,-0.8803323252837576,-0.1776862269855636,-4.348823577867108,-5.40684213013643,-1.0580185522693213,2.338752902998924
1920,-0.7193218052906548,-0.32178150693471197,-4.118213927558634,-5.159317239784001,-1.0411033122253668,2.2748320594394977
1921,-0.4771176145835072,-0.4295556000051042,-3.8938571659792087,-4.80053038056782,-0.9066732145886114,2.2131728077357993
1922,-0.1810586259188421,-0.48884347218845475,-3.6755793660114744,-4.345481464118771,-0.6699020981072968,2.153747780460362
1923,0.13543741101082135,-0.4929529866191967,-3.4631076098871363,-3.8206231854955117,-0.3575155756083753,2.097299669752075
1924,0.4366459083843457,-0.44142028058799726,-3.2561194320610594,-3.260893804264711,-0.004774372203651567,2.0443701796904357
1925,0.688567864124853,-0.3400621241881954,-3.054233573949049,-2.7057278340123916,0.3485057399366576,1.9954630933729889
1926,0.8627675097493254,-0.20031935059679007,-2.8570268133864616,-2.1945786542339265,0.6624481591525353,1.9514120594973994
1927,0.9395820065097819,-0.037965468499594736,-2.6639511620495693,-1.762334624039382,0.9016165380101872,1.9132325457883947
1928,0.9103408943837934,0.1286737775684792,-2.4743803042287826,-1.43536563227651,1.0390146719522726,1.8808678417158653
1929,0.7783447729247284,0.2807889312920901,-2.287777593706396,-1.2286438894895777,1.0591337042168185,1.8534681105646267
1930,0.5584927450687848,0.4012099477605874,-2.1036866821158573,-1.1439839892864851,0.9597026928293722,1.8300713734358076
1931,0.2756006762940563,0.4763442675850006,-1.9217633190192347,-1.1698183751401778,0.7519449438790569,1.8095577352938663
1932,-0.03839990385208409,0.49771108123296526,-1.741775135057084,-1.282463957676203,0.4593111773808812,1.7913827034233665
1933,-0.3480660830028891,0.46289860302138175,-1.5634867783345614,-1.4486542583160689,0.11483252001849265,1.775581070256853
1934,-0.6184441956413137,0.3758363021695374,-1.3866589210057134,-1.6292668144774898,-0.2426078934717763,1.760338207051333
1935,-0.8190152288799679,0.24635136274856376,-1.2114191369242948,-1.7840830030556991,-0.5726638661314042,1.7409803973846394
1936,-0.9271396654572017,0.08905943724730579,-1.0384628415287855,-1.8765430697386813,-0.8380802282098959,1.71550022894756
1937,-0.9306129262333009,-0.07828509971192775,-0.8683190911347828,-1.8772171170800114,-1.0088980259452287,1.6868004479090652
1938,-0.8290429658265123,-0.23679318188684026,-0.7011027519469725,-1.766938899660325,-1.0658361477133524,1.657862324470274
1939,-0.6338945248564741,-0.3685731605953461,-0.536746626240728,-1.539214311692548,-1.0024676854518202,1.631215857451609
1940,-0.36719504380940715,-0.45875033008090454,-0.3748595804566507,-1.2008049543469625,-0.8259453738903118,1.6088035266515057
1941,-0.05904830889681414,-0.4971459145142793,-0.21498592091042684,-0.7711801443215203,-0.5561942234110935,1.5912048311090237
1942,0.255763522101465,-0.4794260004558557,-0.05661861423484592,-0.2802810925892366,-0.22366247835439068,1.5783904014882215
1943,0.5417059666284387,-0.407590728672338,0.10069215938721748,0.23480739734331824,0.13411523795610075,1.5687994341739886
1944,0.7665031830325271,-0.2897485276305764,0.2571412725999518,0.7338959280019024,0.47675465540195067,1.5611376632949037
1945,0.9047811161524637,-0.1392008721325697,0.4129196920461982,1.1784999360660922,0.765580244019894,1.5567621380976604
1946,0.9409316016226154,0.02705912475688219,0.5684937002194839,1.5364844265989814,0.9679907263794976,1.5573316428672555
1947,0.8708741422415539,0.19026481459049335,0.7243860206196493,1.7855249774516966,1.0611389568320473,1.5623025991985395
1948,0.7025164953526676,0.33199430477228636,0.8809542200591918,1.9154650201841457,1.0345108001249539,1.570498276856912
1949,0.45486208229415237,0.43624983536831596,1.0384856759910317,1.9295975936535,0.8911119176624683,1.581279533974378
1950,0.15586497135207567,0.49126353119522026,1.1972101268540674,1.8443386294013633,0.6471285025472959,1.5942690159587536
1951,-0.16072544632244587,0.4908257043624349,1.3573394791827824,1.6874397372227714,0.330100258039989,1.6098747773359157
1952,-0.4591739296525755,0.4349857747087992,1.5191850823212505,1.4949969273774741,-0.024188154943776297,1.6289016855319416
1953,-0.7057930139981725,0.3300466915229971,1.6831198162891707,1.3073734938139954,-0.3757463224751754,1.6518357809899487
1954,-0.8727454941210776,0.18785348619787048,1.8495522385192402,1.164660230596033,-0.6848920079232071,1.6790494549227752
1955,-0.9411865573153657,0.024456260657240686,2.018929707273726,1.1021994106156008,-0.916730296658125,1.7120127110943273
1956,-0.9033908974559559,-0.1417014728508884,2.1919547807381057,1.1468624104312615,-1.0450923703068442,1.7531736751283544
1957,-0.7636247113110737,-0.29186460888994553,2.3695644422993967,1.3140751220983775,-1.0554893202010192,1.8044243482852407
1958,-0.537664150265728,-0.4090834371477064,2.552839650395154,1.6060920629817195,-0.9467475874134343,1.8672054209246092
1959,-0.251014582366515,-0.4801268462174998,2.7430055264843185,2.011864097900304,-0.7311414285840148,1.9408793208913067
1960,0.06396833396616458,-0.49697578938061227,2.941015514573415,2.5080080591589673,-0.4330074554144477,2.0221810705116683
1961,0.37173080486541793,-0.45772843697888055,3.147441740586652,3.0614441084731894,-0.08599763211346262,2.109246697723528
1962,0.6375340464704697,-0.3668148460241543,3.3628648541181207,3.633584054564436,0.2707192004463154,2.2024108866633174
1963,0.8313754358733632,-0.23449691614621992,3.5879239179193156,4.184802437646459,0.5968785197271432,2.300073628981154
1964,0.9313750664368017,-0.07571007450584687,3.8228795799143516,4.678544571845307,0.8556649919309548,2.3963132197501125
1965,0.9262454490067277,0.09162256515420185,4.067186561869338,5.0850545760302674,1.0178680141609295,2.4863041716665135
1966,0.816565590733271,0.24861327950294923,4.320140414247654,5.385319284483875,1.0651788702362202,2.5684937237129057
1967,0.6147156394600239,0.3775416932198608,4.580885306611919,5.573142639291804,0.9922573326798847,2.642904009068139
1968,0.34347947071638724,0.46385497182665286,4.848721216061282,5.6560556586043225,0.8073344425430401,2.7132977132356517
1969,0.03347295073737499,0.49781047736920747,5.12354484925905,5.654828277365632,0.5312834281065825,2.7830817546986664
1970,-0.28031183888396716,0.47557547168266723,5.405337567001015,5.600601199799716,0.19526363279870007,2.851869743148576
1971,-0.5624563432029657,0.399659737894361,5.693918797888765,5.531122192580161,-0.16279660530860468,2.918167540099108
1972,-0.7811134142408412,0.27863228787892863,5.988971075020837,5.4864899486589245,-0.5024811263619127,2.978773496281635
1973,-0.9116020676390388,0.12615413239905857,6.289673497145092,5.504225561905112,-0.7854479352399802,3.030394832210388
1974,-0.9391933563838458,-0.04056370969935526,6.5950500414629145,5.615292975379713,-0.9797570660832011,3.072663015176502
1975,-0.8607729052450888,-0.20270291054979697,6.904206100180392,5.840730284385506,-1.0634758157948858,3.106127879249314
1976,-0.6851924468411531,-0.34196195782932276,7.216275617312777,6.189121212642301,-1.027154404670476,3.130691804058845
1977,-0.43227067958854215,-0.44262194360882195,7.530344460992161,6.655451837794797,-0.8748926231973642,3.145928403097815
1978,-0.13055622600319278,-0.4933208409354778,7.84546129793234,7.2215842309936695,-0.6238770669386706,3.1509462637265084
1979,0.1858948018745142,-0.48833599613074363,8.160533713737463,7.858092519481233,-0.3024411942562294,3.1446273100456246
1980,0.4813628966340491,-0.4282300750899932,8.474386759941465,8.527519581485521,0.05313282154405585,3.1272082925106393
1981,0.7224970059147601,-0.3197875521959759,8.78597537223959,9.188684825958376,0.4027094537187842,3.099959867755331
1982,0.8820790427312938,-0.17524891067955842,9.094378733492531,9.801208865544266,0.7068301320517354,3.065696893460288
1983,0.9420961354400293,-0.010928994298325312,9.399114750931648,10.330281892073353,0.9311671411417041,3.028764616325468
1984,0.8957738361836004,0.1546245356864033,9.700131656757625,10.75053002862763,1.0503983718700036,2.9919702383858304
1985,0.7483407887830087,0.30272477349717436,9.997508798608814,11.048574360888997,1.051065562280183,2.956636679910174
1986,0.5164385439530622,0.41665485909577704,10.29145899273966,11.2245523957885,0.9330934030488393,2.922666222694712
1987,0.22624313913080527,0.4835548989179143,10.582042043147757,11.291840081196476,0.7097980380487195,2.888104744624682
1988,-0.0894895298266267,0.49587353032710907,10.869079941664596,11.275463942165079,0.4063840005004824,2.8524698243964064
1989,-0.395121040493497,0.4522202840022168,11.152536008027038,11.209635251535758,0.05709924350871981,2.817948361143632
1990,-0.6561531418027364,0.357522533591077,11.432669613893323,11.134039005681663,-0.29863060821165943,2.78657756982966
1991,-0.8431217547793984,0.2224693168896911,11.70985152199297,11.089199084103264,-0.6206524378897074,2.759825915135261
1992,-0.9349227395458393,0.062304807402983116,11.984634796920375,11.11201686477752,-0.8726179321428561,2.738070023751238
1993,-0.9211940316219761,-0.10489237644306215,12.257465526743218,11.231379118678179,-1.0260864080650383,2.7188704156238153
1994,-0.803485263150611,-0.2602498009342688,12.528408880045138,11.464673815960259,-1.0637350640848797,2.7003943860731017
1995,-0.5950828476911961,-0.3862314488467062,12.797544403957838,11.816230107419935,-0.9813142965379023,2.684213235294921
1996,-0.31951027218986283,-0.46861710280147884,13.065251527104122,12.27712415211278,-0.7881273749913417,2.6716252601210044
1997,-0.007872876132372203,-0.4981074566889072,13.331869455982039,12.82588912316076,-0.5059803328212794,2.6599284568821258
1998,0.30465317324768243,-0.4713737777148993,13.597237218480547,13.43051661401333,-0.16672060446721687,2.646032922707491
1999,0.5827914016987354,-0.3914336381421415,13.861076040523537,14.052433804080131,0.19135776355659395,2.630124999679735
2000,0.7951468708667149,-0.26731030588989346,14.123262218416494,14.651098783393316,0.5278365649768214,2.613445023012906
2001,0.9177498916484355,-0.11301424038354825,14.383765045126118,15.188500696391005,0.8047356512648872,2.597836503459243
2002,0.9367616102448406,0.05403834237586996,14.642829519108343,15.633629471729053,0.9907999526207105,2.585292533268433
2003,0.8500360730534209,0.21499133056644798,14.900823551779805,15.965850955399674,1.0650274036198688,2.576291483376787
2004,0.6673624518432338,0.35167710598522195,15.1580878157837,16.177127373612155,1.0190395578284557,2.570549441858301
2005,0.4093600879710795,0.4486672195583308,15.414933440151465,16.272960747680877,0.8580273075294103,2.567021003911618
2006,0.10515107786391681,0.49501388229056426,15.671492016566024,16.271656976720504,0.6001649601544811,2.5641985945474666
2007,-0.21092689260078706,0.4854857003260758,15.927773159060958,16.202331966786247,0.27455880772528873,2.5618121562478358
2008,-0.5031964249831156,0.4211581701439629,16.18385444781559,16.10181619297644,-0.08203825483915267,2.560506300831822
2009,-0.7386675056376324,0.3092922815613545,16.439874419227323,16.010499195151045,-0.4293752240762779,2.560584452003649
2010,-0.8907612636824548,0.1625149312674735,16.69597133821632,15.96772500580134,-0.7282463324149813,2.5620268377239164
2011,-0.9423100692507763,-0.002606342036102956,16.952279786772106,16.007363375485227,-0.9449164112868793,2.5645664219580055
2012,-0.8874953350090385,-0.16743342367818514,17.208884622607922,16.1539558639207,-1.0549287586872236,2.5676247397946916
2013,-0.7325042909974919,-0.3133614059621454,17.465804734731044,16.419939037771407,-1.0458656969596374,2.5705167877321777
2014,-0.4948315991303749,-0.42391862286259296,17.722987980154358,16.80423775816139,-0.9187502219929679,2.5723505327539264
2015,-0.20130463783448438,-0.48662589441021076,17.98027484128183,17.292344309037134,-0.6879305322446951,2.5728077760007473
2016,0.11494464656816028,-0.4944051179811577,18.237549535354507,17.85808906394151,-0.37946047141299744,2.5726446539364822
2017,0.4182195185240265,-0.4463782113146364,18.494803772069126,18.466645079278518,-0.028158692790609896,2.572513447922322
2018,0.6742877332876986,-0.34796622631900725,18.75205222493897,19.078373731907664,0.3263215069686914,2.57265579056023
2019,0.854245512109617,-0.21027744616500213,19.009334930181172,19.653302996125788,0.6439680659446149,2.573099973601547
2020,0.9377800651805058,-0.04885353439544317,19.26667221965928,20.155598750444344,0.8889265307850627,2.573374668113395
2021,0.9154624040484693,0.11808473514242798,19.52400986380385,20.55755700299475,1.0335471391908972,
