time,NearestPointAverage,PressureDifference,NearestPointAverage_trend,NearestPointAverage_dt,NearestPointAverage_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1836,6.000555133932937,-0.835163677142936,2.6898282220254295,3.3107269119075076,-0.11945610223721269,-2.9992843388078954,2.1641206616649593,0.4061003603024873
1837,1.6104971750724073,-2.6372293079060367,2.702625738165699,-1.0921285630932918,-0.16159417374285387,-2.944754549266238,0.3075252413602012,0.33596477263589625
1838,1.617602423931763,-3.5249922186289067,2.7153528491733416,-1.0977504252415786,-0.1996214553109397,-2.891019765236222,-0.6339724533926847,0.267925438978713
1839,2.3059882835729697,-3.5984483733273813,2.72800938669715,-0.4220211031241803,-0.2342915272066422,-2.8380733485704046,-0.7603750247569767,0.20092818508797755
1840,4.135669418570999,-1.733869542418438,2.740595182385914,1.3950742361850854,-0.2654326590592606,-2.78590866112136,1.0520391187029219,0.13466601332861006
1841,2.53510582893939,-2.534654831610432,2.7531100678884344,-0.2180042389490442,-0.292609229936417,-2.734519064741611,0.19986423313117907,0.06966430805864626
1842,0.5992039152737579,-2.9167148828034968,2.765553874853501,-2.166349959579743,-0.3162149640639063,-2.6838979212837315,-0.23281696151976528,0.0063750695563377195
1843,2.7166216110373003,-2.7098049949969187,2.7779264349299067,-0.061304823892606386,-0.336711845847068,-2.634038592600279,-0.07576640239663979,-0.05452859598557081
1844,0.7952305647209335,-5.194956262967118,2.790227579766441,-1.9949970150455074,-0.3530464407861955,-2.5849344405438264,-2.6100218224232914,-0.11141786795467903
1845,3.3581769510495083,-1.9250316381561736,2.802457141011905,0.5557198100376035,-0.36165119218697406,-2.5365788269668994,0.6115471888107258,-0.16009580006331853
1846,1.9572269011262957,-3.1160779054013408,2.8146149503150877,-0.857388049188792,-0.3527425727740009,-2.48896511372207,-0.6271127916792709,-0.19068638804840107
1847,2.08153044141684,-2.744206122240062,2.8267008393247828,-0.7451703979079429,-0.2990169315032571,-2.4420866626618962,-0.302119459578166,-0.21212701921775468
1848,3.6747821374807037,-3.052747128191278,2.8387146396897798,0.8360674977909239,-0.21588236579170816,-2.39593683563895,-0.6568102925523283,-0.2318833262443638
1849,1.7870059468884527,-2.594746745835166,2.850656183058879,-1.0636502361704263,-0.11231063163164699,-2.350508994505758,-0.24423775132940806,-0.2442724602326109
1850,4.430174718235327,-1.3580985455659997,2.862525301080871,1.5676494171544562,-0.014879632908105341,-2.305796501114892,0.9476979555488925,-0.2419539105200396
1851,1.9460350957006736,-3.1199142285491264,2.874321825404548,-0.9282867297038744,0.06658836160044981,-2.26179271731891,-0.8581215112302165,-0.2243514238348617
1852,2.828856230590633,-2.184731848097972,2.8860455876787,-0.05718935708806727,0.13601988514345098,-2.2184910049703825,0.03375915687241049,-0.19917520176553316
1853,1.6190525359274988,-3.70042538946062,2.8976964195521275,-1.2786438836246288,0.21868903403828896,-2.175884725921839,-1.5245406635387808,-0.17217384073949474
1854,5.332236754866435,-0.16368134519421043,2.9092741526736203,2.422962602192815,0.32846286523441526,-2.1339672420258506,1.9702858968316401,-0.14921805288941425
1855,4.929857068987764,-2.759425633744367,2.9207786186919718,2.0090784502957924,0.47000708235506516,-2.0927319151349737,-0.6666937186093933,-0.12457900812618238
1856,-7.067727305585691,-1.7288760332720157,2.932209649255971,-9.999936954841662,0.6069296680096257,-2.0521721071017796,0.3232960738297639,-0.10571115625944312
1857,1.6968652157069692,-2.575005404259876,2.9435670760144195,-1.2467018603074502,0.7174114227375245,-2.012281179778798,-0.562724224481078,-0.09097144564988706
1858,0.23535381009370557,-2.114231548939508,2.954850730616106,-2.7194969205224004,0.8118775612375201,-1.9730524950185995,-0.14117905392090835,-0.07242804174011759
1859,6.03142017542067,-0.8044102014171842,2.9660604447098238,3.065359730710846,0.8934693808513279,-1.9344794146737412,1.130069213256557,-0.045036602820077556
1860,3.061674035884125,-2.333027749449958,2.977196049944363,0.08447798593976197,0.9800603079731869,-1.8965553005967928,-0.4364724488531653,-0.003813418972256524
1861,7.87056317872097,-1.5782468927596627,2.988257377968524,4.882305800752446,1.064732270354395,-1.8592735146402866,0.2810266218806239,0.045970333214704825
