t,u,v,speed,direction,u2,v2,pres,ibe
2003,0.6313317,0.64264673,1.3944416,1.4697737,0.812022,0.99020714,205.58594,-2.0347555
2004,1.4530793,0.7690222,2.0318334,1.1444956,2.926527,1.4072536,-23.377604,0.23124568
2005,1.0869249,0.5072188,1.7393535,3.0889175,2.5817873,0.9960863,125.59635,-1.2431164
2006,1.0853745,1.0001423,1.83087,1.5711528,2.4601362,2.358568,40.002605,-0.39601412
2007,1.4786049,0.45108867,1.8552862,2.3980792,4.2700534,0.8144714,46.127605,-0.45663187
2008,1.2353615,1.2227284,2.359245,1.1729457,3.0124934,2.6140738,-53.98698,0.53417987
2009,0.837419,0.79959446,1.8534355,2.278016,1.4829688,2.2967033,-88.36719,0.87443304
2010,0.46441498,0.06754168,1.3398334,2.5460398,0.58941907,-0.36017653,-123.98698,1.2269541
2011,1.2200137,1.1307753,2.0208917,2.0902994,2.8808985,2.3018522,126.20052,-1.2490958
2012,1.2867287,0.9657584,1.9153771,2.042663,2.3167732,1.8700882,-13.7942705,0.13640158
2013,0.609216,0.5091613,1.7417994,2.4782808,0.54352784,1.6729765,12.9192705,-0.1279764
2014,0.63061243,1.1500598,2.1255891,2.8845284,1.2517947,4.1185617,-192.75781,1.9075638
2015,1.6908221,1.1282808,2.4023752,1.7787398,4.5953135,2.7803676,147.99739,-1.4648145
2016,0.9045482,0.8932147,1.7189351,1.6676798,1.6900994,1.4767898,65.84635,-0.65178394
2017,1.6029606,1.025901,2.1363695,1.3558097,3.8155117,1.651586,40.73698,-0.40328205
2018,0.32391492,0.6504106,1.9486452,2.1436236,0.6590932,1.0481206,55.591145,-0.5502904
2019,1.2152735,1.0250658,2.3689845,2.4134593,2.707926,2.2963655,-90.20052,0.8925772
2020,1.2083114,1.3556167,2.2717433,1.5986272,3.4067583,3.6610353,-17.242188,0.17052472
2021,1.1522237,0.544416,1.9124945,2.4731183,1.8923479,0.8516306,67.54427,-0.66858786
2022,1.1328738,0.79397804,2.2086856,2.4370167,3.6176488,2.3040087,160.75261,-1.59105
2023,1.2708814,0.8826813,2.3616383,1.5303091,3.1603444,1.720291,-126.90365,1.2558198
