t,u,v,speed,direction,u2,v2,pres,ibe
1940,1.3465191,0.7074623,3.2282286,2.6290762,5.88056,1.7758185,78.27344,-0.77457684
1941,0.6034975,0.35971555,2.9855468,3.3282757,3.1066904,1.371478,36.945312,-0.3655616
1942,0.7105779,0.7090078,3.1561897,2.22319,2.4810102,1.4661673,130.67448,-1.2931782
1943,2.4247923,0.91116786,3.0177004,1.5636393,9.972774,2.2837727,182.13281,-1.8024498
1944,2.233514,-0.12197733,3.0495584,2.756161,9.776296,-1.3651881,146.38281,-1.44864
1945,2.2623694,0.3219049,3.0892308,3.0302174,8.226113,1.3259566,210.64323,-2.0846112
1946,1.2362477,1.2520405,3.9696805,2.5392992,6.1438746,4.816267,98.54948,-0.97524434
1947,0.17484586,0.2869679,3.5460863,2.579507,-1.1766162,0.21573614,77.34635,-0.76540166
1948,1.9193048,1.4129982,3.091829,1.9557985,5.995041,4.612002,107.74219,-1.0662223
1949,2.4338,0.42790732,3.4388008,2.7232955,10.127187,1.4195647,246.10677,-2.435586
1950,2.2896116,1.5545654,3.227781,1.568605,8.5829,3.8445094,-143.27864,1.4180747
1951,1.4701786,1.7064749,3.5551045,1.6277103,4.871382,5.76391,-248.52864,2.4597106
1952,2.0904667,0.0013068517,2.818472,2.835414,7.4123936,-0.23136348,-137.87761,1.3646218
1953,1.7931908,0.5156041,2.7221956,2.3213906,6.6588664,1.7261066,202.96614,-2.008633
1954,2.489896,1.038085,4.0459228,1.7041992,14.19825,2.3594325,-239.11719,2.3665674
1955,1.4512359,-0.701092,2.8699653,3.5264046,6.4807377,-2.4720829,-50.851562,0.5033445
1956,1.3039042,-0.30432853,2.861105,3.7058163,3.424116,-0.8432347,88.82552,-0.8790085
1957,1.9112959,0.25006327,3.179136,2.2349958,6.970627,-0.20754063,7.721354,-0.07633854
1958,1.4813479,0.43222156,2.5275433,2.3139763,4.644758,0.43717435,-165.21614,1.6351852
1959,0.5446854,0.6336581,2.886121,3.22694,1.5613036,4.0905023,86.75781,-0.8585449
1960,0.94473106,0.7792489,2.885402,2.163861,2.3384795,3.0480015,-265.58072,2.6284711
1961,2.4054153,0.89647484,3.3464015,2.2878597,10.126287,2.481034,-30.210938,0.29906878
1962,2.402886,-0.037175495,3.050459,3.66352,9.357642,0.5269156,57.23698,-0.5663837
1963,0.8156293,1.0645618,2.9975595,1.2826705,2.3561964,2.8616307,-4.861979,0.048195917
1964,1.3076648,0.42123827,2.479101,1.5026212,1.9184805,0.4358616,251.84114,-2.4923377
1965,2.053552,0.24650049,2.9279554,2.6063411,7.605526,-0.69949514,-158.17448,1.5654955
1966,1.8180019,0.5824873,3.0616894,2.3289979,8.434368,1.4489304,-221.21614,2.1894047
1967,3.423599,1.1659305,4.2163606,1.8487915,16.578642,3.8124208,-25.143229,0.24891472
1968,0.85035795,0.26397052,2.4907057,2.7270708,4.0888915,0.24473192,-34.820312,0.34468684
1969,0.5803218,-0.099286,3.0876637,3.2770474,1.9723301,0.60861903,-72.46615,0.71725917
1970,2.0019052,0.13718764,3.2863207,3.839279,8.504978,1.3919712,-176.87239,1.7505444
1971,1.157875,-0.066473246,2.7887402,3.6313937,3.2585373,1.2658571,104.04948,-1.0296766
1972,0.50593776,0.7277693,3.266372,2.825015,2.459628,3.6767435,-33.533855,0.3319549
1973,2.4584196,-0.77735037,3.048437,4.3189816,10.932548,-1.5558805,161.34114,-1.5966793
1974,2.14621,0.61393666,4.4723153,2.25001,13.222652,2.792998,-242.73177,2.4023402
1975,1.288242,0.082218885,3.005909,3.5656645,6.6079764,0.73798543,175.87761,-1.7405435
1976,0.48146382,0.034073114,2.731705,2.9130497,2.6305754,-0.08888364,58.809895,-0.5819506
1977,1.8575789,0.59889555,3.373309,3.0747223,8.05509,2.5093539,-165.89323,1.6418862
1978,1.7082154,0.3259832,4.2070346,3.7632866,9.061652,1.1354198,-161.76823,1.6010618
1979,1.7769217,1.1739439,3.1911752,1.9351364,6.7908134,2.8313084,-187.49219,1.8556463
1980,1.720274,0.14511482,3.305402,1.8317498,7.145466,-1.2357156,-38.903645,0.38509858
1981,2.2542045,0.080491304,3.5906217,3.1554601,10.494415,0.45539248,-73.40365,0.7265374
1982,1.9826523,1.321385,3.547767,1.91046,7.3292203,4.2468452,41.085938,-0.40654048
1983,2.6508822,0.4991982,3.8391838,2.312712,16.373484,1.5489979,64.9974,-0.64318687
1984,1.4229068,0.3813959,3.509917,2.910516,6.8091774,2.9392471,-65.92969,0.65256935
1985,1.9617238,0.8861649,3.00288,2.2548907,8.423331,2.792388,3.6484375,-0.036029775
1986,1.9585086,0.8350834,4.288634,2.7564592,5.7440886,3.5470324,4.1484375,-0.040978294
1987,1.3767792,0.30517897,2.7201443,3.2374763,4.094897,1.7009538,88.9974,-0.88070947
1988,2.8091452,0.42211476,4.1110673,3.3622272,13.771584,2.2196739,-94.6849,0.93715316
1989,2.0747058,0.61706567,3.3815908,2.864689,9.6103945,2.811221,130.78906,-1.2943122
1990,3.2683785,1.0253303,4.159487,3.121275,16.162697,7.011605,11.6380205,-0.11510099
1991,1.6557232,0.48060337,2.8238456,2.5553992,5.0421205,0.15299807,190.30989,-1.8833767
1992,2.2576933,0.6757205,3.513401,2.4451513,9.733119,1.5559506,79.60677,-0.7877725
1993,1.3582792,0.4089695,3.1584332,2.8828037,8.486441,2.1804824,87.9349,-0.87019414
1994,2.2722378,1.0964434,3.680971,2.203561,11.940723,3.5737593,-104.72135,1.0364819
1995,1.798633,0.11895958,3.6647978,3.0828469,7.853136,0.09240419,-19.565104,0.19370936
1996,-0.15484612,0.31062207,2.9501894,3.1839898,-2.2625525,1.2524903,55.70573,-0.55122936
1997,1.2292334,0.97129387,2.9561682,2.9980981,5.479201,5.027139,140.58073,-1.3912181
1998,2.927027,1.2152351,3.669116,1.431197,12.389748,2.7815783,-82.63802,0.817928
1999,2.456397,0.9417173,3.0672133,2.0149963,10.812163,2.6031952,-150.60677,1.4905995
2000,2.5740085,1.6302727,4.0835285,1.9407114,11.075642,8.761427,-191.40886,1.8944086
2001,1.7540871,0.118013464,3.2051847,3.3330543,5.8067327,1.5578159,-40.070312,0.39664486
2002,1.2615169,1.2405301,3.1394641,2.3588774,5.4625745,4.262236,-73.2474,0.7249911
2003,0.9749189,0.6979039,2.2434418,2.203193,2.1843913,1.959134,196.19531,-1.9416232
2004,2.528356,0.5669145,3.1622858,2.4461412,8.398817,1.9227899,-10.4661455,0.103658944
