t,u,v,speed,direction,u2,v2,pres,ibe
1836,1.8867364,0.27535227,3.1006653,2.562325,6.9104776,0.39698058,-179.10417,1.7725706
1837,1.0558681,0.62049276,2.0841773,2.6933641,2.0769455,1.6600214,88.92057,-0.8800104
1838,-0.01117567,-0.19059727,2.9238377,3.9077756,-0.99938565,-0.36093724,3.9446614,-0.03902278
1839,0.27530774,0.44293058,2.9466162,2.762078,1.256711,1.2449151,5.8867188,-0.05824294
1840,1.6892599,-0.03392602,2.9464583,3.4949582,6.790269,-0.7159712,141.23047,-1.3977098
1841,1.066198,0.71139675,2.2016711,3.248519,2.674692,1.5278921,-132.63411,1.3126669
1842,0.5500447,-0.13104355,2.7846591,3.336175,1.7760059,0.14978373,252.88542,-2.502734
1843,1.0115122,0.5512172,2.972227,2.3074968,3.1541584,0.77748346,43.505207,-0.43054473
1844,-0.1610815,0.07236193,2.5572286,2.9327834,-1.1017543,-0.8342056,-38.89974,0.38499868
1845,1.8478488,0.7950718,2.5501857,1.7201552,5.691485,2.1940935,-20.597006,0.20386055
1846,1.2722807,0.98120236,2.5463715,2.2358158,4.0787873,3.3240087,4.0214844,-0.0397831
1847,1.4791096,0.84748256,2.865318,3.0577488,4.2153606,3.340855,124.78971,-1.2349993
1848,0.9592557,0.8164482,3.1233375,2.4844353,3.9973238,3.0218267,-119.51498,1.1828296
1849,0.63441515,0.5519019,2.2588508,2.1371953,2.0149727,1.0491532,33.772785,-0.3342251
1850,2.0103016,0.06255208,2.8968577,3.7610297,9.109802,0.53715086,90.657555,-0.89720094
1851,1.331617,0.20105678,2.7633455,3.360021,3.2737536,1.8168678,90.657555,-0.8972009
1852,1.2971717,1.0144644,2.8795743,2.5476246,3.659409,4.819138,-169.69336,1.679434
1853,0.21722339,0.4482567,2.5888445,3.0989041,1.2605143,1.2162862,-14.3828125,0.1423601
1854,2.2443335,0.07866803,3.01121,3.593365,9.626812,0.7778102,13.472656,-0.13331926
1855,1.1489437,-0.15413177,2.5649314,3.5814722,5.5164866,-0.13630572,-157.31902,1.5569679
1856,-0.092659906,0.22749987,2.5514796,2.8493629,-2.4284446,0.6516013,155.26237,-1.5365804
1857,0.46437842,0.70095396,2.146966,2.645584,3.0721385,1.8833479,104.33789,-1.0325923
1858,0.6453358,0.10814445,2.4387689,3.0857787,0.17054464,0.3638931,103.495445,-1.0242547
1859,1.9857846,0.5143603,3.210223,2.666334,8.745412,1.1775771,-159.2259,1.5758401
1860,0.8582093,0.41224182,3.15774,3.0449853,0.71754616,1.5775635,-199.02995,1.9697716
1861,2.2295225,0.6432041,3.415022,1.9102206,11.566943,1.3834842,-45.87044,0.45398617
1862,1.3128633,0.45758057,2.3676164,2.37099,5.7598953,0.91097635,-167.61848,1.6588994
1863,3.1594646,0.8324227,3.8217945,2.266739,13.141554,2.5151987,-43.954426,0.4350238
1864,0.7185497,0.08890602,2.5112324,3.6130598,3.332746,0.5136213,-48.73763,0.4823621
1865,0.8658951,0.8639558,2.3345525,2.169488,1.7739042,2.0040815,-57.73112,0.5713685
1866,2.0304549,0.5445775,3.562969,2.8185549,10.796997,1.5747626,-198.76172,1.9671171
1867,1.1084265,-0.1148027,2.8769395,2.731995,2.646123,-0.57421243,-2.4915364,0.02467478
1868,2.0795968,0.54006606,3.022153,2.045162,10.15924,2.255449,-83.41276,0.82553416
1869,2.4517183,-0.25602567,3.8791742,3.8289344,11.130694,0.6796681,-28.039062,0.2775129
1870,1.2925553,0.38920078,2.85117,3.5608993,3.1650987,1.4712921,-47.87956,0.47386995
1871,1.4004395,0.6733424,2.6949449,1.8915385,4.026104,1.7900802,-88.23242,0.8732332
1872,1.9645245,2.0405984,3.5070415,2.2039492,7.112328,8.4501915,-479.58203,4.7463326
1873,2.1695588,0.58154154,3.255438,1.7654274,7.8251185,2.1423712,-81.23307,0.80396223
1874,1.8156526,0.56521237,2.7798746,2.3833456,7.554501,1.8373313,-16.503256,0.16334577
1875,0.06860026,-0.017615326,2.041583,2.9194627,-0.114226975,0.6960702,104.526695,-1.0344607
1876,0.10633537,0.2426194,2.42196,2.6332896,1.0608413,0.64409065,-177.33138,1.7550255
1877,1.98638,0.99011976,3.1395028,2.1154988,6.785485,3.072145,-231.91406,2.2952185
1878,2.0314608,0.21186674,2.880004,2.036244,6.1970925,-0.034796614,-264.91147,2.621786
1879,0.7427505,0.3629804,2.8941627,2.6182008,1.7408745,0.38628346,-81.660805,0.8081953
1880,1.7200679,-0.23087929,2.9216213,3.0479295,6.403247,-0.40453807,-19.800781,0.19598052
1881,0.5353035,0.67644405,2.9041607,2.4395337,2.5506048,3.861616,15.847656,-0.15682411
1882,1.7759902,1.2318118,2.9561667,2.221547,6.517158,3.303828,-65.67123,0.6499499
1883,1.8567438,0.6957689,3.2520945,2.324208,7.4465995,3.116492,-8.6171875,0.08529902
1884,1.6750783,0.31077895,2.8463643,2.4965916,7.2420673,0.96599936,-7.4934897,0.074177995
1885,1.3198842,0.47361258,3.1678972,2.5895858,4.055177,2.0346634,-139.88606,1.3844378
1886,1.5421023,0.73434705,2.5158336,1.2248582,5.628219,1.2223625,-181.33855,1.7946836
1887,1.6368506,-0.18629166,2.8635538,3.6419415,4.065344,0.39833745,111.96224,-1.1080487
1888,1.0948703,0.49611533,2.198139,1.9670655,3.090189,1.7012374,10.136067,-0.10029787
1889,0.99134266,0.1522529,2.4607458,3.3196654,3.2238848,0.5464305,-12.751953,0.1262199
1890,0.8785627,0.35552835,3.043563,2.0644941,1.8728442,1.2623506,34.65495,-0.34295556
1891,1.0546198,0.88404953,2.9892545,2.0735219,3.9890783,3.1406846,58.141926,-0.575401
