t,u,v,speed,direction,u2,v2,pres,ibe
1836,1.5947095,0.6911457,2.4821143,2.265396,4.516214,1.4186573,-165.39192,1.6368417
1837,0.85768396,0.6899648,1.50569,1.8351912,1.3811277,1.0432042,79.9069,-0.79082614
1838,0.24371392,0.12129622,2.1019466,2.5695179,0.5686221,0.18553774,-31.016275,0.30695578
1839,0.4372319,0.50048256,2.1388514,2.308651,1.3906871,0.9410784,-20.516275,0.20303963
1840,1.2573094,0.3998772,2.2412517,2.073678,3.77863,0.63281584,143.33723,-1.4185821
1841,0.9992926,0.8533798,1.8656806,1.347273,1.9311152,1.2238404,-139.00781,1.3757238
1842,0.47166193,0.14983414,1.9594111,3.5408618,1.097104,0.6713074,227.2155,-2.2487066
1843,0.89424735,0.7023082,2.134528,2.4019277,2.0817668,1.0636154,34.472004,-0.34116712
1844,0.19349639,0.20672005,1.9109236,1.8075482,0.26570186,-0.23102857,-76.427734,0.75638276
1845,1.3855562,0.927516,1.9771117,1.375935,3.0600479,1.7889357,-8.010417,0.079271875
1846,0.9392726,0.9458533,1.9141712,2.1095943,2.1070354,2.2828116,0.203125,-0.00201569
1847,1.124846,0.7527023,2.0465891,2.637911,2.2645142,1.6457382,125.311195,-1.2401824
1848,0.92590576,0.91500884,2.2660115,2.1531122,2.8593957,2.1405737,-125.776695,1.2447784
1849,0.7189062,0.6114257,1.5928723,1.7149185,1.5409168,0.8370364,17.582682,-0.17401731
1850,1.5025412,0.3979167,2.0113697,2.7753508,4.6114764,0.8852673,101.80338,-1.0075308
1851,1.0847768,0.46482491,2.0115545,2.6077876,1.8331009,1.5225321,85.510414,-0.84628296
1852,1.0334705,1.0994538,2.3503273,2.6865034,2.2875547,3.6145995,-171.1914,1.6942377
1853,0.28178418,0.44568333,1.9122233,2.6442928,1.1284088,0.9816534,-45.38672,0.4491768
1854,1.6548767,0.47319123,2.2125275,1.885612,4.935431,0.90786916,28.445312,-0.2815223
1855,1.2095081,0.30833572,1.997188,2.4624853,4.0922422,0.8710416,-163.03516,1.6135169
1856,-0.3105403,0.43518683,2.137264,2.4794858,-3.29716,0.9861514,110.927734,-1.0978326
1857,0.599769,0.74297935,1.5710584,2.1181486,1.783259,1.3409334,80.44401,-0.7961418
1858,0.55481935,0.3012999,1.8481582,3.185671,0.20596917,0.60524935,81.19922,-0.80361605
1859,1.664506,0.7431097,2.5076494,1.8270354,5.0905395,1.383297,-146.21094,1.4470116
1860,0.91611576,0.6319856,2.35305,2.7113,1.5519835,1.7858549,-208.58919,2.0643554
1861,1.6909047,0.9070552,2.659498,1.6534176,6.550157,2.0243413,-26.777994,0.2650104
1862,1.205067,0.6507491,1.8525923,1.2877669,3.4203215,0.9787841,-170.3991,1.6863962
1863,2.1884933,1.0270418,2.7791584,1.3666735,6.1287103,2.3323195,-6.3040366,0.06238429
1864,0.639366,0.26133898,1.7746491,2.7221682,1.8066713,0.5352534,-67.757164,0.67057204
1865,0.8926526,0.8950715,1.9175682,2.034312,1.6516198,1.9087902,-67.029945,0.6633751
1866,1.5684747,0.8255504,2.6115253,2.4362469,5.746414,2.0757525,-184.54231,1.8263687
1867,1.0380386,0.2334248,2.1201537,1.7464446,2.4551902,0.3535618,-10.702474,0.10591447
1868,1.6805898,0.71601385,2.4056883,1.7457725,5.9335065,2.0924358,-66.88737,0.66196394
1869,1.7814511,0.23373395,2.6700122,2.9718597,5.7422676,1.2143813,-10.257161,0.10150751
1870,0.8832845,0.42939726,1.9380684,3.1745663,1.4205638,1.2745105,-53.63216,0.53078014
1871,1.1318275,0.8612054,2.0343344,1.8720064,2.4469135,1.8042473,-86.51627,0.85622686
1872,1.4979655,1.8377261,2.6904914,1.28534,3.5017579,5.3799286,-459.82553,4.550785
