t,u,v,speed,direction,u2,v2,pres,ibe
1940,1.2079694,0.5817299,2.7478478,2.6264672,4.021434,1.3927517,68.71354,-0.6801059
1941,0.86932594,0.33627805,2.5102825,2.8223085,3.5779343,1.129777,11.125,-0.11016488
1942,0.74170583,0.58136296,2.554269,2.1627748,2.2783384,1.3205751,101.958336,-1.009122
1943,1.9235309,0.6527043,2.400923,2.7810326,6.32645,1.5071064,194.46875,-1.9246773
1944,1.8390642,-0.15530252,2.5384777,3.0478566,6.4801,-0.87902397,163.48958,-1.6180831
1945,1.8240148,0.34973693,2.538677,3.063309,5.194257,1.2060654,226.77083,-2.2443635
1946,1.1416432,0.98783964,3.2824452,2.4857244,5.114883,3.2129238,84.604164,-0.83737177
1947,0.35734096,0.06007989,2.8078568,2.6045315,0.9001455,-0.2392352,36.473957,-0.36103785
1948,1.6994562,1.2336769,2.7488089,1.41445,4.6867666,3.4925413,107.06771,-1.0596884
1949,1.8726429,0.27393594,2.713247,2.741203,5.655508,0.8241264,264.48438,-2.617606
1950,1.9769487,1.3330078,2.7068403,1.6029137,6.2272515,3.0101156,-132.4948,1.3112081
1951,1.2815392,1.3644747,2.9759414,1.6002301,3.0912485,4.2082443,-258.60938,2.559336
1952,1.6578089,0.07833322,2.1928434,2.8490531,4.5514445,-0.044498134,-131.14583,1.2978578
1953,1.5153995,0.453511,2.3085775,2.3711646,4.2828097,1.3163258,201.77083,-1.9969441
1954,2.3009312,0.91735744,3.4214365,1.72466,10.623482,1.8398085,-215.96875,2.1373312
1955,1.1179026,-0.5647802,2.3778017,2.842642,4.105081,-2.0440733,-55.015625,0.5444141
1956,1.1658427,-0.18897207,2.5177166,3.1823761,2.8828661,-0.5623072,84.171875,-0.8330936
1957,1.494792,0.2947003,2.7390814,1.7627374,4.3128815,-0.1992261,8.588542,-0.08506209
1958,1.3688804,0.5081493,2.29595,1.3230308,3.5095985,0.48585594,-171.53645,1.697595
1959,0.49288693,0.47598395,2.538793,2.6897538,1.1177171,2.5814762,53.59375,-0.5304685
1960,1.05728,0.77269775,2.523515,2.1405818,2.7540543,2.6523764,-283.45312,2.8052092
1961,2.0577183,0.7427883,2.7920752,2.74004,6.792183,1.712968,-14.114583,0.13962567
1962,1.9068328,-0.02696228,2.5258899,4.1224275,6.062208,0.5734193,79.9375,-0.79118687
1963,0.74942654,0.8711211,2.7034118,1.7328221,1.5415462,2.3618195,-33.651043,0.33297372
1964,1.1794909,0.27096972,1.9817573,1.4457897,1.8162802,0.24213485,239.52083,-2.3705475
1965,1.826664,0.24495427,2.583049,2.550257,5.944553,-0.27991468,-145.1198,1.436155
1966,1.7437831,0.59209013,2.5487864,1.7200521,6.284094,1.222756,-215.4948,2.1326406
1967,2.8887274,1.071204,3.6161048,1.8325515,11.277635,3.2436411,15.119792,-0.14970046
1968,0.94492173,0.2423234,2.2182896,2.825181,3.225683,0.3480316,-53.203125,0.5264763
1969,0.676676,-0.11686412,2.4470217,3.2579348,1.8802104,0.354937,-100.28646,0.9924493
1970,1.9099861,0.23004246,2.8110054,3.4357069,7.1223125,1.3507522,-169.79688,1.6803784
1971,0.9665907,0.05295221,2.2330768,3.2660882,2.2318213,1.1386017,86.4375,-0.85551596
1972,0.58487654,0.59304434,2.701594,2.7736378,2.4489505,2.553768,-65.760414,0.65075296
1973,1.9938198,-0.5629542,2.532903,3.8446152,6.942881,-1.032485,181.78125,-1.7991117
1974,2.0893252,0.59184194,3.780113,2.275592,10.595751,2.3264406,-231.42708,2.2903187
1975,1.0188328,0.047672987,2.52051,3.1589768,3.8821945,0.6273891,162.0677,-1.6040112
1976,0.5851422,0.031102737,2.458533,2.8705914,2.6445189,-0.24154158,28.354166,-0.28067803
1977,1.6729679,0.6917097,2.9039314,2.639497,5.6100388,2.4179175,-162.32812,1.606462
1978,1.6212606,0.42896986,3.2821512,3.7970934,6.7947745,1.3059282,-164.10938,1.6240906
1979,1.6442313,1.0362078,2.7243006,2.4282937,5.1667624,2.3400862,-188.63542,1.8668194
1980,1.6417421,0.23365648,2.8294926,1.796753,5.25345,-0.7781146,-36.182293,0.3580248
1981,2.0258517,0.18124,3.0593777,2.4999824,7.519638,0.6279017,-59.515625,0.5889496
1982,1.6161159,1.0981184,2.9630153,1.9421769,4.796321,2.898276,42.786457,-0.42351118
1983,2.03223,0.58664125,3.277592,2.3259456,10.258713,1.7117878,87.135414,-0.8624231
1984,1.323338,0.28715762,2.9118073,3.0762842,4.9295583,2.0986035,-72.84375,0.72085506
