t,u,v,speed,direction,u2,v2,pres,ibe
1836,1.6250604,0.9190097,2.536272,1.7946404,4.2807364,2.0797298,-143.47527,1.4198848
1837,0.89056,0.772949,1.4324194,1.2363565,1.353248,1.1222248,71.54752,-0.70814776
1838,0.46650267,0.29887378,1.8448567,2.6628816,1.3579861,0.3847858,-59.477215,0.5885749
1839,0.69725037,0.6306824,2.0207756,2.2689495,1.8170328,1.2447985,-41.927734,0.4148915
1840,1.0915447,0.5583256,2.1613839,2.0979393,3.0371466,0.9973288,148.26367,-1.4673904
1841,1.0939687,1.0314738,1.911878,1.3844556,1.9698187,1.5498948,-143.36328,1.4187765
1842,0.37047195,0.28184286,1.7507609,3.0748959,0.6788721,0.9636263,204.95442,-2.0284462
1843,0.96972734,0.85466415,1.9535408,1.3162273,2.0908616,1.3510281,27.611328,-0.27332115
1844,0.46633616,0.33318058,1.9012634,1.7522469,0.8095915,-0.014354102,-104.3151,1.0323254
1845,1.2637136,1.0217266,1.9249109,1.4412643,2.5186796,2.022991,2.09375,-0.020779291
1846,0.80931497,1.0209678,1.8643665,1.9069433,1.584463,2.474235,-9.540364,0.09436101
1847,1.0320009,0.79754835,1.9120613,2.6217973,1.6673542,1.7117356,122.89453,-1.2163177
1848,0.9871705,1.0914913,2.1696754,1.5848417,2.7298062,2.426761,-133.74544,1.3235909
1849,0.8568942,0.7369223,1.4188266,1.5720329,1.470952,0.99518055,5.8789062,-0.0582401
1850,1.2990847,0.523259,1.8320082,2.192613,3.233536,1.1246909,119.100914,-1.1787729
1851,1.0262228,0.5595478,1.963448,2.164687,1.5769998,1.7509655,88.36588,-0.8745954
1852,1.0119323,1.1641241,2.4035313,2.1929684,2.1657047,3.842324,-178.4134,1.7656599
1853,0.39986372,0.5167121,1.8030834,2.651789,1.3589531,1.1894891,-73.62305,0.7285731
1854,1.4893886,0.64765406,2.0258827,1.3357943,3.8350716,1.2529082,50.44987,-0.49934903
1855,1.2331319,0.42600787,1.8803339,2.0545614,3.5667467,1.0198635,-154.10938,1.5251282
1856,-0.4226896,0.58089346,2.1827629,2.0241992,-4.433783,1.1795491,53.435547,-0.52889746
1857,0.6914213,0.86166257,1.5153729,1.5991907,1.4108421,1.4692554,61.733723,-0.6110227
