t,u,v,speed,direction,u2,v2,pres,ibe
1899,1.3225284,0.4374896,2.7031991,2.1558826,4.744994,1.0477669,37.40495,-0.37017366
1900,1.5071838,0.611025,2.4104972,2.7158072,4.2863293,2.2600183,-179.61394,1.7776136
1901,0.9914806,0.23997094,2.090741,3.574945,2.5744226,1.1173326,-80.18229,0.793561
1902,0.81204784,0.21070798,2.3061273,2.8632529,2.968387,0.52456135,28.31901,-0.28025228
1903,1.8191328,1.4748789,3.6944005,2.171964,7.442445,5.8764997,-96.63412,0.9563809
1904,1.114843,0.62641525,2.2220078,2.1992426,2.9996684,1.7900795,37.3138,-0.3692717
1905,1.6727788,0.4270194,2.5900383,3.041207,4.5485225,1.342597,57.44336,-0.5684895
1906,1.8235438,0.40671805,2.6474376,2.9417212,5.4011397,1.6679742,-12.8463545,0.1271523
1907,1.4275304,0.6273008,2.5372593,2.1231563,4.8775754,2.1009986,28.28776,-0.27994296
1908,1.2847843,0.23772816,2.500682,2.8821666,3.5010374,0.43975988,132.50911,-1.3113984
1909,1.4776267,0.391455,2.3789532,2.941402,4.3097105,1.964108,-106.30599,1.0521013
1910,1.4242247,0.63207835,2.714727,2.6222465,4.523721,2.0971723,-254.48698,2.5186157
1911,1.5946145,0.56367886,2.3601832,2.4930212,4.3023925,3.0693545,73.86263,-0.7309873
1912,1.6464331,1.569479,3.343192,2.117954,6.726592,6.3223667,-119.052086,1.1782466
1913,1.0536903,1.5016419,2.8758824,2.390475,4.4729204,5.4321756,26.509766,-0.2623465
1914,1.5711024,2.4563692,3.2127635,1.7536019,4.3749394,11.933373,-204.60612,2.0249557
1915,2.400748,2.3430731,3.629889,1.0587122,8.742909,9.069329,-389.15952,3.8514392
1916,2.744888,2.531212,3.9514782,0.7631199,10.534067,8.823545,-353.69662,3.500471
1917,1.43336,2.0012517,3.1308498,1.8051032,6.1345778,6.634805,-142.06316,1.405982
1918,1.4244587,2.1088457,3.4229763,1.4785103,5.486677,7.160105,-121.458336,1.2020607
1919,1.1925063,0.44368136,2.5117803,2.8138254,3.641032,1.4487225,-235.48177,2.3305254
1920,1.2674127,1.9772602,3.362594,1.9176668,3.030824,5.946241,88.30338,-0.87390417
1921,1.3730571,0.13518532,2.5942814,2.991298,6.1627994,0.6442384,237.08073,-2.3463204
1922,1.1047066,0.7088375,2.3424091,2.7832239,2.8296378,2.4725769,-73.83203,0.7307139
1923,1.9160993,1.4374152,3.4866412,1.380471,7.5399885,3.5399175,-171.27344,1.6950697
1924,1.1587175,1.7552215,2.7674305,1.8056818,2.8205037,6.0592413,-65.58789,0.64912343
1925,2.3263972,0.9472724,3.1775432,1.7187444,7.072944,2.9808512,-118.751305,1.1752698
1926,1.7383173,0.61202496,2.5767212,3.298161,3.640759,3.272788,-47.85742,0.47364894
1927,1.841616,1.3446012,3.2772107,1.1798815,5.4315143,3.471373,-160.61198,1.5895556
