t,u,v,speed,direction,u2,v2,pres,ibe
1940,1.3681663,0.6865069,2.9976969,2.1644936,5.7658877,1.4782366,81.50521,-0.80665785
1941,0.5769269,0.3167061,2.6845658,2.825629,2.4807189,1.1085439,45.625,-0.4515594
1942,0.68718106,0.72076726,2.8236399,2.2303438,2.017677,1.6585326,141.82292,-1.4036088
1943,2.2296019,0.9157658,2.8222399,1.6100384,8.565076,1.9670535,178.16667,-1.7632948
1944,2.0816994,-0.0034063656,2.8251903,2.7732925,8.039355,-0.8436911,134.72917,-1.3334036
1945,2.1530757,0.3638971,2.8504465,3.0741606,7.381829,1.1912898,201.46875,-1.9939103
1946,1.185792,1.1937722,3.5977385,2.569269,5.4041724,4.200539,107.802086,-1.0669122
1947,0.27884975,0.2907114,3.1729147,2.0638182,-0.41174808,0.21495192,88.71354,-0.8779971
1948,1.803338,1.3016701,2.8267386,1.418856,5.096458,3.8441896,113.078125,-1.1191279
1949,2.2689238,0.44914755,3.2230685,2.7509835,8.569282,1.3583155,235.77605,-2.333442
1950,2.1031694,1.4791666,2.9853356,1.067428,6.9805737,3.4165475,-139.66145,1.3821791
1951,1.3140099,1.6046276,3.214487,1.6696401,3.971262,4.9071255,-236.6302,2.3418572
1952,1.9865036,0.11251291,2.6165235,2.888956,6.383467,0.20404844,-144.61458,1.4311992
1953,1.6586286,0.5062861,2.5174313,2.3077552,5.543909,1.4979209,200.11458,-1.9805084
1954,2.216174,1.0609121,3.6819289,1.7707778,10.990955,2.4432263,-242.05208,2.3955164
1955,1.4624664,-0.5467544,2.598236,3.0591705,5.6217346,-1.8408862,-60.848957,0.60218936
1956,1.3200581,-0.21196198,2.5277138,3.711191,3.3044462,-0.4699863,83.15104,-0.8229463
1957,1.8328047,0.32668272,2.9120862,2.7661579,5.9485316,0.1988167,3.9739583,-0.039348464
1958,1.4591718,0.42526355,2.3324325,2.3082657,4.1757483,0.47693312,-165.92188,1.6420727
1959,0.54476684,0.6273918,2.635601,3.272011,1.4892455,3.5139706,98.375,-0.9736145
1960,0.86135703,0.73330975,2.695616,2.2212615,1.8821816,2.6637087,-256.61978,2.5396898
1961,2.1684768,0.90383977,3.1402104,2.2867634,8.498309,2.4918287,-33.5625,0.3321415
1962,2.299411,0.1273346,2.8484204,3.7614326,8.260463,0.8062749,45.1875,-0.4472296
1963,0.82698184,1.0583769,2.6331902,1.2707292,2.406209,2.5242317,8.036458,-0.07955408
1964,1.2948474,0.5187318,2.4109604,1.5840359,2.1791933,0.6001761,254.27083,-2.5164807
1965,1.9269651,0.3332111,2.652746,2.5521736,6.248505,-0.048428297,-165.15105,1.6344439
1966,1.6047044,0.6328209,2.7768905,2.4065063,6.7108827,1.3530474,-221.41145,2.1912408
1967,3.0791166,1.1806196,3.8185518,1.888573,13.32103,3.7739694,-35.005207,0.34641966
1968,0.8023436,0.34213623,2.217676,2.707835,3.4359334,0.36622334,-30.734375,0.30415222
1969,0.5391841,0.0006488959,2.7467153,3.2827168,1.6656862,0.8503055,-66.02604,0.6534261
1970,1.7987394,0.20155938,2.9276001,3.416661,6.661247,1.2542033,-181.07812,1.7920707
1971,1.1568576,0.011407614,2.5925913,3.7634535,2.9249609,1.2458462,102.708336,-1.0165006
1972,0.484372,0.6820743,2.8866062,2.876537,1.5469729,3.0819638,-19.96875,0.19760716
1973,2.3026984,-0.5797999,2.7514598,4.429393,8.869777,-1.0296642,143.34375,-1.4186602
1974,1.9292097,0.69344515,3.987356,2.3018992,10.430733,3.1283572,-244.90625,2.4237635
1975,1.2198826,0.24282272,2.6782274,3.061972,5.509024,1.0215212,175.1302,-1.7332438
1976,0.5239443,0.070328,2.4244099,2.957906,2.1189797,-0.006852597,64.0,-0.6334128
1977,1.7255802,0.608946,3.0397809,2.0659206,6.823002,2.0569177,-166.29688,1.645784
1978,1.5697876,0.34706068,3.8562887,3.260836,7.6056786,1.0981597,-162.2552,1.6057845
