Statistical model,Degrees of freedom,Deviance
Tr : Trend only,5.6,2149.0
TrNc : Trend and nodal tide,7.5,2061.0
"TrNcZw : Trend, nodal tide and wind (velocity)",8.5,900.0
"TrNcPd : Trend, nodal tide and wind (pressure)",8.5,1161.0
