time,nod1,nod2,u2_mean,trend,total,total_nodal,total_wind,rate_slr
1890,1.1899701150109543,0.0,1.2224645884084486,-13.841381826501614,-11.42894712308221,1.1899701150109543,1.2224645884084486,
1891,1.122810993066421,0.2737253552581355,2.5409343448180377,-13.671907789444909,-9.734437096302315,1.3965363483245565,2.5409343448180377,1.6939485581648572
1892,0.9289142338438018,0.516553876585408,0.5831130361080161,-13.502592114868643,-11.474010968331417,1.4454681104292098,0.5831130361080161,1.6914475636112059
1893,0.6301659938658792,0.7010762197139084,2.8256937676762113,-13.333618276722667,-9.17668229546667,1.3312422135797877,2.8256937676762113,1.6879999850644989
1894,0.2602875728969038,0.8064643682298909,1.566357851624643,-13.164992117855743,-10.531882325104306,1.0667519411267947,1.566357851624643,1.68498642496413
1895,-0.13897088817277425,0.8208226023528153,1.8334581817905344,-12.996620991729841,-10.481311095759267,0.6818517141800411,1.8334581817905344,1.6842684844690492
1896,-0.5225429673614258,0.742530231975921,3.2391771277499743,-12.828138420961933,-9.368974028597464,0.21998726461449525,3.2391771277499743,1.6876316205485242
1897,-0.8471328478820689,0.5804245325620797,2.6074124648169916,-12.659094667620137,-10.318390518123135,-0.2667083153199892,2.6074124648169916,1.6944084246128366
1898,-1.0761023468209316,0.3528032349492421,6.18106903006407,-12.489256736039366,-7.031486817846985,-0.7232991118716896,6.18106903006407,1.7030384754862826
1899,-1.1836064613383035,0.08535916333646469,3.895852225511048,-12.31848697252288,-9.520882045013671,-1.0982472980018387,3.895852225511048,1.7137438533803095
1900,-1.1575106313383716,-0.19171985017490722,3.0772004266177313,-12.146507965363304,-10.41853802025885,-1.349230481513279,3.0772004266177313,1.7276212724023932
1901,-1.0007604316840697,-0.4471584264439269,1.757669078317968,-11.972962718042401,-11.663212497852431,-1.4479188581279967,1.757669078317968,1.7445342778878814
1902,-0.7310490895255867,-0.6521238573603906,2.3154884332233205,-11.797601109785727,-10.865285623448385,-1.3831729468859773,2.3154884332233205,1.7635094666018425
1903,-0.3788203558266666,-0.7834806066689083,6.05295433143431,-11.620260824722033,-6.729607455783298,-1.162300962495575,6.05295433143431,1.7835578871225088
1904,0.016167842418637838,-0.8264017407620475,2.2911808743669235,-11.440889532361226,-9.959942556337712,-0.8102338983434096,2.2911808743669235,1.8036288077999885
1905,0.4093310904624615,-0.7760425233860209,3.525449487036984,-11.259535063162035,-8.10079700904861,-0.36671143292355934,3.525449487036984,1.823389946715892
1906,0.756290965374004,-0.6380872667401417,4.361448480161944,-11.076211543018047,-6.596559364222241,0.11820369863386226,4.361448480161944,1.8432025891662907
1907,1.0178842642205097,-0.42810771298347217,4.234932265786163,-10.890894545328777,-6.066185728305576,0.5897765512370375,4.234932265786163,1.8620745945789174
1908,1.164583562681842,-0.16980536903406382,2.8296546244072895,-10.703796624102264,-6.879363806047197,0.9947781936477781,2.8296546244072895,1.8771133974477028
1909,1.1798301321811047,0.1076638083373597,3.2176116715651615,-10.515471865839237,-6.010366253755611,1.2874939405184644,3.2176116715651615,1.886261401037288
1910,1.061903011481843,0.3729804001237661,3.1809239634592643,-10.326544343894806,-5.7107369688299325,1.4348834116056093,3.1809239634592643,1.8887831882829698
1911,0.8241132607185988,0.5961967141656306,3.6877632162147527,-10.137715228182643,-5.0296420370836605,1.4203099748842294,3.6877632162147527,1.884500367987707
1912,0.49330147137718966,0.7521171401435979,4.919016464468645,-9.949644270297265,-3.785209194307832,1.2454186115207875,4.919016464468645,1.8741613719651617
1913,0.10680812624925558,0.823142111867217,3.4646294576835,-9.76288295378961,-5.368303257989638,0.9299502381164726,3.4646294576835,1.859175664847461
1914,-0.2917412190839849,0.8012546637389099,3.066185345329259,-9.577809137327773,-6.002110347343589,0.509513444654925,3.066185345329259,1.8425993375182692
1915,-0.657360184298346,0.6889253482193837,6.271657657076317,-9.394363086285956,-3.091140265288601,0.0315651639210377,6.271657657076317,1.8270386341089306
1916,-0.9487794158860081,0.4988333714563517,8.554701018064504,-9.212401410505986,-1.1076464368711392,-0.4499460444296564,8.554701018064504,1.8130710068179923
1917,-1.1331048781660844,0.25243542397853297,4.229513586399246,-9.031748884922358,-5.682904752710663,-0.8806694541875515,4.229513586399246,1.8008714710008444
1918,-1.1895307777113424,-0.022456249868099902,3.705083729369736,-8.852227116305817,-6.359130414515524,-1.2119870275794422,3.705083729369736,1.7903738134983183
1919,-1.1116880237007816,-0.2948131675821488,2.88838449861093,-8.673674122222694,-7.191790814894695,-1.4065011912829304,2.88838449861093,1.7813826234339913
1920,-0.908363141011199,-0.5338929580427588,2.3147015518895127,-8.49595059161902,-7.6235051387834645,-1.442256099053958,2.3147015518895127,1.7732764751110341
1921,-0.6025064885106935,-0.7127094161352429,5.253920690047991,-8.319018827200487,-4.3803140417984325,-1.3152159046459364,5.253920690047991,1.7653545080430089
1922,-0.22864173022025278,-0.8110785789798074,2.6466489424217694,-8.142879690010417,-6.535951056788708,-1.0397203092000602,2.6466489424217694,1.7573078716063595
1923,0.17103103391465166,-0.8178969969692332,6.298947487154302,-7.967557252879216,-2.3154757287794956,-0.6468659630545815,6.298947487154302,1.748944220407318
1924,0.5513986173259766,-0.7323950390691877,1.9949417541825825,-7.793090845928954,-5.979145513489582,-0.18099642174321107,1.9949417541825825,1.7399477486971549
1925,0.869526911676328,-0.564223765158688,5.488390227976013,-7.619567703139785,-1.8258743286461314,0.30530314651764,5.488390227976013,1.729999608986681
1926,1.0895070875845854,-0.3323655596684872,3.058544708446376,-7.447090924131618,-3.6314046877691433,0.7571415279160982,3.058544708446376,1.7196446497359963
1927,1.1865088148217136,-0.06299148908156617,4.276766316233089,-7.275638773192585,-1.875355131219349,1.1235173257401474,4.276766316233089,1.7099158724740748
1928,1.1495829934965962,0.21349276527103178,4.308889783037823,-7.105107749636803,-1.4331422078313523,1.363075758767628,4.308889783037823,1.7010259409144357
1929,0.9828976370845185,0.46587895787191796,2.5341871618790406,-6.935433585009698,-2.9524698281742214,1.4487765949564364,2.5341871618790406,1.692591446017726
1930,0.7052674066201272,0.665678919359221,3.0508289706127742,-6.7665894604332575,-2.344814163841135,1.3709463259793482,3.0508289706127742,1.6839908396322745
