time,nod1,nod2,trend,total,total_nodal,rate_slr
1890,1.080431894072996,0.0,-11.859379889904375,-10.778947995831379,1.080431894072996,
1891,1.019454852371286,0.3447791052967294,-11.598884343682434,-10.234650386014419,1.3642339576680156,2.603729132462904
1892,0.8434065296622897,0.6506411627038369,-11.338634063411794,-9.844586371045667,1.4940476923661266,2.5998288557722393
1893,0.5721584346903,0.8830618981198325,-11.078918572527986,-9.623698239717854,1.4552203328101325,2.5934043290706743
1894,0.23632777986703973,1.015806749322795,-10.819953197597659,-9.567818668407824,1.2521345291898347,2.5850647648277736
1895,-0.12617844602604564,1.0338921002756667,-10.561905619562431,-9.65419196531281,0.907713654249621,2.5758279495709235
1896,-0.4744422408924377,0.9352765614095299,-10.304787607683474,-9.843953287166382,0.46083432051709217,2.5666368599023492
1897,-0.7691532214321614,0.7310913921010553,-10.048578247581961,-10.086640076913067,-0.03806182933110602,2.5564550768369365
1898,-0.9770457947857223,0.44438405633588524,-9.793496592316087,-10.326158330765924,-0.5326617384498371,2.5436547088652617
1899,-1.0746540225919938,0.10751673310011706,-9.539847305808909,-10.506984595300786,-0.9671372894918768,2.5295737045064737
1900,-1.0509603460209869,-0.24148657455788577,-9.287581851414792,-10.580028771993664,-1.2924469205788727,2.5169884199781567
1901,-0.9086391961261775,-0.5632320106036224,-9.036449621813277,-10.508320828543077,-1.4718712067297999,2.505919485422794
1902,-0.6637551166141662,-0.8214024596710607,-8.786397954330234,-10.27155553061546,-1.485157576285227,2.494606405392199
1903,-0.34394947351719335,-0.9868568526649719,-8.537528340734838,-9.868334666917002,-1.3308063261821652,2.4819431495535937
1904,0.014679572526308197,-1.040919473926338,-8.290009324419515,-9.316249225819545,-1.0262399014000299,2.4673152207357596
1905,0.37165165729162114,-0.977487988399628,-8.044065296587686,-8.649901627695693,-0.6058363311080068,2.4508046944001594
1906,0.686673446569545,-0.8037222445850232,-7.799848385539483,-7.916897183554961,-0.11704879801547818,2.4331732850772347
1907,0.9241867586974986,-0.5392361044298383,-7.557430639572239,-7.172479985304578,0.3849506542676603,2.4139254484816774
1908,1.0573822052859179,-0.213883522609495,-7.317063295843147,-6.473564613166724,0.8434986826764228,2.390884999876821
1909,1.0712253092045843,0.13561122781770563,-7.079253639596875,-5.872417102574585,1.2068365370222898,2.362223640856622
1910,0.9641535258274821,0.4697988190630585,-6.844618567671823,-5.410666222781282,1.4339523448905407,2.326618601401309
1911,0.7482526157395741,0.7509577236534305,-6.613929919316613,-5.114719579923609,1.4992103393930045,2.283501655573561
1912,0.4478924607817958,0.9473520434835102,-6.387918236557111,-4.992673732291805,1.3952445042653059,2.233678784141011
1913,0.09697630611908988,1.0368137091063447,-6.167194162488411,-5.033404147262976,1.1337900152254345,2.1785219409522716
1914,-0.2648860790181887,1.0092447074119648,-5.9522138483666565,-5.20785521997288,0.7443586283937761,2.120642490579412
1915,-0.596849366257486,0.8677568979728529,-5.743065664372528,-5.472158132657161,0.27090753171536697,2.062615178126843
1916,-0.8614430971266485,0.6283207609345509,-5.539690812741288,-5.772813148933386,-0.23312233619209755,2.006622105130851
1917,-1.0288011726152166,0.3179627241416553,-5.341741243346358,-6.052579691819919,-0.7108384484735614,1.9546250899641882
1918,-1.0800329983152213,-0.02828545324397077,-5.14876579474845,-6.257084246307642,-1.108318451559192,1.9080448872934008
1919,-1.0093557660935415,-0.37134090136740067,-4.960132265887678,-6.34082893334862,-1.3806966674609422,1.867748781727081
1920,-0.8247471903441803,-0.672481130674268,-4.775216038403034,-6.272444359421482,-1.4972283210184483,1.832239147130661
1921,-0.5470450210145705,-0.8977148448667874,-4.593684436461546,-6.038444302342904,-1.444759865881358,1.799575526162429
1922,-0.20759497615091,-1.0216187189611448,-4.415300933170548,-5.644514628282603,-1.2292136951120547,1.769287687792791
1923,0.1552874156978042,-1.030207064939238,-4.2398268989029875,-5.114746548144422,-0.874919649241434,1.7413962712628583
1924,0.500641692586752,-0.9225104705989146,-4.0670216789179765,-4.4888904569301395,-0.4218687780121626,1.715960562660661
