time,TrNc,TrNcW,TrNcPd,Equilibrium tide
1890,1.0663613742790508,1.194711462235817,1.0040479625396543,-0.024364219181089757
1891,1.3272834636073623,1.387033169562022,1.2484922472951183,0.15729824111397492
1892,1.438388022456686,1.42279307991424,1.3520125844233337,0.3211999435632899
1893,1.387134089466346,1.2979547823779871,1.302924083930456,0.4488345245413476
1894,1.1793069681366808,1.0266094383056776,1.106767625455542,0.5257905903196415
1895,0.8383652089114242,0.6393852371312378,0.7856844297716923,0.5433789270877041
1896,0.40279271805839356,0.17999023003763281,0.37591686165976296,0.4996136118750387
1897,-0.07824512512443804,-0.29972122980623384,-0.07628243819860892,0.399436245808461
1898,-0.5504510256668469,-0.7456015633587707,-0.5198713343088848,0.2541579912235004
1899,-0.9605245968491807,-1.1073218903968822,-0.9047795931562717,0.08018241297672098
1900,-1.2621786577988163,-1.3440529173997897,-1.1875605762625403,-0.10284667032060302
1901,-1.4213639133127494,-1.4290735566527877,-1.336295292909416,-0.2742631965170372
1902,-1.4201122785593143,-1.3527870772676527,-1.3341952660642962,-0.4147122930407474
1903,-1.2585650321974882,-1.1238043391426569,-1.1814975369052712,-0.508335661824661
1904,-0.9549568695046702,-0.7679718394947306,-0.895437908725016,-0.5445621612597019
1905,-0.5435576555210488,-0.32545428151133543,-0.5083054503161328,-0.5193014081380972
1906,-0.0708042034594627,0.15379902891436192,-0.0637978573686182,-0.43540562837169844
1907,0.4099412949137672,0.615692226497704,0.38791093841377544,-0.302347608294027
1908,0.8444145431389992,1.0080889740474577,0.7958341673354249,-0.13515110950151302
1909,1.1835742392690398,1.2866973676125926,1.1139273690698568,0.04730548445443845
1910,1.3891376279577865,1.4200693988067132,1.3062856753257965,0.22442075197074884
1911,1.4379016782818077,1.393150658457748,1.3511965829337549,0.3761963678604068
1912,1.3243621330149642,1.2089796076881825,1.2435907593405284,0.48549514138551714
1913,1.061334803361105,0.8883446106783565,0.9956142450852478,0.5399759997173617
1914,0.6785089803102088,0.4674374416455092,0.6352574657259498,0.5334874352153732
1915,0.21909624675745687,-0.006231872837724528,0.2031958039184556,0.46676208050195217
1916,-0.2650470432487061,-0.4791977627516007,-0.25180164695102325,0.3473339859189464
1917,-0.7192730664697018,-0.8980740573416691,-0.6783769092292133,0.1886879396804272
1918,-1.0923109203861059,-1.21557996561464,-1.0283801685695637,0.008736882137623485
1919,-1.3420538421388064,-1.3958769102099087,-1.262304699082902,-0.17220066862261377
1920,-1.4403120223784809,-1.4186138178768837,-1.353746197211707,-0.33369480822565817
1921,-1.3759945386936832,-1.2812242531473377,-1.292383175641037,-0.4575110142338499
1922,-1.156361246900056,-0.9992161055307346,-1.0851420043638242,-0.5296690308177708
1923,-0.8062033225751695,-0.6044211317010015,-0.7554150945308428,-0.5420213984120725
1924,-0.3650449494660434,-0.14140193614047647,-0.3404204728244888,-0.4931733944304731
1925,0.11731798494620238,0.3375780465905105,0.11299921478635455,-0.38864051328550553
1926,0.5864386156099775,0.778453803155178,0.5536640811630471,-0.24022570443029756
1927,0.9893648065951223,1.1314613465020673,0.931833943549167,-0.06468668532012924
1928,1.2806161397740428,1.3567548412578128,1.204822762046132,0.11815619520437305
1929,1.4273175310505475,1.4289042146890825,1.341816839537252,0.28765789939951436
1930,1.412910015620582,1.3397655840086213,1.327352927257123,0.424679759843894
1931,1.239019846233645,1.099400499657607,1.163063643767107,0.5137504523466504
1932,0.9252749294119168,0.7349402446951737,0.8674931926314813,0.5448128841552441
1933,0.5070893194455188,0.28752338285194873,0.47400417971844006,0.5143597539448445
1934,0.03166584608774159,-0.19234776954407617,0.027011798768909245,0.42582956597005434
1935,-0.44733191941747846,-0.6505076081052215,-0.42302954730097636,0.28921838388373833
1936,-0.8758369564972173,-1.035241199691776,-0.8253213026963632,0.11995116162609003
1937,-1.205481626878784,-1.3031216214464751,-1.1344546614026114,-0.0628599090552263
1938,-1.3990571866832298,-1.4239117881110674,-1.31553610017475,-0.23857338210907317
1939,-1.4347137348712042,-1.3839774723543026,-1.3481259957399263,-0.3873492108633225
1940,-1.3084265275644034,-1.1878262723886874,-1.2285457535808302,-0.492388914616019
1941,-1.0344502722526439,-0.8575988154314629,-0.9702930304268416,-0.5418323178856749
1942,-0.6437101232877502,-0.4305696275761117,-0.6025181820860883,-0.5300966989182332
1943,-0.18031099554436458,0.04506023984122609,-0.1667339080394743,-0.45850714237563645
1944,0.3034407914548253,0.515603918783454,0.28787050732171116,-0.3351469222286112
1945,0.7529416054939588,0.9279486463069131,0.7099814503484709,-0.1739448083242525
1946,1.1174539034979305,1.2355508840662137,1.0519530181071803,0.00689764991767313
1947,1.3558332473617578,1.4036899345657026,1.27518506437408,0.18696128514781676
1948,1.4411724950964782,1.4133870506020827,1.3544802030500565,0.3459148679798889
1949,1.3638389527831873,1.2635476672107673,1.2808879708910803,0.4658107336885811
1950,1.1325616678712398,0.9710849510239777,1.0627151138084814,0.53311127738729
1951,0.7734461352541081,0.5690107213686841,0.7245879603612124,0.5402175033653521
1952,0.32702763147861214,0.10270923097450324,0.30467271732147333,0.48632703800498495
1953,-0.156304217102194,-0.37518559555616593,-0.14963255269063158,0.3775247268752288
1954,-0.6219931789509794,-0.810731232227458,-0.5870480021496678,0.2260955865620801
1955,-1.017474468813898,-1.154765330915455,-0.9582002272363825,0.04913768677595038
1956,-1.2981080140746046,-1.3684549365813632,-1.2211953060276124,-0.13336841590009854
1957,-1.4322172167242204,-1.4276797690531644,-1.3463475878594502,-0.3008157097662238
