time,NearestPointAverage2,PressureDifference,NearestPointAverage2_trend,NearestPointAverage2_dt,NearestPointAverage2_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1836,5.377855596321373,-1.234161964327982,2.708491230080209,2.669364366241164,-0.6272406839861475,-4.6857055114665975,3.4515435471386153,0.6490097921367518
1837,1.5902295056026818,-4.103941505712398,2.729517248563968,-1.1392877429612862,-0.6098983175901013,-4.598370386849789,0.4944288811373907,0.5376517788888635
1838,0.004143812261203972,-5.517699026693216,2.7504277840436773,-2.746283971782473,-0.588410419156885,-4.512320229138689,-1.0053787975545267,0.4295743644307788
1839,1.4099093700366578,-5.634677546422924,2.771223653283278,-1.3613142832466203,-0.5647046408225123,-4.4275442028271055,-1.2071333435958183,0.3231016532239384
1840,4.592623509573011,-2.6653460798574904,2.7919056730467187,1.8007178365262924,-0.5391395333268866,-4.344031472408811,1.6786853925513205,0.21774785128746874
1841,2.2143755600749038,-3.9405922200281163,2.812474660097939,-0.5980991000230351,-0.5111902942275682,-4.261771202377608,0.32117898234949216,0.11435348951875388
1842,1.12024582132283,-4.549020736602092,2.832931431200902,-1.712685609878072,-0.4811057293104856,-4.180752557227218,-0.36826817937487366,0.01364328470250785
1843,2.446038068146547,-4.219517885650976,2.853276803119548,-0.4072387349730011,-0.44884181310719995,-4.100964701451442,-0.1185531841995342,-0.0833031271876103
1844,-0.3365653057900885,-8.17710752296423,2.873511592617818,-3.2100768984079067,-0.4122625944946082,-4.022396799544081,-4.154710723420148,-0.17387772437174429
1845,3.9801858267932446,-2.96977065911325,2.8936366164596743,1.0865492103335703,-0.36407434828333657,-3.945038015998859,0.9752673568856087,-0.25139576225261756
1846,2.8279397079402,-4.86650524648511,2.9136526914090575,-0.08571298346885747,-0.2855537197304936,-3.868877515309576,-0.9976277311755339,-0.3002818079241763
1847,2.9021812638795,-4.27430149035306,2.9335606342299156,-0.03137937035041549,-0.1946821071850903,-3.793904461970008,-0.48039702838305187,-0.3352289092919943
1848,3.4083895500410213,-4.7656513343551445,2.9533612616861906,0.45502828835483067,-0.0966668383342293,-3.7201080204739534,-1.0455433138811911,-0.36764396749674627
1849,1.6294655623092955,-4.036288260783161,2.973055390541843,-1.3435898282325474,0.0002411470057537765,-3.647477355315138,-0.3888109054680231,-0.38840159363275195
1850,5.904702748298427,-2.0669328475069544,2.9926438375608138,2.9120589107376134,0.07256414889138534,-3.576001630987363,1.5090687834804086,-0.3857524299193585
1851,2.3125625589840144,-4.8726145698614145,3.0121274195070518,-0.6995648605230373,0.11415827749319198,-3.5056700119844018,-1.3669445578770127,-0.3586947221966719
1852,3.0467810608404107,-3.3833418058359235,3.031506953144498,0.015274107695912864,0.12718382860446942,-3.436471662800053,0.05312985696412964,-0.31939026531548276
1853,1.155175271404666,-5.797075380105968,3.0507832552371137,-1.8956079838324478,0.14403301963110723,-3.3683957479280457,-2.428679632177922,-0.2769034336003457
1854,6.410016140388386,-0.16483006779125875,3.06995714254884,3.340058997839546,0.18989453582855506,-3.3014314318621776,3.136601364070919,-0.24063786856857716
1855,4.474228795536321,-4.298538478173766,3.089029431843625,1.3851993636926965,0.2843149542694079,-3.235567879096224,-1.0629705990775422,-0.20169894133638672
1856,-3.6174360550628677,-2.6573939441841348,3.10800093988541,-6.725436994948278,0.3920676203113142,-3.170794254123981,0.5134003099398461,-0.1719038974330054
1857,2.1496111855144453,-4.004850283605681,3.126872483438156,-0.9772612979237105,0.4795576337783087,-3.1070997214391802,-0.8977505621665012,-0.14855571217775743
1858,0.06795137794002584,-3.271070469691098,3.145644879265805,-3.077693501325779,0.5508096397399282,-3.0444734455356186,-0.22659702415547933,-0.11898940877708139
1859,6.312728388227773,-1.1851872244752206,3.1643189441323036,3.1484094440954697,0.6083312675921283,-2.982904590907072,1.7977173664318515,-0.07519994325754613
1860,1.5238764618913034,-3.6195022078246546,3.1828954948015955,-1.659019032910292,0.683601696540324,-2.922382322047334,-0.6971198857773206,-0.009303831812650242
1861,8.366564601569793,-2.417517871748516,3.2013753480376392,5.165189253532154,0.7793435436463507,-2.86289580345014,0.445377931701624,0.07026410898828869
1862,4.230442168312016,-4.523882373201311,3.2197593206043775,1.0106828477076384,0.8848175447813783,-2.804434199609285,-1.719448173592026,0.1434783935014623
1863,8.512408096643531,0.5636817066216692,3.2380482292657584,5.274359867377773,0.9917602428239503,-2.7469866750185448,3.310668381640214,0.1924803389805725
1864,2.14271514848808,-5.470026273789693,3.2562428907857233,-1.1135277422976433,1.1018210415859466,-2.690542394171712,-2.779483879617981,0.22176571799609401
1865,1.9045732326052198,-2.4129008257214077,3.2743441219282325,-1.3697708893230127,1.1890131568778088,-2.6350905215625247,0.22218969584111692,0.2418192593158151
1866,7.5655562681493675,-1.1356115675693679,3.292352739457228,4.2732035286921395,1.2324316913861053,-2.580620221684776,1.4450086541154081,0.26603235140090836
