time,20,22,23,24,25,32,Average
1890,-13.70432098765432,-14.751249999999983,-9.44213836477984,-13.590566037735881,-9.855345911949644,-15.618421052631584,-12.827007059125208
1891,-16.50432098765432,-14.251249999999983,-6.04213836477984,-11.19056603773588,-7.8553459119496445,-11.718421052631584,-11.260340392458541
1892,-16.40432098765432,-11.151249999999983,-5.94213836477984,-11.19056603773588,-6.955345911949644,-8.418421052631585,-10.010340392458541
1893,-13.80432098765432,-11.951249999999982,-3.9421383647798396,-6.79056603773588,-5.255345911949644,-3.7184210526315837,-7.577007059125208
1894,-8.90432098765432,-13.051249999999982,-4.142138364779839,-10.090566037735881,-4.8553459119496445,-4.218421052631584,-7.543673725791876
1895,-10.504320987654319,-12.951249999999982,-6.54213836477984,-11.29056603773588,-8.255345911949645,-14.418421052631585,-10.660340392458542
1896,-12.504320987654319,-16.351249999999983,-8.64213836477984,-10.69056603773588,-7.955345911949644,-15.018421052631584,-11.860340392458541
1897,-14.604320987654319,-15.551249999999982,-7.642138364779839,-10.69056603773588,-6.055345911949644,-13.218421052631584,-11.293673725791876
1898,-11.40432098765432,-11.451249999999982,-3.4421383647798396,-4.9905660377358805,-2.0553459119496438,-9.818421052631585,-7.193673725791875
1899,-10.604320987654319,-8.651249999999981,-3.5421383647798397,-7.59056603773588,-5.755345911949644,-8.618421052631584,-7.460340392458541
1900,-16.00432098765432,-11.951249999999982,-7.8421383647798395,-9.69056603773588,-9.255345911949645,-11.318421052631585,-11.010340392458541
1901,-19.30432098765432,-12.451249999999982,-12.64213836477984,-11.490566037735881,-10.455345911949644,-11.918421052631585,-13.043673725791875
1902,-20.80432098765432,-12.551249999999982,-16.34213836477984,-14.590566037735881,-11.455345911949644,-19.518421052631584,-15.877007059125209
1903,-6.304320987654319,-3.551249999999982,-6.8421383647798395,-2.09056603773588,0.6446540880503563,-10.318421052631585,-4.743673725791875
1904,-7.604320987654319,-7.8512499999999825,-3.6421383647798393,-11.89056603773588,-6.255345911949644,-14.018421052631584,-8.543673725791875
1905,-10.504320987654319,-9.551249999999982,-7.44213836477984,-18.09056603773588,-5.655345911949644,-14.918421052631585,-11.027007059125209
1906,-9.70432098765432,-7.451249999999982,-3.2421383647798394,-9.990566037735881,-2.855345911949644,-10.818421052631585,-7.343673725791875
1907,-8.704320987654318,-10.051249999999982,-6.04213836477984,-11.490566037735881,-5.655345911949644,-15.818421052631585,-9.627007059125209
1908,-8.90432098765432,-10.351249999999983,-7.94213836477984,-10.79056603773588,-8.355345911949644,-15.718421052631584,-10.343673725791875
1909,-6.304320987654319,-4.751249999999982,-3.2421383647798394,-6.09056603773588,-3.755345911949644,-7.718421052631584,-5.310340392458542
1910,-5.604320987654319,-5.251249999999982,-1.5421383647798395,-5.09056603773588,-2.5553459119496438,-6.318421052631584,-4.393673725791874
1911,-9.40432098765432,-7.451249999999982,-4.54213836477984,-3.89056603773588,-5.555345911949644,-8.718421052631584,-6.593673725791875
1912,-3.904320987654319,-1.3512499999999819,0.6578616352201607,2.9094339622641203,2.0446540880503563,-2.618421052631584,-0.37700705912520793
1913,-4.504320987654319,-3.451249999999982,-3.5421383647798397,-2.99056603773588,-0.3553459119496438,-4.618421052631584,-3.2436737257918744
1914,-6.9043209876543195,-1.651249999999982,0.05786163522016068,-2.49056603773588,1.1446540880503562,-2.2184210526315837,-2.010340392458541
1915,-9.80432098765432,-4.551249999999982,-3.0421383647798397,-6.4905660377358805,-5.255345911949644,-5.618421052631584,-5.793673725791875
1916,-5.304320987654319,-0.35124999999998185,-0.14213836477983932,0.60943396226412,1.7446540880503563,-0.7184210526315837,-0.6936737257918746
1917,-6.704320987654319,-9.251249999999983,-5.54213836477984,-5.79056603773588,-3.155345911949644,-6.418421052631584,-6.143673725791874
1918,-10.604320987654319,-8.151249999999981,-3.8421383647798395,-7.190566037735881,-1.255345911949644,-8.018421052631584,-6.5103403924585415
1919,-13.30432098765432,-8.451249999999982,-4.04213836477984,-9.69056603773588,-3.855345911949644,-13.018421052631584,-8.727007059125208
1920,-15.604320987654319,-5.651249999999982,-5.04213836477984,-6.9905660377358805,-3.155345911949644,-13.218421052631584,-8.277007059125209
1921,-8.80432098765432,-6.051249999999982,-3.8421383647798395,-0.19056603773587996,-1.3553459119496438,-11.518421052631584,-5.293673725791875
1922,-7.704320987654319,-2.451249999999982,-5.142138364779839,-6.09056603773588,-3.0553459119496438,-11.518421052631584,-5.993673725791875
1923,-5.604320987654319,-2.451249999999982,-2.8421383647798395,-3.69056603773588,1.3446540880503564,-9.318421052631583,-3.7603403924585415
1924,-7.4043209876543195,-6.151249999999982,-4.74213836477984,-7.190566037735881,-1.755345911949644,-10.918421052631585,-6.360340392458542
1925,-3.704320987654319,0.3487500000000182,-0.5421383647798393,1.0094339622641202,3.9446540880503562,-6.318421052631584,-0.8770070591252079
1926,-5.204320987654319,-2.451249999999982,-3.6421383647798393,-0.19056603773587996,2.7446540880503565,-7.218421052631584,-2.6603403924585414
1927,-4.004320987654319,-2.251249999999982,-3.6421383647798393,-2.7905660377358803,1.1446540880503562,-3.918421052631584,-2.577007059125208
1928,-3.704320987654319,-1.451249999999982,-2.1421383647798393,-1.49056603773588,2.9446540880503562,-1.918421052631584,-1.2936737257918747
1929,-8.80432098765432,-6.951249999999982,-5.54213836477984,-5.39056603773588,-4.655345911949644,-7.918421052631584,-6.543673725791876
1930,-1.804320987654319,0.3487500000000182,-0.44213836477983937,-3.19056603773588,-1.455345911949644,-3.618421052631584,-1.6936737257918748
