time,nod1,nod2,u2_mean,v2_mean,trend,total,total_nodal,total_wind,rate_slr
1890,1.1752426533523637,0.0,1.4163965101104614,0.04950856141458159,-14.297164881789136,-11.65601715691173,1.1752426533523637,1.465905071525043,
1891,1.1089147147972163,0.27355778470809455,2.6921953531624028,0.19839375334213205,-14.136490296023595,-9.863428690013748,1.3824724995053108,2.890589106504535,1.6059203514495568
1892,0.9174176856612217,0.5162376500628646,0.7973998493096862,-0.05904350115751768,-13.975980811499225,-11.80396912762297,1.4336553357240862,0.7383563481521686,1.6032991760593784
1893,0.6223668521932146,0.7006470313851644,2.9699290709009185,0.06316746897755157,-13.81583046081172,-9.45972003735487,1.323013883578379,3.03309653987847,1.5996315913426784
1894,0.2570661682568289,0.8059706628599762,1.748762260860752,0.049003550992555225,-13.65605449323069,-10.795251850260577,1.063036831116805,1.7977658118533073,1.5963100160663402
1895,-0.1372509387375685,0.8203201070876887,2.008197917935697,0.05784528078752735,-13.496568457598451,-10.747456090525107,0.6830691683501202,2.066043198723224,1.595225390597994
1896,-0.5160758036741169,0.742075666123675,3.368104908424913,-0.03467287938820927,-13.33700941511109,-9.777577523624828,0.22599986244955816,3.3334320290367034,1.5981932466003368
1897,-0.8366484530392616,0.5800692053835399,2.7565079654615383,0.19876204231376415,-13.176929808278384,-10.478239048158803,-0.2565792476557217,2.9552700077753027,1.6045779065540255
1898,-1.0627841501253963,0.3525872541093198,6.216173647700542,0.050393392707055285,-13.016093833800285,-7.459723689408765,-0.7101968960160765,6.266567040407597,1.6128675656613112
1899,-1.168957758351288,0.08530690773910565,4.004222338040013,0.04101173328214104,-12.854356295146122,-9.89277307443615,-1.0836508506121825,4.045234071322154,1.6233588442851499
1900,-1.1431848989292934,-0.191602482163028,3.2092852623388004,0.1682689946931157,-12.691422064943255,-10.64865518900366,-1.3347873810923214,3.377554257031916,1.6372258761173342
1901,-0.9883746913187109,-0.44688468277336335,1.933314091698496,0.06751570630067182,-12.526911119922655,-11.961340696015561,-1.4352593740920743,2.000829797999168,1.6543926523969787
1902,-0.7220013854692233,-0.6517246369324194,2.4735024009511726,0.0018919050109222004,-12.36054353446386,-11.258875250903408,-1.3737260224016428,2.475394305962095,1.6739497167702044
1903,-0.3741319504662685,-0.7830009716125134,6.090847939168436,0.4518713578751291,-12.192121176568614,-6.806534801603831,-1.1571329220787818,6.542719297043565,1.694917120051258
1904,0.015967743881440177,-0.8258958300322077,2.4501384180065924,0.10506691410329126,-12.021560110453608,-10.276282864494492,-0.8099280861507675,2.5552053321098835,1.716214083369012
1905,0.4042650742117933,-0.775567441812462,3.6440760239288346,0.05902705881437291,-11.848878359894812,-8.517077644752273,-0.37130236760066865,3.7031030827432074,1.737541408430019
1906,0.7469308595572444,-0.6376966393020626,4.454465615154038,0.10850500302789663,-11.674051828767604,-7.001846990330488,0.10923422025518181,4.562970618181934,1.759344378637664
1907,1.0052865936697228,-0.4278456318734713,4.332981014022151,0.11867984523641072,-11.497009484167279,-6.467907663112466,0.5774409617962515,4.451660859258562,1.780730565884685
1908,1.150170293347373,-0.16970141673829597,2.971435513716604,0.010247447817261253,-11.317905715590667,-7.355753877447725,0.980468876609077,2.981682961533865,1.798987327644408
1909,1.1652281662861987,0.10759789817143595,3.34518337436489,0.14090686014473466,-11.137212018638397,-6.378295719671138,1.2728260644576346,3.486090234509625,1.8122357452946147
1910,1.048760550432225,0.3727520671264656,3.308476094433524,0.16931877698022746,-10.955458566531744,-6.056151077559302,1.4215126175586907,3.477794871413751,1.8198818118649651
1911,0.8139137638602617,0.5958317314944742,3.803699577922255,0.23513050174900457,-10.773235656265404,-5.324660081239409,1.409745495354736,4.03883007967126,1.821856282292531
1912,0.4871962100650037,0.7516567053302052,4.989740925586646,0.5147794804401163,-10.591087310073238,-3.8477139886512672,1.238852915395209,5.504520406026762,1.818944499576931
1913,0.10548623373757067,0.8226381966332139,3.585345901565179,0.38335037834580654,-10.409446756350018,-5.512626046068248,0.9281244303707846,3.9686962799109855,1.8125237571876873
1914,-0.2881305337700514,0.800764147671814,3.1966920641429026,0.9105211385891615,-10.2285825586357,-5.6087357420018735,0.5126336139017627,4.107213202732064,1.8054058660778871
1915,-0.6492244783776567,0.6885035984716139,6.296811956106723,0.7086605538135632,-10.04836558313444,-3.0036139531201975,0.039279120093957176,7.005472509920286,1.7998678420591663
1916,-0.9370370096745777,0.49852799316081564,8.511358569236798,0.690420579498072,-9.868608990223867,-1.10533885800276,-0.43850901651376206,9.20177914873487,1.7960789834834134
1917,-1.1190811993880678,0.25228088680456157,4.321270980034687,0.5056317235040041,-9.689149786437758,-5.7290473954825725,-0.8668003125835062,4.826902703538692,1.793842070274989
1918,-1.1748087534357192,-0.02244250248931321,3.8135576379987994,0.5148013246816405,-9.50984057616887,-6.3787328694134615,-1.1972512559250323,4.32835896268044,1.7928557290109826
1919,-1.0979294069600438,-0.29463268739022624,3.0266762778310032,0.08214826556308238,-9.330578640635562,-7.614316191591746,-1.3925620943502701,3.1088245433940855,1.7927363360087067
1920,-0.8971209399150847,-0.5335661167950496,2.4716646945431195,0.44189338373001175,-9.151293308967128,-7.668422287404131,-1.4306870567101342,2.913558078273131,1.7927838851402011
1921,-0.5950496699766318,-0.7122731061384268,5.318707024019112,-0.006786590013951799,-8.972021863607521,-4.967424205717419,-1.3073227761150585,5.3119204340051605,1.7922784659704494
1922,-0.2258119849410265,-0.8105820488593956,2.7956250925679234,0.15774581765919912,-8.792837615773038,-6.875860739346338,-1.036394033800422,2.9533709102271226,1.791027763889801
