time,NearestPointAverage2,EquilibriumTide,NearestPointAverageNoTide,NearestPointAverage2_dt,EquilibriumTide_dt,NearestPointAverageNoTide_dt
1890,-1.1709899022134778,-0.2738326388458123,-0.5008528251482947,-1.0706137688141757,-0.1796412803080971,-0.43317013870275134
1891,-1.3969117024447932,-0.4493405296842674,-0.5303592939889352,-1.3072770322965965,-0.3660138948916606,-0.4713097725511086
1892,1.793628735164429,2.6617167154548103,2.8509173047723486,1.8729671104430163,2.7346439475985753,2.9017180944939045
1893,1.8827129782296623,2.5456378138617133,2.8306683258106258,1.9521930407876027,2.6086233129498466,2.8735983634747546
1894,3.2515781244687014,3.5958881025343565,3.9854513381339673,3.3116306702224305,3.6493818866570193,4.020882149766916
1895,0.08711569806656527,0.06036187991065134,0.48057541828488937,0.13816433669999167,0.10480631565495567,0.508872076280308
1896,-2.082762868833713,-2.481586188657264,-2.066166517747849,-2.0403017138692143,-2.445756386207262,-2.044645394628912
1897,-0.815434677633073,-1.5969869254031916,-1.3341187244189516,-0.7811517691186514,-1.569344692666483,-1.319020971048043
1898,0.26604996361689004,-0.7663970542138747,-0.6033953099112566,0.2925566766675515,-0.7465229791125058,-0.5943752147925246
1899,2.432432681977609,1.203292849619701,1.222638410093925,2.4515580643183004,1.2158105276606346,1.225920104823735
1900,-0.361685203454881,-1.6587586860941013,-1.8422075435268468,-0.3495534733028971,-1.653193296041749,-1.8443314449553014
1901,-1.0823330297763132,-2.2963554105636543,-2.598610521035569,-1.0768144595243068,-2.2973458509310833,-2.605813668024232
1902,-4.618131808221801,-5.609741694724981,-6.020773019750436,-4.618853091813567,-5.61689915944644,-6.032735515333846
1903,2.0628610758119565,1.3821372376300616,0.732697194930771,2.0562660582000887,1.3691939031172693,0.7162887940854729
1904,1.7326091387026175,1.4433149397909695,0.8952903794153944,1.720499320661794,1.4249592385464924,0.8747430630084716
1905,-2.5099294143729356,-2.367227700305385,-2.8710861304984636,-2.5272022854841003,-2.3906299167249525,-2.895471826399348
1906,-0.3418267354613871,0.20495292926222053,-0.2249801617740852,-0.3639180985168072,0.17686239772110715,-0.2529101547338659
