time,32,Average
1872,-5.681999999999971,-5.681999999999971
1873,-1.1819999999999709,-1.1819999999999709
1874,-2.181999999999971,-2.181999999999971
1875,-9.281999999999972,-9.281999999999972
1876,-4.981999999999971,-4.981999999999971
1877,5.018000000000029,5.018000000000029
1878,4.318000000000029,4.318000000000029
1879,-3.481999999999971,-3.481999999999971
1880,-1.481999999999971,-1.481999999999971
1881,-8.381999999999971,-8.381999999999971
1882,2.118000000000029,2.118000000000029
1883,-1.981999999999971,-1.981999999999971
1884,-7.081999999999971,-7.081999999999971
1885,-8.381999999999971,-8.381999999999971
1886,-7.881999999999971,-7.881999999999971
1887,-15.081999999999972,-15.081999999999972
1888,-17.68199999999997,-17.68199999999997
1889,-12.381999999999971,-12.381999999999971
1890,-15.381999999999971,-15.381999999999971
1891,-11.481999999999971,-11.481999999999971
1892,-8.181999999999972,-8.181999999999972
1893,-3.481999999999971,-3.481999999999971
1894,-3.981999999999971,-3.981999999999971
1895,-14.181999999999972,-14.181999999999972
1896,-14.781999999999972,-14.781999999999972
1897,-12.981999999999971,-12.981999999999971
1898,-9.58199999999997,-9.58199999999997
1899,-8.381999999999971,-8.381999999999971
1900,-11.081999999999972,-11.081999999999972
1901,-11.681999999999972,-11.681999999999972
1902,-19.28199999999997,-19.28199999999997
1903,-10.081999999999972,-10.081999999999972
1904,-13.781999999999972,-13.781999999999972
1905,-14.681999999999972,-14.681999999999972
1906,-10.581999999999972,-10.581999999999972
1907,-15.581999999999972,-15.581999999999972
1908,-15.481999999999971,-15.481999999999971
1909,-7.481999999999971,-7.481999999999971
1910,-6.081999999999971,-6.081999999999971
1911,-8.481999999999971,-8.481999999999971
1912,-2.381999999999971,-2.381999999999971
1913,-4.381999999999971,-4.381999999999971
1914,-1.981999999999971,-1.981999999999971
1915,-5.381999999999971,-5.381999999999971
1916,-0.4819999999999709,-0.4819999999999709
1917,-6.181999999999971,-6.181999999999971
1918,-7.781999999999972,-7.781999999999972
1919,-12.781999999999972,-12.781999999999972
1920,-12.981999999999971,-12.981999999999971
1921,-11.281999999999972,-11.281999999999972
1922,-11.281999999999972,-11.281999999999972
1923,-9.08199999999997,-9.08199999999997
1924,-10.681999999999972,-10.681999999999972
1925,-6.081999999999971,-6.081999999999971
1926,-6.981999999999971,-6.981999999999971
1927,-3.681999999999971,-3.681999999999971
1928,-1.681999999999971,-1.681999999999971
1929,-7.681999999999971,-7.681999999999971
1930,-3.3819999999999713,-3.3819999999999713
1931,-3.281999999999971,-3.281999999999971
1932,-4.381999999999971,-4.381999999999971
1933,-8.981999999999971,-8.981999999999971
1934,-7.181999999999971,-7.181999999999971
1935,-2.581999999999971,-2.581999999999971
1936,0.7180000000000292,0.7180000000000292
1937,0.5180000000000291,0.5180000000000291
1938,-2.681999999999971,-2.681999999999971
1939,-2.381999999999971,-2.381999999999971
1940,-2.8819999999999713,-2.8819999999999713
1941,-5.081999999999971,-5.081999999999971
1942,-4.081999999999971,-4.081999999999971
1943,1.6180000000000292,1.6180000000000292
1944,3.618000000000029,3.618000000000029
1945,-2.781999999999971,-2.781999999999971
1946,-3.8819999999999713,-3.8819999999999713
1947,-6.381999999999971,-6.381999999999971
1948,2.7180000000000293,2.7180000000000293
1949,3.118000000000029,3.118000000000029
1950,4.11800000000003,4.11800000000003
1951,2.9180000000000295,2.9180000000000295
1952,4.9180000000000295,4.9180000000000295
1953,-0.2819999999999709,-0.2819999999999709
1954,1.9180000000000292,1.9180000000000292
1955,4.4180000000000295,4.4180000000000295
1956,-1.281999999999971,-1.281999999999971
1957,1.7180000000000293,1.7180000000000293
1958,1.8180000000000291,1.8180000000000291
1959,-0.8819999999999709,-0.8819999999999709
1960,4.018000000000029,4.018000000000029
1961,8.518000000000029,8.518000000000029
1962,3.518000000000029,3.518000000000029
1963,-0.3819999999999709,-0.3819999999999709
1964,0.8180000000000291,0.8180000000000291
1965,4.718000000000029,4.718000000000029
1966,8.91800000000003,8.91800000000003
1967,9.81800000000003,9.81800000000003
1968,3.018000000000029,3.018000000000029
1969,1.518000000000029,1.518000000000029
1970,3.9180000000000295,3.9180000000000295
1971,-0.1819999999999709,-0.1819999999999709
1972,-3.481999999999971,-3.481999999999971
1973,3.118000000000029,3.118000000000029
1974,4.018000000000029,4.018000000000029
1975,-0.3819999999999709,-0.3819999999999709
1976,-2.681999999999971,-2.681999999999971
1977,2.4180000000000295,2.4180000000000295
1978,5.4180000000000295,5.4180000000000295
1979,4.4180000000000295,4.4180000000000295
1980,8.71800000000003,8.71800000000003
1981,8.41800000000003,8.41800000000003
1982,6.9180000000000295,6.9180000000000295
1983,10.81800000000003,10.81800000000003
1984,5.4180000000000295,5.4180000000000295
1985,5.218000000000029,5.218000000000029
1986,4.81800000000003,4.81800000000003
1987,4.81800000000003,4.81800000000003
1988,11.21800000000003,11.21800000000003
1989,8.71800000000003,8.71800000000003
1990,11.518000000000029,11.518000000000029
1991,2.018000000000029,2.018000000000029
1992,6.718000000000029,6.718000000000029
1993,6.11800000000003,6.11800000000003
1994,10.31800000000003,10.31800000000003
1995,10.41800000000003,10.41800000000003
1996,0.31800000000002915,0.31800000000002915
1997,5.718000000000029,5.718000000000029
1998,13.91800000000003,13.91800000000003
1999,13.11800000000003,13.11800000000003
2000,12.81800000000003,12.81800000000003
2001,13.518000000000029,13.518000000000029
2002,12.41800000000003,12.41800000000003
2003,11.518000000000029,11.518000000000029
2004,13.41800000000003,13.41800000000003
2005,11.81800000000003,11.81800000000003
2006,11.71800000000003,11.71800000000003
