Statistical model,Degrees of freedom,Deviance
Tr : Trend only,5.7,1783.0
TrNc : Trend and nodal tide,7.6,1662.0
"TrNcZw : Trend, nodal tide and wind (velocity)",8.6,1253.0
"TrNcPd : Trend, nodal tide and wind (pressure)",8.6,1477.0
