time,nod1,nod2,trend,total,total_nodal,rate_slr
1890,1.0805136303463585,0.0,-11.474282637760522,-10.393769007414164,1.0805136303463585,
1891,1.0195319756411112,0.32494729388693905,-11.215254773313099,-9.870775503785048,1.3444792695280503,2.589037728164705
1892,0.8434703346156999,0.6132160617161071,-10.956475092127581,-9.499788695795775,1.4566863963318069,2.585086599335451
1893,0.5722017193234926,0.8322678773754143,-10.698237453446009,-9.293767856747102,1.404469596698907,2.5786122115511922
1894,0.2363456584136879,0.957377199585365,-10.440752649817343,-9.24702979181829,1.1937228579990529,2.5702708483464853
1895,-0.12618799161241107,0.9744222749998784,-10.184183283776711,-9.335949000389244,0.8482342833874674,2.561045491612175
1896,-0.4744781331508105,0.8814791354723991,-9.928543551494908,-9.521542549173319,0.4070010023215886,2.551895310482628
1897,-0.7692114090128033,0.6890387665540664,-9.673804221680186,-9.753976864138922,-0.0801726424587369,2.54194653787696
1898,-0.9771197097475153,0.41882293426270684,-9.420154243919516,-9.978451019404325,-0.5582967754848085,2.5295997948911975
1899,-1.0747353217608193,0.10133233404146995,-9.167884262701946,-10.141287250421296,-0.9734029877193494,2.5160361099946194
1900,-1.0510398527280795,-0.22759618465010242,-8.916947021920592,-10.195583059298773,-1.278636037378182,2.5041577206358845
1901,-0.9087079360274428,-0.5308347137760352,-8.66705271857477,-10.106595368378247,-1.439542649803478,2.4941409363655254
1902,-0.6638053306720397,-0.7741551107990498,-8.418118834647487,-9.856079276118576,-1.4379604414710894,2.4839224896454404
1903,-0.34397549380439935,-0.9300925108303142,-8.170268220645681,-9.444336225280395,-1.2740680046347135,2.4722846157802048
1904,0.014680683057716458,-0.9810454317278733,-7.923661911491446,-8.890026660161602,-0.9663647486701569,2.4588544735967988
1905,0.3716797732900683,-0.9212625468242372,-7.678497325926322,-8.22808009946049,-0.549582773534169,2.4436319572635234
1906,0.6867253944330313,-0.7574918676985072,-7.434935520038741,-7.505701993304217,-0.07076647326547592,2.427102431149053
1907,0.9242566747949048,-0.5082190602873317,-7.193076839696511,-6.777039225188938,0.41603761450757315,2.408860750291417
1908,1.0574621978161771,-0.20158086963868177,-6.953163369980458,-6.097282041802963,0.8558813281774953,2.386669164331594
1909,1.0713063489861625,0.12781082386684486,-6.715743006830192,-5.5166258339771845,1.1991171728530075,2.35854586283728
1910,0.9642264654700295,0.4427758311932388,-6.481454197413002,-5.074451900749733,1.4070022966632685,2.323321254932287
1911,0.748309222158433,0.7077623799582173,-6.251078755843735,-4.795007153727084,1.4560716021166504,2.2803842177444222
1912,0.44792634450997176,0.8928600317101311,-6.025377353864117,-4.684590977644015,1.3407863762201029,2.2306646188020407
1913,0.09698364252031065,0.9771758318968602,-5.804945832083327,-4.730786357666156,1.0741594744171707,2.1755649574199687
1914,-0.26490611804247455,0.9511926085572578,-5.590264362380124,-4.90397787186534,0.6862864905147833,2.117564006299153
1915,-0.5968945187962292,0.8178432260427299,-5.381433030823496,-5.160484323576996,0.22094870724650062,2.059368572382674
1916,-0.8615082665731071,0.5921795370486492,-5.178390647903589,-5.447719377428046,-0.26932872952445785,2.0032904566374077
1917,-1.028879002948014,0.2996734000972254,-4.980774939496015,-5.709980542346803,-0.7292056028507885,1.951498983329012
1918,-1.0801147044115287,-0.026658464352366983,-4.788090851237786,-5.894864020001682,-1.1067731687638958,1.9051886725941136
1919,-1.0094321253525285,-0.3499812464128993,-4.599737204977192,-5.959150576742619,-1.3594133717654278,1.8650692723528506
1920,-0.8248095836909287,-0.633799787300235,-4.415076996767216,-5.8736863677583795,-1.4586093709911636,1.8300726863168393
1921,-0.547086405780815,-0.8460779816414329,-4.233722667713824,-5.626887055136072,-1.393164387422248,1.7981028877268779
