time,NearestPointAverage,PressureDifference,NearestPointAverage_trend,NearestPointAverage_dt,NearestPointAverage_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1836,5.2651950875007225,-1.3250512195860749,2.594277719854962,2.6709173676457607,-0.6961412159121987,-4.758594608207128,3.433543388621053,0.6443093640446552
1837,1.3348891009966692,-4.18416653693976,2.6077782593179824,-1.272889158321313,-0.6797072768065306,-4.672078915399311,0.4879123784595514,0.533033875757205
1838,-0.16656974760621043,-5.592670474252752,2.6213506429333684,-2.7879203905395786,-0.659421845646946,-4.586824559801921,-1.0058459144508305,0.4250842552101575
1839,1.1701967529994244,-5.7092142967790025,2.6349937030438895,-1.464796950044465,-0.6371594209288801,-4.502821009484986,-1.2063932872940164,0.3187879741260113
1840,4.549649667692509,-2.7509169934739575,2.648706271992312,1.9009433957001969,-0.613195089498709,-4.420057732518555,1.6691407390445976,0.21365795721423297
1841,1.968319047983739,-4.0214242642168125,2.6624871821214144,-0.6941681341376755,-0.5868865116419014,-4.338524196972602,0.31709993275578974,0.11052776704860956
1842,0.92671152246502,-4.627591834291637,2.6763352657739623,-1.7496237433089423,-0.5583906570210644,-4.258209870917178,-0.36938196337445905,0.010114536733066377
1843,2.2511949780920864,-4.299313430086564,2.6902493552927256,-0.4390543772006392,-0.5275528054616557,-4.17910422242231,-0.12020920766425469,-0.08651379913958823
1844,-0.4689749428459541,-8.24219649433196,2.70422828302047,-3.173203225866424,-0.49213631256602414,-4.101196719558046,-4.140999774773914,-0.17677299175903086
1845,3.72908686282816,-3.054210317918389,2.7182708812999747,1.0108159815281854,-0.4449742866915185,-4.024476830394362,0.9702665124759733,-0.25400426399074416
1846,2.459737176920994,-4.9438965581001995,2.7323759824740055,-0.27263880555301157,-0.3687739417522459,-3.9489340230013097,-0.9949625350988898,-0.30253857771492826
1847,2.5800650916909147,-4.353893456560658,2.7465424188853316,-0.16647732719441688,-0.2792407603651618,-3.8745577654489125,-0.47933569111174545,-0.33655578327258595
1848,3.0798008024025876,-4.843417423439312,2.760769022876719,0.3190317795258686,-0.17799885748457342,-3.801337525807222,-1.0420798976320897,-0.36790067941279364
