time,nod1,nod2,u2_mean,trend,total,total_nodal,total_wind,rate_slr
1862,-0.6529303459753977,-0.0,4.405746704401881,-4.0081027071537525,-0.25528634872726874,-0.6529303459753977,4.405746704401881,
1863,-0.6160804888457971,-0.3892786782044425,6.290170541978138,-4.278278170464795,1.0065332044631026,-1.0053591670502398,6.290170541978138,-2.703586303367187
1864,-0.5096903564502724,-0.7346174054972637,1.6493169881139997,-4.54881996782719,-4.143810741660726,-1.2443077619475362,1.6493169881139997,-2.7104144089145654
1865,-0.345768767808922,-0.9970359664833651,2.746658874012473,-4.8203610522477085,-3.4165069125275225,-1.342804734292287,2.746658874012473,-2.726118463347089
1866,-0.1428184228165322,-1.1469137851239741,6.75202356466642,-5.094043660496608,0.36824769622930553,-1.2897322079405062,6.75202356466642,-2.753751375042315
1867,0.076252595716929,-1.1673333563962478,3.569764936773574,-5.3711113272561715,-2.8924271511619164,-1.091080760679319,3.569764936773574,-2.792240649355753
1868,0.2867165789816208,-1.0559898148925084,6.96293043263613,-5.652491790367758,0.541165406357484,-0.7692732359108876,6.96293043263613,-2.8392052546167568
1869,0.4648173399293069,-0.8254510972142846,5.736363173374511,-5.938952378179523,-0.5632229620899896,-0.36063375728497765,5.736363173374511,-2.8922261024350426
1870,0.5904517002162364,-0.5017393322506627,1.1098201404660188,-6.230937010854767,-5.032404502423175,0.08871236796557369,1.1098201404660188,-2.949021177324198
1871,0.649438642661392,-0.12139358535098105,2.7934601514657564,-6.528756613644362,-3.2072514048681953,0.528045057310411,2.7934601514657564,-3.0093621508269974
1872,0.6351199979362563,0.27265449995036023,3.8790760748622053,-6.832809441020166,-2.0459588682713443,0.9077744978866165,3.8790760748622053,-3.0739033732304577
1873,0.5491119874820998,0.6359266244441076,3.460697169870288,-7.143537288290454,-2.497801506493958,1.1850386119262075,3.460697169870288,-3.1426971035181195
1874,0.40112279201612283,0.9274183349928824,4.374664221094726,-7.46134886172379,-1.758143513620059,1.3285411270090053,4.374664221094726,-3.215463792498996
1875,0.20785673763761014,1.1142274148307,0.4945071788204942,-7.786630046790253,-5.970038715501449,1.3220841524683102,0.4945071788204942,-3.2919659286213854
1876,-0.008871210134533283,1.1752677314321938,2.192873099630913,-8.119742047448067,-4.7604724265194935,1.1663965212976606,2.192873099630913,-3.3718403730560675
1877,-0.22459781732559014,1.1036493402273941,5.423854740781113,-8.460998121401467,-2.1580918577185493,0.879051522901804,5.423854740781113,-3.4520608672963426
1878,-0.4149728765878883,0.9074561892209116,4.30044592957025,-8.810154220907336,-4.017224978704062,0.49248331263302336,4.30044592957025,-3.52727148751363
1879,-0.558507744368263,0.6088336408666684,2.833521782236066,-9.166452418904193,-6.282604740169722,0.050325896498405354,2.833521782236066,-3.5923782848814945
