time,20,Average
1862,-2.4506250000000365,-2.4506250000000365
1863,-4.350625000000036,-4.350625000000036
1864,-7.850625000000036,-7.850625000000036
1865,-4.950625000000037,-4.950625000000037
1866,2.2493749999999637,2.2493749999999637
1867,2.1493749999999636,2.1493749999999636
1868,1.3493749999999638,1.3493749999999638
1869,1.5493749999999638,1.5493749999999638
1870,-5.050625000000037,-5.050625000000037
1871,-5.450625000000037,-5.450625000000037
1872,-1.4506250000000365,-1.4506250000000365
1873,-0.9506250000000365,-0.9506250000000365
1874,-2.6506250000000366,-2.6506250000000366
1875,-5.450625000000037,-5.450625000000037
1876,0.04937499999996362,0.04937499999996362
1877,4.449374999999963,4.449374999999963
1878,1.4493749999999637,1.4493749999999637
1879,-2.6506250000000366,-2.6506250000000366
1880,-0.1506250000000364,-0.1506250000000364
1881,-3.0506250000000366,-3.0506250000000366
1882,-4.650625000000036,-4.650625000000036
1883,-5.350625000000036,-5.350625000000036
1884,-6.850625000000036,-6.850625000000036
1885,-8.950625000000036,-8.950625000000036
1886,-9.250625000000037,-9.250625000000037
1887,-17.150625000000037,-17.150625000000037
1888,-20.55062500000004,-20.55062500000004
1889,-15.750625000000037,-15.750625000000037
1890,-13.450625000000038,-13.450625000000038
1891,-16.25062500000004,-16.25062500000004
1892,-16.150625000000037,-16.150625000000037
1893,-13.550625000000037,-13.550625000000037
1894,-8.650625000000037,-8.650625000000037
1895,-10.250625000000037,-10.250625000000037
1896,-12.250625000000037,-12.250625000000037
1897,-14.350625000000036,-14.350625000000036
1898,-11.150625000000037,-11.150625000000037
1899,-10.350625000000036,-10.350625000000036
1900,-15.750625000000037,-15.750625000000037
1901,-19.050625000000036,-19.050625000000036
1902,-20.55062500000004,-20.55062500000004
1903,-6.050625000000037,-6.050625000000037
1904,-7.350625000000036,-7.350625000000036
1905,-10.250625000000037,-10.250625000000037
1906,-9.450625000000036,-9.450625000000036
1907,-8.450625000000036,-8.450625000000036
1908,-8.650625000000037,-8.650625000000037
1909,-6.050625000000037,-6.050625000000037
1910,-5.350625000000036,-5.350625000000036
1911,-9.150625000000037,-9.150625000000037
1912,-3.6506250000000366,-3.6506250000000366
1913,-4.250625000000037,-4.250625000000037
1914,-6.650625000000037,-6.650625000000037
1915,-9.550625000000037,-9.550625000000037
1916,-5.050625000000037,-5.050625000000037
1917,-6.450625000000037,-6.450625000000037
1918,-10.350625000000036,-10.350625000000036
1919,-13.050625000000037,-13.050625000000037
1920,-15.350625000000036,-15.350625000000036
1921,-8.550625000000037,-8.550625000000037
1922,-7.450625000000037,-7.450625000000037
1923,-5.350625000000036,-5.350625000000036
1924,-7.150625000000037,-7.150625000000037
1925,-3.4506250000000365,-3.4506250000000365
1926,-4.950625000000037,-4.950625000000037
1927,-3.7506250000000367,-3.7506250000000367
1928,-3.4506250000000365,-3.4506250000000365
1929,-8.550625000000037,-8.550625000000037
1930,-1.5506250000000366,-1.5506250000000366
1931,-1.5506250000000366,-1.5506250000000366
1932,-3.4506250000000365,-3.4506250000000365
1933,-4.850625000000036,-4.850625000000036
1934,-4.450625000000037,-4.450625000000037
1935,-1.6506250000000364,-1.6506250000000364
1936,0.6493749999999636,0.6493749999999636
1937,0.6493749999999636,0.6493749999999636
1938,-1.8506250000000364,-1.8506250000000364
1939,-1.6506250000000364,-1.6506250000000364
1940,-1.7506250000000365,-1.7506250000000365
1941,-4.350625000000036,-4.350625000000036
1942,-3.1506250000000366,-3.1506250000000366
1943,0.14937499999996362,0.14937499999996362
1944,-1.0506250000000363,-1.0506250000000363
1945,0.7493749999999637,0.7493749999999637
1946,1.3493749999999638,1.3493749999999638
1947,-1.8506250000000364,-1.8506250000000364
1948,-0.1506250000000364,-0.1506250000000364
1949,1.1493749999999636,1.1493749999999636
1950,3.349374999999964,3.349374999999964
1951,3.549374999999964,3.549374999999964
1952,6.349374999999964,6.349374999999964
1953,1.3493749999999638,1.3493749999999638
1954,3.2493749999999637,3.2493749999999637
1955,3.1493749999999636,3.1493749999999636
1956,-3.0506250000000366,-3.0506250000000366
1957,0.5493749999999636,0.5493749999999636
1958,3.2493749999999637,3.2493749999999637
1959,1.9493749999999637,1.9493749999999637
1960,3.449374999999964,3.449374999999964
1961,7.649374999999964,7.649374999999964
1962,4.749374999999964,4.749374999999964
1963,-2.5506250000000366,-2.5506250000000366
1964,0.24937499999996363,0.24937499999996363
1965,4.249374999999964,4.249374999999964
1966,7.549374999999964,7.549374999999964
1967,7.049374999999964,7.049374999999964
1968,3.949374999999964,3.949374999999964
1969,4.449374999999963,4.449374999999963
1970,5.949374999999964,5.949374999999964
1971,0.24937499999996363,0.24937499999996363
1972,-1.3506250000000364,-1.3506250000000364
1973,3.849374999999964,3.849374999999964
1974,5.549374999999964,5.549374999999964
1975,1.8493749999999638,1.8493749999999638
1976,0.24937499999996363,0.24937499999996363
1977,3.949374999999964,3.949374999999964
1978,2.2493749999999637,2.2493749999999637
1979,4.849374999999964,4.849374999999964
1980,6.449374999999964,6.449374999999964
1981,9.949374999999964,9.949374999999964
1982,6.849374999999964,6.849374999999964
1983,9.549374999999964,9.549374999999964
1984,5.649374999999964,5.649374999999964
1985,6.349374999999964,6.349374999999964
1986,4.649374999999964,4.649374999999964
1987,4.549374999999964,4.549374999999964
1988,10.749374999999965,10.749374999999965
1989,7.449374999999964,7.449374999999964
1990,9.049374999999964,9.049374999999964
1991,1.5493749999999638,1.5493749999999638
1992,5.449374999999964,5.449374999999964
1993,6.049374999999964,6.049374999999964
1994,9.149374999999964,9.149374999999964
