time,NearestPointAverage2,PressureDifference,NearestPointAverage2_trend,NearestPointAverage2_dt,NearestPointAverage2_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1880,2.934159994792146,-0.03290413567659678,2.5419512737271246,0.3922087210650216,0.1610056838658166,-1.0938612203891538,1.0609570847125571,0.09214714041157779
1881,1.0466316672954494,-2.042290645225045,2.5493682133906477,-1.5027365460951982,0.11644827216831563,-1.0715110453871755,-0.9707795998378694,0.09201274695307142
1882,3.413800677197324,0.05228962937325536,2.556733440776713,0.8570672364206113,0.058622870035229514,-1.0495960558336206,1.101885685206876,0.09713829486050475
1883,3.6257436355572157,-0.4888853284917014,2.5640466365395076,1.061696999017708,-0.012168699297298656,-1.028110507703951,0.5392251792122496,0.10864495906960997
1884,3.334522155601065,-0.7733089714381509,2.571307481333221,0.7632146742678443,-0.10152714573006168,-1.0070486569736201,0.2337396855354692,0.1136974475924436
1885,1.7977409595129035,-0.9326493381361667,2.5785156558120397,-0.7807746962991362,-0.21122970771981908,-0.9864047596180884,0.053755421481921695,0.10191676858401158
1886,2.5891230535286245,-1.2040667148119242,2.5856708406301587,0.0034522128984657563,-0.3286015242032391,-0.9661730716127962,-0.23789364319912798,0.07541180888276805
1887,1.5972700096569803,-0.695733939768716,2.5927727164417647,-0.9955027067847844,-0.44314375864765354,-0.946347848933204,0.250613909164488,0.0369820456450057
1888,1.7605455272001524,-1.2011280605080228,2.5998209639010468,-0.8392754367008943,-0.5555392707470193,-0.9269233475547656,-0.2742047129532572,-0.009887882507772049
1889,2.1064690646800313,-1.20232529003923,2.606815263662192,-0.5003461989821609,-0.6631204817419399,-0.907893823452941,-0.29443146658628905,-0.05972954126575286
1890,1.7384040063439052,-0.7016656679006357,2.6137552963793946,-0.8753512900354894,-0.7503376878087333,-0.8892535326031716,0.18758786470253597,-0.10157047901617877
1891,2.027281211938164,-0.6914892168854525,2.6206407427068417,-0.5933595307686779,-0.8055243362482769,-0.8709967309809172,0.17950751409546473,-0.13066626174815982
1892,0.65563841911764,-1.48427284463705,2.6274712832987226,-1.9718328641810827,-0.8225202055490959,-0.8531176745616319,-0.631155170075418,-0.14527119078151568
1893,1.3131626179448903,-0.9759944891180378,2.6342465988092245,-1.3210839808643342,-0.8148612357197883,-0.8356106193207751,-0.1403838697972627,-0.15553858533024403
1894,1.6980482593417445,-0.7608305745515599,2.640966369892541,-0.9429181105507967,-0.7937664725518744,-0.8184698212337888,0.05763924668222886,-0.1695270398528808
1895,1.121179281464277,-1.9663971768516726,2.6476302772028593,-1.5264509957385823,-0.7585698907276556,-0.8016895362761328,-1.1647076405755397,-0.18470270657963994
1896,2.306363283759028,-0.8669051110159584,2.654238001394369,-0.34787471763534095,-0.7103700761714951,-0.7852640204232608,-0.08164109059269753,-0.19696784878022383
1897,1.8770702097755132,-0.985496138033917,2.6607892231212573,-0.7837190133457441,-0.6487597548093379,-0.7691875296506321,-0.21630860838328492,-0.19788592975008054
1898,3.5911799016277315,-0.2632619813845052,2.6672836230377177,0.9238962785900138,-0.5703350984824151,-0.7534543199336894,0.4901923385491842,-0.18263610998565433
