time,TrNc,TrNcW,TrNcPd,Equilibrium tide
1890,1.1620661138814974,1.2239391832387903,1.1280809119808315,-0.024364219181089757
1891,1.4299956528321378,1.477589796738839,1.3870235972244476,0.15729824111397492
1892,1.5365139912538945,1.5644570060316845,1.4894055659746344,0.3211999435632899
1893,1.469597838831901,1.4747356480661096,1.423670421919452,0.4488345245413476
1894,1.2368003769173146,1.218553048805394,1.1972380397262627,0.5257905903196415
1895,0.8643986908518216,0.8248258981844945,0.8356670443992975,0.5433789270877041
1896,0.39442773585207824,0.3379962698115856,0.37976987359636494,0.4996136118750387
1897,-0.12006437152996985,-0.1869847918027614,-0.11899393886417464,0.399436245808461
1898,-0.621004175930526,-0.6908598873494836,-0.6043262737606487,0.2541579912235004
1899,-1.0518479423662983,-1.1167539599515015,-1.0214450940456175,0.08018241297672098
1900,-1.3639640477669297,-1.4165940847571368,-1.3232679841802344,-0.10284667032060302
1901,-1.5221222904340157,-1.5565357151653165,-1.4757265923151488,-0.2742631965170372
1902,-1.5084705099278577,-1.5207828964656778,-1.461612106017064,-0.4147122930407474
1903,-1.324549655185251,-1.3133712391002308,-1.282517702281804,-0.508335661824661
1904,-0.991119849432801,-0.9577123978895618,-0.9586587171893511,-0.5445621612597019
1905,-0.545817084872318,-0.49395147427144503,-0.5265908336065068,-0.5193014081380972
1906,-0.038905048448713786,0.025564374410436908,-0.035083847204299135,-0.43540562837169844
1907,0.47239840732242766,0.5421946364430267,0.4603832392759769,-0.302347608294027
1908,0.9303797471117257,0.9976245115966323,0.9038844255748512,-0.13515110950151302
1909,1.2833441858834302,1.3404472121934952,1.2453593784495585,0.04730548445443845
1910,1.4914507537064017,1.5319665201281243,1.4462640072345851,0.22442075197074884
1911,1.531209357527752,1.5505646344254158,1.4839211399680612,0.3761963678604068
1912,1.3981322326739,1.3941422871957423,1.3540802161738439,0.48549514138551714
1913,1.1072405006727661,1.0803556991457042,1.0713970701867395,0.5399759997173617
1914,0.6913686555266503,0.6446236282181743,0.6677796493300103,0.5334874352153732
1915,0.19745836007085726,0.13612946636127266,0.18878639451627754,0.46676208050195217
1916,-0.31874010870237357,-0.3877303510129835,-0.3115161828272436,0.3473339859189464
1917,-0.7989606893607233,-0.8678249853850775,-0.7766562749179324,0.1886879396804272
1918,-1.1889983356935823,-1.2499636067703204,-1.154131050345236,0.008736882137623485
1919,-1.4448274280276603,-1.4910122003735742,-1.4013329273655177,-0.17220066862261377
1920,-1.5375711786314152,-1.5637623318179625,-1.4903589178376486,-0.33369480822565817
1921,-1.4567611080399951,-1.4600023075701414,-1.4111601856187237,-0.4575110142338499
1922,-1.2115186779048037,-1.1914440723815334,-1.1726763120441837,-0.5296690308177708
1923,-0.829525703195241,-0.7884012199108766,-0.8018262379263382,-0.5420213984120725
1924,-0.35389975879298574,-0.29636733648693037,-0.3404697798045099,-0.4931733944304731
1925,0.1616727300763947,0.2291191014851066,0.1593173097623909,-0.38864051328550553
1926,0.6589963596553783,0.728743650183868,0.6411214088335866,-0.24022570443029756
1927,1.0819355718094077,1.1461110345192187,1.0505587310690327,-0.06468668532012924
1928,1.3827509724715683,1.4341107822084274,1.3414139123922917,0.11815619520437305
1929,1.5274879304775708,1.5602348328707092,1.4808565844701098,0.28765789939951436
1930,1.4998092170348807,1.5102468953728376,1.4531471126676128,0.424679759843894
1931,1.3028390754634207,1.2897893735833252,1.2614132121640773,0.5137504523466504
1932,0.9588105712668687,0.923746478294833,0.9272969061370321,0.5448128841552441
1933,0.5065560280040744,0.45343541425310535,0.48851167571860243,0.5143597539448445
1934,-0.0028761832141024346,-0.06805731207685906,-0.005414460823524481,0.42582956597005434
1935,-0.5119837443645681,-0.581868048307534,-0.4987294384296085,0.28921838388373833
1936,-0.9633009824007674,-1.0300002490540525,-0.935750176793361,0.11995116162609003
1937,-1.3058853248285,-1.3618708538890083,-1.2671478252321966,-0.0628599090552263
1938,-1.5010674582941577,-1.540019865895229,-1.455515771928083,-0.23857338210907317
1939,-1.526816139260683,-1.5443386603758458,-1.4795919267780713,-0.3873492108633225
1940,-1.380224977419399,-1.3743397520713243,-1.3366586863749357,-0.492388914616019
1941,-1.077840495392849,-1.049211820208547,-1.0428496843302613,-0.5418323178856749
1942,-0.6537944348884552,-0.605653780412537,-0.6313287024026097,-0.5300966989182332
1943,-0.15595112582219406,-0.09373238328210176,-0.14854629839908018,-0.45850714237563645
1944,0.35949521468890877,0.4287690855317916,0.3510033148691978,-0.3351469222286112
1945,0.8343634219221965,0.9028731115224966,0.8109333206719285,-0.1739448083242525
1946,1.2150526004688353,1.275065056474719,1.1793289776958336,0.00689764991767313
1947,1.4585923418413236,1.5033336397646906,1.414607512488372,0.18696128514781676
1948,1.5374930225897026,1.5619129746228286,1.4902117878412358,0.3459148679798889
1949,1.4428487040302276,1.4441909005527633,1.397607947846783,0.4658107336885811
1950,1.1853423928221631,1.163455332987502,1.1472486795166756,0.53311127738729
1951,0.7940401932949448,0.7513943857350276,0.767393362510328,0.5402175033653521
1952,0.31311046195384584,0.2545195653550729,0.30091828293661227,0.48632703800498495
1953,-0.20316170938840739,-0.27108422949462596,-0.19952304066987325,0.3775247268752288
1954,-0.696501940099272,-0.7660893082989139,-0.6774431394992613,0.2260955865620801
1955,-1.1112242994204835,-1.174621820057304,-1.0788966349371862,0.04913768677595038
1956,-1.4005168730838906,-1.4505685314551338,-1.3585693398203402,-0.13336841590009854
1957,-1.5317256725779753,-1.5627818723018874,-1.484893111293922,-0.3008157097662238
1958,-1.4900404641762568,-1.4985957271268213,-1.443609114676507,-0.4342974936589486
1959,-1.2801664786387683,-1.2652551268707724,-1.2393772938241843,-0.5187421582344708
1960,-0.9257933068382481,-0.8890984637833005,-0.8952503785300022,-0.5446149418306764
1961,-0.466920929881118,-0.4125845372709906,-0.45007180053581664,-0.5089945133443479
1962,0.04465529110162825,0.11049999618594186,0.04590877081044964,-0.4159028236900489
1963,0.551191032323191,0.621111808479362,0.5367073754866465,-0.27585098186488227
1964,0.9955109157050248,1.0616154337508443,0.9669249695573734,-0.10465243136886337
1965,1.3274621973185108,1.3822888893834564,1.2880006093511682,0.07836256715828056
1966,1.5095757738302162,1.5469360601310533,1.4636927829606017,0.2525295418956326
1967,1.521295519101474,1.5369723457947329,1.4741701820808808,0.39818306339445514
1968,1.361298563268743,1.3535224037044435,1.3182501670535736,0.4988771949017298
1969,1.047644612087614,1.0172932026758574,1.0135322576829462,0.5432424253948117
1970,0.6157374520734618,0.566236717516322,0.5944115820078579,0.5262694164985315
1971,0.11432873717490477,0.051266088158634426,0.10819651561197219,0.449874613678432
1972,-0.39998486920762577,-0.4694912167177624,-0.3902312658669155,0.3226838577827788
1973,-0.8691500600657327,-0.9372545556488172,-0.8446115728078702,0.15905842964778924
1974,-1.2402096697235614,-1.299224997427473,-1.2036560878689617,-0.022526501608741898
1975,-1.4712802302530645,-1.5145450167544454,-1.4268375506319255,-0.20156793500190817
1976,-1.5362795808392213,-1.5589103000126716,-1.4889642846262663,-0.3578500593418788
1977,-1.4278708997295109,-1.4273131021657726,-1.3830237155835903,-0.47372684790665626
1978,-1.1582908502529579,-1.134607497524143,-1.1209739179218372,-0.5361144952635307
1979,-0.7579683636713083,-0.7138327215240187,-0.7323938434057491,-0.5379687274942179
1980,-0.27208996417427145,-0.21248385683363602,-0.2611445878400934,-0.47908018072149994
1981,0.2445006739804486,0.3128491887572956,0.23958144365240341,-0.36609804066869756
1982,0.7334932231206013,0.8028692856397531,0.7132646457714065,-0.21177927407721417
1983,1.1396924983866559,1.2022652641857494,1.1064378809259918,-0.033548222281544963
1984,1.4172486312529382,1.4659551800859987,1.374721598887164,0.14847080481427935
1985,1.5348323875840895,1.56417495272351,1.487833192212919,0.31372579187510485
1986,1.4791714646045677,1.4858379949567873,1.4330051549068052,0.4435575740736293
1987,1.256548606169487,1.2397866150640855,1.2164262185965686,0.5233066687101166
1988,0.892092436113479,0.8537939384682774,0.8625427975421884,0.5439684972957942
1989,0.4269410570820837,0.37142900763552544,0.41129959208349604,0.5032101047285468
1990,-0.0864014254971982,-0.1528610870359659,-0.08636918173529995,0.4056335764191347
1991,-0.589991320514921,-0.6598969393440325,-0.5742890075171094,0.26225641058278826
1992,-1.026985763191703,-1.0924467210169182,-0.9973857843824482,0.08926751756583756
1993,-1.3480588709787331,-1.4016862419879965,-1.3079023330990025,-0.09380069198860368
1994,-1.516969417769623,-1.552709995913902,-1.470789002422618,-0.26627773813031225
1995,-1.5146515734791408,-1.528471129972887,-1.467659909295809,-0.4086890035413931
1996,-1.3413669654967353,-1.331705613636787,-1.298868251070729,-0.5049546390031884
1997,-1.01667514741421,-0.9846234152727035,-0.9834664382490549,-0.5442051609906708
1998,-0.5772258083790877,-0.52640154511084,-0.5570555477681225,-0.522008739806306
1999,-0.07262192812406942,-0.008761938126965574,-0.06776684045715387,-0.44087160348484916
2000,0.4401791746749668,0.5098666753264375,0.429171069879425,-0.309955056185188
2001,0.903294917318249,0.9709439304864457,0.877666163285523,-0.1440410629065725
2002,1.2644509674637265,1.3224255899146455,1.2270944177128384,0.038136802237424806
2003,1.4828817245189698,1.5246380528557872,1.438014011129161,0.216008589292098
2004,1.53393174938604,1.5547565251641058,1.4866173293498137,0.3694905534228221
2005,1.4118387547569242,1.409381374984945,1.3674182578344127,0.4812528377964181
2006,1.130384025071353,1.1049218672492997,1.0938714285583278,0.5386762112314706
2007,0.7213368497835323,0.6757439628317452,0.6968535242771148,0.5352769227143459
2008,0.2308685550128049,0.17029125011334267,0.22117806343369617,0.4714387905240836
2009,-0.2856590991379193,-0.3543831400038133,-0.279462939562792,0.35436986478970356
2010,-0.7699428943352737,-0.8390564238505254,-0.7485594770297359,0.19728855676936688
2011,-1.1673191477738787,-1.2290209549699431,-1.1331621325640013,0.017931130098859785
2012,-1.4329338922391046,-1.4802593665910524,-1.3898587627556176,-0.16345092480226892
2013,-1.5368057814958123,-1.5644130454842133,-1.4896746562697034,-0.3263775139936833
2014,-1.4672102439951842,-1.4719831191793136,-1.4213430633283393,-0.45245237521098175
2015,-1.2320028975058344,-1.2134026441266454,-1.1925769335680312,-0.5274402248002663
2016,-0.85773284383437,-0.81785897123102,-0.8291983144697015,-0.5428740829116848
2017,-0.3866459307674588,-0.3299992146128645,-0.37222367978209747,-0.4970112916833232
2018,0.12808376103180774,0.1951093051737368,0.12676581760800154,-0.39503028110504285
2019,0.6283559587852335,0.6981948019392004,0.6114465842228645,-0.24844586546160294
2020,1.0577022838158086,1.122471345012508,1.0271101289858768,-0.07380909002702811
2021,1.3676601372138117,1.4200485886866114,1.3268383010317477,0.10916156991573574
