time,nod1,nod2,u2_mean,v2_mean,trend,total,total_nodal,total_wind,rate_slr
1890,1.2239391832387903,0.0,1.7452421691053737,-0.006838162759695647,-16.683020910774804,-13.720677721190336,1.2239391832387903,1.738404006345678,
1891,1.1548629267656858,0.3227268699731531,2.057229661753617,-0.029948449811454766,-16.438781443247116,-12.933910434566116,1.477589796738839,2.0272812119421624,2.4420580093032562
1892,0.955431161108784,0.6090258449229006,0.6434156319523989,0.0122227871646085,-16.194609308914153,-13.97451388376546,1.5644570060316845,0.6556384191170074,2.4402357393282337
1893,0.6481548083499262,0.8265808397161832,1.3254006762954245,-0.012238058348573175,-15.95073429538147,-13.162836029368508,1.4747356480661096,1.3131626179468512,2.4347394098382313
1894,0.267717781614802,0.9508352671905921,1.7087198906313263,-0.010671631287499183,-15.707661426946506,-12.791060118797285,1.218553048805394,1.698048259343827,2.4241003507302583
1895,-0.14293797232259803,0.9677638705070926,1.1312874030102495,-0.010108121544328514,-15.465914225235418,-13.519909045585003,0.8248258981844945,1.121179281465921,2.4104527666164444
1896,-0.5374595585315433,0.8754558283431289,2.301699735815685,0.004663547944488014,-15.225570873623218,-12.581211320051459,0.3379962698115856,2.306363283760173,2.396921563853267
1897,-0.8713152312417402,0.6843304394389788,1.9048794062944447,-0.027809196515222106,-14.986529912464764,-13.296444494488302,-0.1869847918027614,1.8770702097792227,2.3844917207946192
1898,-1.1068209283871233,0.41596104103763976,3.6003904268710616,-0.009210525240099597,-14.748672529464294,-11.848352515182816,-0.6908598873494836,3.591179901630962,2.373374532892507
1899,-1.217393871738722,0.10063991178722058,2.3501701701176656,-0.006698547312768675,-14.511855005886263,-13.285137343032867,-1.1167539599515015,2.343471622804897,2.3646001217192048
1900,-1.1905531061991932,-0.22604097855794347,2.3728735150957387,-0.021635618025029738,-14.275752505120453,-13.34110869280688,-1.4165940847571368,2.351237897070709,2.3594938691524536
1901,-1.0293282914603479,-0.5272074237049686,1.1892708764946816,-0.00502984587298194,-14.039956232055772,-14.412250916599389,-1.5565357151653165,1.1842410306216997,2.356415721092482
1902,-0.7519177282306548,-0.768865168235023,2.1764376304301782,0.005121105425834332,-13.804469360901956,-13.143693521511622,-1.5207828964656778,2.1815587358560125,2.3516931762006887
1903,-0.3896342194278132,-0.9237370196724177,4.510635119625247,-0.07919115792351455,-13.569617596815634,-10.451544874214132,-1.3133712391002308,4.431443961701732,2.342975945015562
