time,nod1,nod2,pressure_diff,trend,total,total_nodal,total_wind,rate_slr
1865,-1.0989799533557574,-0.0,-3.650839309941975,-9.8175610825248,-14.567380345822533,-1.0989799533557574,-3.650839309941975,
1866,-1.0369561026968377,-0.035051657404256885,-1.7920608109469565,-9.589732103486144,-12.453800674534195,-1.0720077601010947,-1.7920608109469565,2.2749740905119253
1867,-0.8578855120002428,-0.06614684816405722,-4.613298708687902,-9.362566264422416,-14.899897333274616,-0.9240323601643,-4.613298708687902,2.2661801543747284
1868,-0.5819808294418665,-0.08977569302817838,-0.8226929720319186,-9.136496072611198,-10.630945567113162,-0.6717565224700448,-0.8226929720319186,2.255557324438202
1869,-0.24038488119400322,-0.10327107884206296,-0.5475796458048636,-8.911454799534775,-9.802690405375705,-0.3436559600360662,-0.5475796458048636,2.245999443250488
1870,0.12834458468775722,-0.10510970976805899,-5.9041859360625155,-8.6872961839611,-14.568247245103919,0.023234874919698237,-5.9041859360625155,2.2353363389759284
1871,0.4825871159730363,-0.09508404977309758,-4.254030670359128,-8.46438753173959,-12.33091513589878,0.3875030661999387,-4.254030670359128,2.2198644713599602
1872,0.7823574776438783,-0.07432574832245938,-3.668562228181652,-8.243323289689108,-11.203853788549342,0.7080317293214189,-3.668562228181652,2.1975382156797263
1873,0.9938189976345766,-0.0451779050972182,-0.9242062331661678,-8.024879888603644,-8.000445029232454,0.9486410925373584,-0.9242062331661678,2.1670163372425577
1874,1.0931028916311631,-0.01093059189479247,-0.8563023877069874,-7.809920022240597,-7.584050110211214,1.0821722997363707,-0.8563023877069874,2.1281202383849074
1875,1.0690024594654015,0.024550515240317972,-7.057487350787231,-7.599255840926663,-13.563190217008174,1.0935529747057195,-7.057487350787231,2.0812515227553163
1876,0.9242380448540274,0.05726047539278254,-6.130590386666993,-7.393669717689534,-12.542761584109716,0.98149852024681,-6.130590386666993,2.026403560288257
1877,0.6751499757623765,0.08350714171795572,-3.0388739390149486,-7.1939751288690115,-9.474191950403629,0.7586571174803322,-3.0388739390149486,1.9634233956288272
1878,0.34985414484360317,0.1003279136561526,-1.9940670994351088,-7.000985038563768,-8.544870079499121,0.4501820584997558,-1.9940670994351088,1.8949142507965577
1879,-0.014931580619513527,0.10582414138491421,-3.9024289601502358,-6.8149922787097,-10.626528678094536,0.09089256076540068,-3.9024289601502358,1.8259733747320661
1880,-0.37803189931316566,0.09937543650353284,-0.08812465025616403,-6.635790363617355,-7.002571476683152,-0.27865646280963285,-0.08812465025616403,1.759976965573653
1881,-0.6984617507326665,0.0817096985651985,-5.469712093361616,-6.462996885594969,-12.549461031124054,-0.616752052167468,-5.469712093361616,1.6987316682442755
1882,-0.9400525165325834,0.054820953190344274,0.1400433473115065,-6.2960440299685,-7.0412322459992325,-0.8852315633422391,0.1400433473115065,1.6438361065433105
1883,-1.0755345644820589,0.02174427580949688,-1.3093444852084037,-6.134229664286307,-8.497364438167274,-1.053790288672562,-1.3093444852084037,1.5968613223655348
1884,-1.08961531661673,-0.013786793412396331,-2.0710947498435988,-5.976671765495393,-9.151168625368118,-1.1034021100291262,-2.0710947498435988,1.5592129074312044
1885,-0.9807054036948745,-0.04776167407404373,-2.49784396535145,-5.822387082800066,-9.348698125920436,-1.0284670777689182,-2.49784396535145,1.532175826226636
1886,-0.7610980657409615,-0.07634544103804297,-3.2247605337756697,-5.670236600250066,-9.73244064080474,-0.8374435067790045,-3.2247605337756697,1.5161799747242632
1887,-0.45558154878489515,-0.09631169278900518,-1.8633314278809394,-5.519151087855214,-7.934375757310054,-0.5518932415739003,-1.8633314278809394,1.5099160704857884
1888,-0.0986411239431355,-0.10540673250008924,-3.216890158899381,-5.368253386152908,-8.789191401495515,-0.20404785644322473,-3.216890158899381,1.511496417048237
1889,0.26943344819875426,-0.10260395475769352,-3.2200966079230233,-5.216851804445566,-8.27011891892753,0.16682949344106074,-3.2200966079230233,1.5177580729854778
1890,0.6070956367433463,-0.08821972396426911,-1.8792179253163321,-5.0647017715558125,-6.425043784093067,0.5188759127790772,-1.8792179253163321,1.5256615568512322
1891,0.8762317179752951,-0.06387766460878044,-1.8519631086155903,-4.91171949307532,-5.951328548324396,0.8123540533665147,-1.8519631086155903,1.5329299603981905
1892,1.0464628736854298,-0.03232539415155582,-3.9752153529866048,-4.758115779476174,-7.719193652928905,1.014137479533874,-3.9752153529866048,1.537816712692841
1893,1.0985742096493025,0.002875615144306702,-2.613931994774902,-4.604156150536752,-6.116638320518044,1.1014498247936093,-2.613931994774902,1.5402874629833985
1894,1.0266836427413915,0.03775203849350423,-2.037674806156381,-4.450058286879495,-5.423297411800981,1.0644356812348956,-2.037674806156381,1.540749997584805
1895,0.8389058428827745,0.06836718884961197,-5.26645237480023,-4.296006151019791,-8.655185494087634,0.9072730317323865,-5.26645237480023,1.5399547526820179
1896,0.5564362871700588,0.09126537167008754,-2.3217661896495048,-4.142067336343091,-5.81613186715245,0.6477016588401463,-2.3217661896495048,1.5386423278905248
1897,0.21115881385837995,0.10386194750399086,-2.639379540208051,-3.9882776854416857,-6.312636464287366,0.3150207613623708,-2.639379540208051,1.5366109486461443
1898,-0.15795327571918105,0.10473507396748195,-0.7050745919381595,-3.8347451466138622,-4.593037940303721,-0.0532182017516991,-0.7050745919381595,1.5334515144455452
1899,-0.5092363405645297,0.09378619664159703,-1.9810955556579382,-3.6815873825525767,-6.078133082133448,-0.41545014392293267,-1.9810955556579382,1.5302044877698417
1900,-0.8030391963472377,0.07225117343269727,-2.491358193462865,-3.528704249059894,-6.750850465437299,-0.7307880229145405,-2.491358193462865,1.5284602786130908
1901,-1.0061987550699563,0.04256077672997251,-4.110673249466378,-3.3758953268299585,-8.45020655463632,-0.9636379783399838,-4.110673249466378,1.52734596363439
1902,-1.095783318858355,0.008066319222013035,-4.353139094725541,-3.223235056333016,-8.6640911506949,-1.087716999636342,-4.353139094725541,1.5245592334721936
1903,-1.0616810024341086,-0.027338626556939045,-0.0786510508680549,-3.07098348013552,-4.238654159994622,-1.0890196289910477,-0.0786510508680549,1.519654320491064
1904,-0.9077411152856427,-0.059657716428128914,-2.3345919857440722,-2.919304192234803,-6.221295009692646,-0.9673988317137716,-2.3345919857440722,1.5135501137498908
1905,-0.6513396696719467,-0.08524292315051024,-0.2938620794264761,-2.7682734573855416,-3.7987181296344747,-0.736582592822457,-0.2938620794264761,1.506898510466661
1906,-0.32141805787759525,-0.10120630862115204,0.825130330745357,-2.617924490141471,-2.215418525894861,-0.4226243664987473,0.825130330745357,1.5001122038383885
1907,0.044783716371052454,-0.1057460007796615,-2.8267236117975654,-2.468251016617864,-5.355936912824038,-0.06096228440860904,-2.8267236117975654,1.49282362019866
1908,0.40593051481660397,-0.09834958047295558,-2.006455652481228,-2.319359766101739,-4.0182344842393185,0.3075809343436484,-2.006455652481228,1.4837134751613945
1909,0.7212577811551238,-0.07985192092526923,-2.7437931802317532,-2.171508321585585,-4.273895641587483,0.6414058602298546,-2.7437931802317532,1.471504371690724
1910,0.9551728529065685,-0.05234095116537434,-1.1061722152568778,-2.025058891763594,-2.2283992052792776,0.9028319017411942,-1.1061722152568778,1.4549120564773022
1911,1.0812724941740788,-0.01892198039324274,-0.29142809312237267,-1.8805259102901246,-1.1096034896316613,1.062350513780836,-0.29142809312237267,1.4329693131219745
