time,nod1,nod2,u2_mean,v2_mean,trend,total,total_nodal,total_wind,rate_slr
1890,1.1140403161518069,0.0,1.170956760197793,0.16849328064194855,-10.879564086117114,-8.426073729125566,1.1140403161518069,1.3394500408397416,
1891,1.051166493944199,0.16640274112589556,2.852452327457136,0.5157151005882045,-10.739188515544903,-6.153451852429468,1.2175692350700944,3.3681674280453406,1.402942128503648
1892,0.8696419294023497,0.3140227215047689,0.7129944956387875,-0.08619543783648588,-10.598975660416384,-8.788511951706964,1.1836646509071187,0.6267990578023016,1.4003629245395288
1893,0.5899562637570938,0.4261972903042114,3.9297003362221203,0.14777584454448772,-10.459115930636997,-5.365486195809084,1.0161535540613051,4.077476180766608,1.3965662410551527
1894,0.2436791028132533,0.49026470846028386,1.532070270570871,0.09815397373856377,-10.319662412205354,-7.955494356622381,0.7339438112735371,1.6302242443094348,1.3925972919314766
1895,-0.1301034120461669,0.49899334638105236,2.2541895476610105,0.1356404172239285,-10.180596472250702,-7.421876573030877,0.3688899343348855,2.389829964884939,1.3897297794232966
1896,-0.489200464128351,0.45139795636804825,3.7102576560505125,-0.11544342056793477,-10.041716456320694,-6.48470472859842,-0.03780250776030275,3.594814235482578,1.3892129441510193
1897,-0.7930788628825632,0.35285088275422405,2.9795850741379635,0.5084570880259273,-9.902753883420498,-6.8549397013849465,-0.4402279801283392,3.488042162163891,1.3911242049814376
1898,-1.0074382402898043,0.2144756568797708,7.651572240159566,0.10045082239982048,-9.763491615324407,-2.8044311361750536,-0.7929625834100336,7.7520230625593864,1.3951311293103963
1899,-1.1080827154861,0.051891425060004936,4.772442450157236,0.09765331820223078,-9.623727657558419,-5.809823179625047,-1.056191290426095,4.870095768359467,1.4017354003522087
1900,-1.0836520122804987,-0.11655006737415631,3.355183511316437,0.44424638644515085,-9.483144535253965,-6.883916717147033,-1.200202079654655,3.7994298977615877,1.411782611627208
1901,-0.9369037538352605,-0.2718359349927268,2.0441849257113254,0.22466480394499883,-9.341371135232977,-8.281261094404641,-1.2087396888279873,2.268849729656324,1.4242251005912987
1902,-0.6844021951005701,-0.3964382375758604,2.183392987020299,0.09635186706088388,-9.198299515135705,-7.9993950937309535,-1.0808404326764305,2.2797448540811827,1.436732201218005
1903,-0.35464852742624947,-0.47629245177429014,6.600069641565255,1.0005447386026964,-9.054024694989376,-2.284351294021965,-0.8309409792005396,7.600614380167951,1.4481348283235818
1904,0.015136202205705045,-0.5023850085218924,2.7260040231457214,0.2974786433767636,-8.908672549470989,-6.3724386892646905,-0.48724880631618733,3.023482666522485,1.4581733745680925
1905,0.38321242834351904,-0.4717707024251005,3.732746601620765,0.13337370938095564,-8.762390020075758,-4.984827983155618,-0.08855827408158146,3.8661203110017204,1.4672145952212734
1906,0.7080334333944636,-0.387905132730426,4.911818721879031,0.2096202377125805,-8.615229630426734,-3.173662370171086,0.3201283006640376,5.121438959591611,1.4762639326598403
1907,0.9529349461920961,-0.2602546514933078,4.930385909610052,0.31079502511379903,-8.46713723354379,-2.5332760041211504,0.6926802946987882,5.241180934723851,1.4850232969752053
1908,1.0902736329166833,-0.10322784616907596,3.162056186186155,0.07708212191675624,-8.318224971031693,-4.092040876181174,0.9870457867476073,3.2391383081029113,1.4914267879869048
1909,1.1045473469292684,0.06545083414174224,3.410380681641956,0.3015993489069254,-8.168851875946409,-3.2868736643265164,1.1699981810710107,3.7119800305488817,1.4935937697539536
1910,0.9941449383566225,0.22674173135440048,3.078613412562964,0.300920907832509,-8.019506217080902,-3.4190852269744063,1.220886669711023,3.3795343203954733,1.4899041423145398
1911,0.7715281131302971,0.36243908568080796,4.449000126558919,0.6286042496498351,-7.870871047483501,-1.6592994724636414,1.133967198811105,5.077604376208754,1.4790966374697234
1912,0.4618248140846268,0.457226016382873,5.16070688510458,1.110490698223625,-7.723686889586958,-0.5334384757912529,0.9190508304674998,6.271197583328205,1.4604720961961482
1913,0.09999289665623867,0.5004034194117368,4.06467707532325,0.954591849250888,-7.578776628244271,-1.9591113876021575,0.6003963160679755,5.019268924574138,1.4342075276948174
1914,-0.2731257498343513,0.4870976320784208,2.9949528473755103,2.187718182856427,-7.436845384047994,-2.0402024715719875,0.2139718822440695,5.182671030231937,1.4026594697385963
1915,-0.615415243041291,0.4188105492335837,6.068264912744794,1.6537313010811847,-7.298244734296552,0.2271467857217191,-0.19660469380770734,7.721996213825978,1.367473505134904
1916,-0.8882395508077487,0.3032500964228519,9.683308505000236,1.69447593837031,-7.163350683021013,3.629444305964636,-0.5849894543848968,11.377784443370546,1.3270602197933146
1917,-1.060803545216494,0.1534601954126317,4.260469387343492,1.257534635076728,-7.032832690337889,-2.4221720177215316,-0.9073433498038622,5.51800402242022,1.2796131002438527
1918,-1.1136290121551915,-0.01365157250389135,3.015881814185756,1.161157515429758,-6.907428062972243,-3.8576693180158115,-1.1272805846590828,4.177039329615514,1.224699175622872
1919,-1.0407532607441958,-0.17922241496193841,2.6993196699196313,0.20573156379916135,-6.787892855213315,-5.102817297200656,-1.2199756757061342,2.9050512337187926,1.1624559212609142
1920,-0.8504021639093423,-0.3245634720332958,2.3571368629311693,1.1370358398156566,-6.67493687872006,-4.3557298119158725,-1.1749656359426381,3.494172702746826,1.0945525691942404
1921,-0.5640616604374045,-0.43326932705703786,6.050442713596965,-0.021845156815895894,-6.568982341374467,-1.5377157720878403,-0.9973309874944423,6.028597556781069,1.0229754988252537
1922,-0.2140525230061948,-0.493069773106906,3.210009899896809,0.41408521548362465,-6.470341778955009,-3.5533689596876763,-0.7071222961131007,3.6240951153804337,0.9486208379941274
1923,0.16011785900379097,-0.49721481638399884,7.35894571457954,0.5553829684665864,-6.379258173775641,1.1979735518902777,-0.33709695738020784,7.914328683046127,0.8720391303783881
1924,0.5162148882754467,-0.44523658384948966,2.286130376966569,1.2603735470835515,-6.295933952879332,-2.6784517244032537,0.07097830442595704,3.5465039240501204,0.793910554600834
1925,0.8140440027584084,-0.3430021345382426,6.013501895322278,0.46100327650316514,-6.220476062855474,0.7250709771901347,0.4710418682201658,6.474505171825443,0.715135113298806
