Statistical model,Degrees of freedom,Deviance
Tr : Trend only,5.6,1807.0
TrNc : Trend and nodal tide,7.5,1686.0
"TrNcZw : Trend, nodal tide and wind (velocity)",8.5,879.0
"TrNcPd : Trend, nodal tide and wind (pressure)",8.5,1163.0
