time,NearestPointAverage,PressureDifference,NearestPointAverage_trend,NearestPointAverage_dt,NearestPointAverage_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1836,4.313597082654686,-1.4745622268599174,2.141602144353806,2.1719949383008803,-0.8581216430554847,-5.295526511340034,3.820964284480117,0.7170094533622324
1837,0.9412509089323188,-4.656283345929823,2.1562586802807564,-1.2150077713484375,-0.8220536195259562,-5.1992488952303155,0.5429655493004928,0.593178291684283
1838,-1.205099242193664,-6.223714605676904,2.1710161511927417,-3.3761153933864056,-0.7824700490452153,-5.104374938223231,-1.1193396674536737,0.4730482691541191
1839,0.36897490217533957,-6.353408549526682,2.185873368948119,-1.8168984667727797,-0.7415649868281262,-5.010892920027605,-1.3425156294990765,0.35475813921388705
1840,4.229727777491532,-3.061314330981789,2.2008291454052418,2.0288986320862903,-0.6997483950489692,-4.918791120352294,1.857476789370505,0.23776586785417328
1841,1.3582976126836992,-4.475178189749101,2.215882292422477,-0.8575846797387778,-0.6563008737682122,-4.828057818906061,0.35287962915695914,0.1229990719603675
1842,0.7312857989323805,-5.149742152838028,2.231031621858178,-1.4997458229257976,-0.6112817960720989,-4.738681295397758,-0.4110608574402699,0.011255801729249951
1843,1.692820242871705,-4.784422739082937,2.246275945570702,-0.553455702698997,-0.5643379623597414,-4.650649829536211,-0.13377290954672638,-0.09627550877103998
1844,-1.2765217258729828,-9.17219760055445,2.261614075418402,-3.538135801291385,-0.5130190573230815,-4.563951701030274,-4.608245899524175,-0.19671901925293545
1845,3.4631080501832274,-3.3988294951308653,2.2770448232596454,1.186063226923582,-0.4492799959450666,-4.47857518958871,1.079745694457845,-0.28266461522831526
1846,2.33793201837505,-5.501736846334604,2.2925670009527845,0.045365017422265286,-0.3536048614891525,-4.394508574920375,-1.107228271414229,-0.33667525622572775
1847,2.4332189427285402,-4.845161255594665,2.3081794203561783,0.12503952237236193,-0.2651235511438171,-4.311740136734093,-0.5334211188605718,-0.3745307637239799
1848,2.2810950937194208,-5.3899202354983835,2.3238808933281785,-0.042785799608757724,-0.19566236660800576,-4.230258154738713,-1.159662080759671,-0.4094124340851202
1849,0.8980123982450084,-4.581276274807863,2.3396702317271534,-1.4416578334821448,-0.1493085833640829,-4.150050908643006,-0.4312253661648562,-0.43128664808958483
1850,5.848061834577207,-2.3978543014416513,2.3555462474114552,3.4925155871657516,-0.13180923873718411,-4.071106678155824,1.673252376714173,-0.42719302438344403
1851,1.7762614405146964,-5.508510245799371,2.3715077522394417,-0.5952463117247453,-0.13760474946831383,-3.993413742985992,-1.5150965028133792,-0.39611413209546703
1852,2.0453324589810813,-3.857355327094492,2.387553558069466,-0.3422210990883845,-0.16448573765305813,-3.9169603828423565,0.059605055747864455,-0.3516630776561202
1853,0.37162845714833626,-6.533458832020256,2.4036824767598954,-2.032054019611559,-0.18358590830422952,-3.8417348774336926,-2.691723954586563,-0.30398956390964227
1854,6.208778002913724,-0.28899524185567993,2.4198933201690824,3.7888846827446416,-0.16780373084721922,-3.7677255064688495,3.4787302646131697,-0.26345890078583517
1855,3.3410122877756985,-4.8720327747827135,2.4361849001553857,0.9048273876203128,-0.09352172166514607,-3.6949205496566515,-1.177112225126062,-0.21995628482188379
1856,-2.202150814422682,-3.0524978077441127,2.4525560285771566,-4.654706842999838,0.008589289357318489,-3.6233082867059467,0.570810478961834,-0.18664326795327088
1857,1.6355951190240656,-4.546421027398103,2.4690055172927643,-0.8334103982686987,0.10013764124366394,-3.5528769973255105,-0.9935440300725924,-0.16061888363858773
1858,-0.3888412223674386,-3.732880232012497,2.48553217816056,-2.8743734005279986,0.18308594661053595,-3.483614961224192,-0.24926527078830496,-0.12787871101001
1859,5.593826946410247,-1.4202639918061846,2.5021348230389027,3.0916921233713444,0.2612511238865995,-3.4155104581108153,1.9952464663046308,-0.07951647702372444
1860,-0.007199464037160731,-4.119186080174954,2.518812263786144,-2.5260117278233047,0.3693206890798412,-3.348551767694225,-0.7706343124807287,-0.006732959928224459
1861,7.5624036078662416,-2.7865474953170595,2.5355633122606527,5.026840295605589,0.5164351787867094,-3.282727169683204,0.4961796743661444,0.08116506832104937
1862,3.510837782723187,-5.121871279630626,2.5523867803207807,0.9584510024024064,0.6853969616617072,-3.2180249437865953,-1.9038463358440305,0.16206319674628664
1863,8.66100592586141,0.5187048844831224,2.5692814798248866,6.091724446036523,0.8558905351587334,-3.1544333697132254,3.6731382541963478,0.21628659705474035
1864,1.8174206714895145,-6.170859881984728,2.5862462226313214,-0.768825551141807,1.0237016112560096,-3.091940727171938,-3.07891915481279,0.24884210477129123
1865,0.7298195864916702,-2.7814285819509537,2.6032798205984546,-1.8734602341067843,1.1615386334839715,-3.0305352958715144,0.24910671392056072,0.2711507534094468
1866,7.025213789224732,-1.3652995207398733,2.620381085584638,4.404832703640094,1.2422519194941146,-2.970205355520803,1.6049058347809297,0.29798690143983636
1867,1.3383650772477478,-3.5146879377788594,2.63754882944823,-1.299183752200482,1.2527194677617812,-2.9109391858286244,-0.6037487519502349,0.3202486494106765
1868,6.580251977399808,-0.6267769004098193,2.6547818640475818,3.925470113352226,1.1937799277896488,-2.852725066503824,2.225948166094005,0.33001507967663846
1869,7.258033533610982,-0.417179050742837,2.672079001241063,4.58595453236992,1.1017995735291741,-2.7955512772551865,2.3783722265123495,0.32523157969349237
1870,1.700453478098369,-4.49816333219501,2.689439052887025,-0.988985574788656,0.9961688377246991,-2.739406097791556,-1.758757234403454,0.2975867551754699
1871,2.30117498298239,-3.2409759758012777,2.7068608308438264,-0.40568584786143624,0.8905638362301954,-2.684277807821756,-0.5566981679795218,0.24975991986860854
1872,4.454427432955601,-2.794930965146285,2.7243431469698187,1.7300842859857823,0.7795183824234853,-2.630154687054629,-0.16477627809165618,0.1971034461281396
1873,4.95174031985845,-0.7041157975770953,2.741884813123371,2.209855506735079,0.6540310370696159,-2.577025015198962,1.8729092176218667,0.14672152281690123
1874,4.762930670427024,-0.6523825711734532,2.7594846411628353,2.0034460292641887,0.5118275753866864,-2.5248770719635987,1.8724945007901455,0.10559620807553029
1875,-0.5875258422392157,-5.376817593910729,2.777141442946569,-3.3646672851857846,0.38237173163485977,-2.4736991370573627,-2.903118456853367,0.09019195657696405
1876,0.23231699549049817,-4.670651835941894,2.7948540303329246,-2.5625370348424266,0.2912115468195712,-2.423479490189094,-2.2471723457527997,0.10097768236712489
1877,4.226389710966986,-2.3151966201044316,2.8126212151802714,1.4137684957867145,0.23061959677136523,-2.374206411067584,0.0590097909631524,0.12521702997965653
1878,3.815869414264328,-1.5192000397259329,2.830441809346961,0.9854276049173669,0.20277801416690844,-2.325868179401674,0.8066681396757409,0.15654817513768468
1879,0.7067748991580107,-2.973104682870175,2.8483146246913513,-2.141539725533341,0.1819592273121046,-2.278453074900187,-0.694651607969988,0.18206643729285227
1880,3.9597025871793634,-0.06713864955092251,2.8662384730717996,1.0934641141075638,0.1406191416421022,-2.2319493772719476,2.1648107277210253,0.18801996891878348
1881,1.271722076345181,-4.1671550731058,2.884212166346658,-1.612490090001477,0.08837396423079677,-2.186345366225795,-1.980809706880005,0.18774574821286028
1882,4.0391788366047425,0.10669343015551656,2.902234516374296,1.1369443202304463,0.03590900602436197,-2.141629321470523,2.2483227516260396,0.1982040798978444
1883,4.687648004868469,-0.9975372416038748,2.9203043350130655,1.767343669855404,-0.02301485931800064,-2.0977895227149714,1.1002522811110966,0.2216826451283081
1884,4.5449462888723495,-1.577884328531321,2.9384204341213245,1.606525854751025,-0.10838823739880736,-2.054814249667964,0.4769299211366429,0.23199190411111625
1885,2.321459158232816,-1.9030075028398474,2.9565816255574235,-0.6351224673246074,-0.2235240929785484,-2.0126917820383383,0.10968427919849089,0.20795423033070684
1886,3.4189674856940635,-2.456816188585856,2.9747867211797336,0.44418076451432986,-0.35450661511451775,-1.9714103995348908,-0.4854057890509653,0.15387266386035886
1887,2.328552654252184,-1.4195977557932833,2.9930345328466057,-0.6644818785944215,-0.4874993766195121,-1.93095838186646,0.5113606260731767,0.0754593473185495
1888,1.648188917577974,-2.45082006446942,3.0113238724163978,-1.3631349548384237,-0.6240780612430178,-1.8913240087418695,-0.5594960557275503,-0.020175551335395753
1889,1.7414682158081507,-2.4532629298501667,3.0296535517474616,-1.288185335939311,-0.7610154727582422,-1.8524955598699562,-0.6007673699802105,-0.12187406404754689
1890,0.7988498310236131,-1.431701043361586,3.048022382698167,-2.2491725516745538,-0.8684223108194067,-1.814461314959519,0.382760271597933,-0.2072476500343073
1891,2.2753422244927366,-1.4109366876254026,3.066429177126865,-0.7910869526341284,-0.9241765595430351,-1.7772095537193944,0.3662728660939918,-0.2666156145799642
1892,0.39672102778248286,-3.028557727012894,3.084872746891914,-2.688151719109431,-0.9187619372063232,-1.740728555858407,-1.2878291711544871,-0.29641597833134564
1893,3.2212552092136435,-1.9914503335559124,3.1033519038516655,0.11790330536197802,-0.8731379111696086,-1.7050066010853921,-0.28644373247052024,-0.31736589815854793
1894,1.1159374056960885,-1.5524230089038913,3.121865459864489,-2.0059280541684004,-0.8095255998864699,-1.6700319691091505,0.11760896020525924,-0.34590838762505527
1895,1.7500179471861923,-4.012299615834269,3.140412226788736,-1.390394279602544,-0.7296328142560259,-1.635792939638518,-2.3765066761957514,-0.3768733027981349
1896,3.028566358654286,-1.7688608816368663,3.1589910164827653,-0.13042465782847934,-0.6369606235943105,-1.6022777923823193,-0.166583089254547,-0.4018994907518542
1897,2.3869753070235618,-2.0108378015322503,3.1776006408049273,-0.7906253337813656,-0.538392164610237,-1.5694748070493882,-0.4413629944828621,-0.4037727724906823
1898,6.4893670393190614,-0.5371681566711768,3.196239911613593,3.2931271277054686,-0.4337377200709613,-1.5373722633485283,1.0002041066773515,-0.3726565530907514
1899,3.9612525931552294,-1.5093175388676785,3.214907640767113,0.7463449523881165,-0.32318797593660653,-1.5059584409885738,-0.003359097879104711,-0.31416946147160757
1900,2.716781847279147,-1.8980662524107204,3.2336026401238454,-0.5168207928446984,-0.22209686555874766,-1.475221619678349,-0.4228446327323714,-0.24348093712639118
1901,1.5656164935401078,-3.1317576854152764,3.2523237215421417,-1.6867072280020339,-0.1474108183423554,-1.4451500791266878,-1.6866076062885886,-0.1823901573493585
1902,1.6878527025640127,-3.3164827239329133,3.271069696880372,-1.5832169943163592,-0.11290657225047909,-1.415732099042395,-1.9007506248905184,-0.13949038609554273
1903,5.566060657329615,-0.059921092744112905,3.2898393779968877,2.276221279332727,-0.1113882237029619,-1.386955959134304,1.327034866390191,-0.10744030328899999
1904,2.164310139057523,-1.7786323431598527,3.308631576750047,-1.1443214376925241,-0.13140962040867962,-1.3588099391112394,-0.4198224040486134,-0.08410711719128237
1905,3.04831351571979,-0.2238817755255661,3.327445104998201,-0.279131589278411,-0.15738061966240216,-1.331282318682034,1.107400543156468,-0.05825872626116438
1906,4.083636504855174,0.6286338266162298,3.34627877459972,0.7373577302554541,-0.1722978973002513,-1.3043613775554936,1.9329952041717235,-0.01158681805488365
