Statistical model,Degrees of freedom,Deviance
Tr : Trend only,4.7,1202.0
TrNc : Trend and nodal tide,6.7,1055.0
"TrNcZw : Trend, nodal tide and wind (zonal velocity)",7.7,429.0
"TrNcW : Trend, nodal tide and wind (zonal & meridional velocity)",8.6,426.0
"TrNcPd : Trend, nodal tide and wind (pressure difference)",7.7,672.0
"TrNcPns : Trend, nodal tide and wind (northern & southern pressure)",8.7,644.0
