time,nod1,nod2,trend,total,total_nodal,rate_slr
1865,-1.2610632960966561,0.0,-11.647624259548655,-12.908687555645312,-1.2610632960966561,
1866,-1.1898918417769393,0.001088260046406964,-11.483727156196744,-12.672530737927277,-1.1888035817305322,1.637467832472801
1867,-0.9844109786835958,0.0020536824043004887,-11.320130693054095,-12.30248798933339,-0.9823572962792954,1.6346662155115155
1868,-0.6678144226380134,0.0027872947271588232,-11.156793913094441,-11.821821041005297,-0.6650271279108546,1.6348305713661127
1869,-0.2758381075875561,0.00320629029768823,-10.993164578780872,-11.26579639607074,-0.2726318172898679,1.6411837167271148
1870,0.1472735189648231,0.003263374861586961,-10.828557169749018,-10.678020275922607,0.15053689382641006,1.653449467062753
1871,0.553761601623803,0.002952104981091892,-10.662474685368322,-10.105760978763428,0.5567137066048948,1.6700001431137323
1872,0.8977436726401107,0.0023076153400041137,-10.494557141126272,-9.594505853146156,0.9000512879801148,1.6875594171208785
1873,1.1403926496144476,0.0014026529054143146,-10.324962801944146,-9.183167499424284,1.141795302519862,1.7021583545187813
1874,1.2543194544031386,0.00033936559134683874,-10.154125470222516,-8.89946665022803,1.2546588199944855,1.7115211081431347
1875,1.2266645637643185,-0.0007622277185528636,-9.982658580315519,-8.756756244269754,1.2259023360457657,1.7140779054320543
1876,1.060549532011573,-0.001777784339540718,-9.811309889136105,-8.752538141464072,1.0587717476720322,1.707375708189156
1877,0.7747246446076582,-0.0025926730046796215,-9.641183438677688,-8.869051467074708,0.7721319716029786,1.6884200264939953
1878,0.4014524739076214,-0.0031149129044636464,-9.473625883837306,-9.075288322834147,0.39833756100315776,1.6591478176881758
1879,-0.01713376865017411,-0.003285556049071095,-9.309353875140053,-9.329773199839298,-0.020419324699245206,1.6257556552642694
1880,-0.43378603178507424,-0.003085341040903618,-9.148474752784452,-9.58534612561043,-0.4368713728259779,1.5921348606743102
1881,-0.801474562740497,-0.0025368672107830997,-8.99092690300519,-9.794938332956471,-0.80401142995128,1.5599854924265877
1882,-1.0786964051370478,-0.0017020437115122735,-8.836477654299134,-9.916876103147695,-1.08039844884856,1.5305561307989457
1883,-1.234160057979297,-0.0006751015031504636,-8.684815676845401,-9.919650836327849,-1.2348351594824476,1.5047451238876786
1884,-1.2503175134854214,0.0004280429956774462,-8.535528629521599,-9.785418100011343,-1.249889470489744,1.4837140190287545
1885,-1.1253449938798932,0.001482872009298502,-8.38807287303965,-9.511934994910245,-1.1238621218705946,1.4692238270849778
1886,-0.8733488108726094,0.002370321387339892,-8.241683864104603,-9.112662353589872,-0.8709784894852695,1.4623525241926227
1887,-0.5227731113722318,0.0029902200074387072,-8.095602368201126,-8.615385259565919,-0.519782891364793,1.4627573173671937
1888,-0.11318923562761415,0.0032725966215857876,-7.949132400631164,-8.059049039637193,-0.10991663900602837,1.4692321274908604
1889,0.30917091001224006,0.003185577882333887,-7.801755942702954,-7.48939945480838,0.31235648789457393,1.4785123756742813
1890,0.6966332937918751,0.002738986056725109,-7.653429925496308,-6.954057645647708,0.6993722798486002,1.4875968016581975
