time,23,Average
1890,-9.198089171974516,-9.198089171974516
1891,-5.7980891719745165,-5.7980891719745165
1892,-5.698089171974516,-5.698089171974516
1893,-3.698089171974516,-3.698089171974516
1894,-3.898089171974516,-3.898089171974516
1895,-6.2980891719745165,-6.2980891719745165
1896,-8.398089171974517,-8.398089171974517
1897,-7.398089171974516,-7.398089171974516
1898,-3.198089171974516,-3.198089171974516
1899,-3.298089171974516,-3.298089171974516
1900,-7.598089171974516,-7.598089171974516
1901,-12.398089171974517,-12.398089171974517
1902,-16.098089171974518,-16.098089171974518
1903,-6.598089171974516,-6.598089171974516
1904,-3.398089171974516,-3.398089171974516
1905,-7.198089171974516,-7.198089171974516
1906,-2.998089171974516,-2.998089171974516
1907,-5.7980891719745165,-5.7980891719745165
1908,-7.698089171974516,-7.698089171974516
1909,-2.998089171974516,-2.998089171974516
1910,-1.298089171974516,-1.298089171974516
1911,-4.2980891719745165,-4.2980891719745165
1912,0.9019108280254842,0.9019108280254842
1913,-3.298089171974516,-3.298089171974516
1914,0.3019108280254841,0.3019108280254841
1915,-2.798089171974516,-2.798089171974516
1916,0.10191082802548408,0.10191082802548408
1917,-5.2980891719745165,-5.2980891719745165
1918,-3.5980891719745163,-3.5980891719745163
1919,-3.798089171974516,-3.798089171974516
1920,-4.7980891719745165,-4.7980891719745165
1921,-3.5980891719745163,-3.5980891719745163
1922,-4.898089171974516,-4.898089171974516
1923,-2.5980891719745163,-2.5980891719745163
1924,-4.498089171974516,-4.498089171974516
1925,-0.29808917197451595,-0.29808917197451595
1926,-3.398089171974516,-3.398089171974516
1927,-3.398089171974516,-3.398089171974516
1928,-1.898089171974516,-1.898089171974516
1929,-5.2980891719745165,-5.2980891719745165
1930,-0.19808917197451592,-0.19808917197451592
1931,0.3019108280254841,0.3019108280254841
1932,-0.998089171974516,-0.998089171974516
1933,-6.698089171974516,-6.698089171974516
1934,-6.098089171974516,-6.098089171974516
1935,-0.5980891719745159,-0.5980891719745159
1936,0.6019108280254841,0.6019108280254841
1937,-0.898089171974516,-0.898089171974516
1938,7.601910828025485,7.601910828025485
1939,-3.798089171974516,-3.798089171974516
1940,-1.898089171974516,-1.898089171974516
1941,-5.7980891719745165,-5.7980891719745165
1942,-4.398089171974516,-4.398089171974516
1943,0.7019108280254841,0.7019108280254841
1944,1.1019108280254841,1.1019108280254841
1945,1.7019108280254842,1.7019108280254842
1946,0.2019108280254841,0.2019108280254841
1947,-8.398089171974517,-8.398089171974517
1948,-0.09808917197451593,-0.09808917197451593
1949,3.6019108280254843,3.6019108280254843
1950,2.901910828025484,2.901910828025484
1951,0.5019108280254841,0.5019108280254841
1952,2.1019108280254843,2.1019108280254843
1953,-0.798089171974516,-0.798089171974516
1954,3.401910828025484,3.401910828025484
1955,4.101910828025484,4.101910828025484
1956,-3.698089171974516,-3.698089171974516
1957,-1.598089171974516,-1.598089171974516
1958,2.1019108280254843,2.1019108280254843
1959,-1.798089171974516,-1.798089171974516
1960,1.4019108280254842,1.4019108280254842
1961,6.601910828025485,6.601910828025485
1962,1.301910828025484,1.301910828025484
1963,-3.198089171974516,-3.198089171974516
1964,1.001910828025484,1.001910828025484
1965,7.001910828025484,7.001910828025484
1966,9.601910828025485,9.601910828025485
1967,11.801910828025484,11.801910828025484
1968,3.901910828025484,3.901910828025484
1969,0.9019108280254842,0.9019108280254842
1970,3.401910828025484,3.401910828025484
1971,-2.098089171974516,-2.098089171974516
1972,-3.298089171974516,-3.298089171974516
1973,1.9019108280254842,1.9019108280254842
1974,1.7019108280254842,1.7019108280254842
1975,-0.898089171974516,-0.898089171974516
1976,-2.198089171974516,-2.198089171974516
1977,5.701910828025484,5.701910828025484
1978,3.6019108280254843,3.6019108280254843
1979,4.201910828025484,4.201910828025484
1980,5.601910828025485,5.601910828025485
1981,9.401910828025484,9.401910828025484
1982,7.001910828025484,7.001910828025484
1983,11.201910828025484,11.201910828025484
1984,5.901910828025485,5.901910828025485
1985,6.101910828025485,6.101910828025485
1986,6.101910828025485,6.101910828025485
1987,4.201910828025484,4.201910828025484
1988,12.901910828025486,12.901910828025486
1989,8.101910828025485,8.101910828025485
1990,12.701910828025484,12.701910828025484
1991,2.201910828025484,2.201910828025484
1992,7.001910828025484,7.001910828025484
1993,5.801910828025484,5.801910828025484
1994,10.401910828025486,10.401910828025486
1995,9.901910828025486,9.901910828025486
1996,-1.098089171974516,-1.098089171974516
1997,3.7019108280254844,3.7019108280254844
1998,11.701910828025484,11.701910828025484
1999,11.201910828025484,11.201910828025484
2000,11.001910828025485,11.001910828025485
2001,10.901910828025486,10.901910828025486
2002,9.701910828025484,9.701910828025484
2003,8.701910828025484,8.701910828025484
2004,11.901910828025486,11.901910828025486
2005,9.201910828025484,9.201910828025484
2006,9.401910828025484,9.401910828025484
2007,14.101910828025485,14.101910828025485
2008,11.601910828025485,11.601910828025485
2009,8.201910828025484,8.201910828025484
2010,6.901910828025485,6.901910828025485
2011,11.601910828025485,11.601910828025485
2012,10.101910828025485,10.101910828025485
2013,7.201910828025484,7.201910828025484
2014,10.501910828025485,10.501910828025485
2015,13.501910828025485,13.501910828025485
2016,11.601910828025485,11.601910828025485
2017,15.501910828025485,15.501910828025485
2018,8.801910828025484,8.801910828025484
2019,17.001910828025483,17.001910828025483
2020,16.901910828025486,16.901910828025486
2021,14.101910828025485,14.101910828025485
