time,0.05,0.17,0.5,0.83,0.95
1872,,,,,
1873,-5.365406657193889,-4.617735318170832,-3.5848498092709615,-2.5519643003710915,-1.8042929613480354
1874,-5.367324427616857,-4.62052667995393,-3.588848011291855,-2.5571693426297797,-1.8103715949668544
1875,-5.371073305956438,-4.626311397825113,-3.5974451803576812,-2.56857896289025,-1.8238170547589256
1876,-5.377628553162301,-4.636542806000461,-3.61275509454976,-2.5889673830990585,-1.8478816359372197
1877,-5.385267793742738,-4.649757397003429,-3.63367186478297,-2.617586332562511,-1.8820759358232033
1878,-5.391067554508807,-4.663194277378365,-3.657659196622367,-2.6521241158663695,-1.9242508387359272
1879,-5.389540531528675,-4.6713695331435705,-3.6792378592006014,-2.6871061852576323,-1.9689351868725287
1880,-5.374365467812483,-4.667912759171676,-3.6919695507138073,-2.716026342255939,-2.0095736336151315
1881,-5.343173254972483,-4.650303605694248,-3.6931249859665827,-2.7359463662389176,-2.043076716960683
1882,-5.295116214569781,-4.61751594033685,-3.6814315038299306,-2.745347067323011,-2.0677467930900812
1883,-5.227052250637829,-4.566160592023549,-3.6531586063817834,-2.7401566207400174,-2.0792649621257384
1884,-5.134351615365649,-4.491340260147178,-3.6030393768592806,-2.7147384935713834,-2.0717271383529132
1885,-5.014468656927523,-4.39020851939522,-3.5278118804074676,-2.6654152414197156,-2.041155103887413
1886,-4.866222858122754,-4.261279557114845,-3.4255685478717135,-2.5898575386285825,-1.9849142376206734
1887,-4.691039258024726,-4.10563757907758,-3.2969227340492413,-2.4882078890209027,-1.9028062100737568
1888,-4.492652004321147,-3.9266626120303982,-3.14476525823852,-2.3628679044466416,-1.7968785121558937
1889,-4.276357688448626,-3.7293198853573504,-2.973603583095863,-2.2178872808343755,-1.6708494777431002
1890,-4.049384420413895,-3.520531348053721,-2.7899367053705504,-2.0593420626873797,-1.5304889903272063
1891,-3.817749646677362,-3.3060654862221117,-2.5991891799049505,-1.8923128735877894,-1.3806287131325394
1892,-3.5862958287946993,-3.0905685395153597,-2.4057361716839454,-1.7209038038525313,-1.225176514573192
1893,-3.356453121032124,-2.8753469819689785,-2.2107132942173546,-1.5460796064657307,-1.0649734674025857
1894,-3.124684101246637,-2.6567801051940814,-2.0103847816679465,-1.3639894581418117,-0.8960854620892562
1895,-2.8887442879209155,-2.432586006813454,-1.8024170358639857,-1.1722480649145175,-0.7160897838070563
1896,-2.649596534967043,-2.2036671406997526,-1.5876290698369377,-0.971590998974123,-0.525661604706833
1897,-2.409225732657102,-1.972008233270813,-1.3680053836449169,-0.7640025340190207,-0.32678503463273234
1898,-2.1717769062684047,-1.7417819655476605,-1.1477568638886293,-0.5537317622295981,-0.12373682150885457
1899,-1.9400067793934288,-1.5158517281878263,-0.9298942585737091,-0.3439367889595919,0.08021826224601014
1900,-1.7126341926788142,-1.2930537985171795,-0.7134160802727951,-0.13377836202841065,0.28580203213322364
1901,-1.4881428650131503,-1.0720468743130669,-0.4972227548449837,0.07760136462309952,0.4936973553231825
1902,-1.2669374296731797,-0.8533415671678186,-0.28197129974399715,0.2893989676798243,0.7029948301851849
1903,-1.0498205940513565,-0.6378752948902601,-0.06878523117471502,0.50030483254083,0.9122501317019259
1904,-0.8383274239368138,-0.42728456002737847,0.14055881648014967,0.7084021929876778,1.1194450568971128
1905,-0.6340889987542373,-0.22334091850020776,0.34409522323712416,0.9115313649744561,1.3222794452284852
1906,-0.4389400124910837,-0.02798978016281195,0.539725628596246,1.1074410373553039,1.5183912696835753
1907,-0.2548723544362361,0.15663564122419493,0.7251215832819291,1.2936075253396633,1.705115521000094
1908,-0.0850524572526209,0.32728560286920516,0.8969182540608589,1.4665509052525127,1.8788889653743384
1909,0.0672674448587639,0.4806045580863688,1.0516173711509236,1.6226301842154784,2.035967297443083
1910,0.20175206291779613,0.6161906339988108,1.1887250780208092,1.7612595220428076,2.1756980931238217
1911,0.3195355182930508,0.7350892578309279,1.3091642735974318,1.8832392893639356,2.2987930289018124
1912,0.42288665527709146,0.8395021386416412,1.4150439216299127,1.990585704618184,2.4072011879827335
1913,0.5149145430910187,0.9324524550147233,1.5092685453650923,2.086084635715461,2.503622547639165
1914,0.5992454690009638,1.0175239468051722,1.5953631066868112,2.1732022665684503,2.5914807443726584
1915,0.6801170378990884,1.0989199413144322,1.6774835794339893,2.2560472175535464,2.6748501209688897
1916,0.7617855721168337,1.1808988370238898,1.7598912302268355,2.338883623429781,2.757996888336837
1917,0.8487702641860165,1.2680010351691275,1.8471557594884747,2.4263104838078218,2.8455412547909322
1918,0.9437110765298008,1.3628970232778643,1.9419898242621692,2.521082625246474,2.940268571994537
1919,1.0475642456825134,1.4665773777840865,2.0454314405223606,2.6242855032606345,3.0432986353622073
1920,1.1590021751447834,1.5777377358988802,2.1562083421536293,2.734678948408378,3.1534145091624746
1921,1.2739178053340736,1.692290781471443,2.2702604879633936,2.8482301944553443,3.266603170592713
1922,1.3884180182467587,1.8063567132115361,2.3837264733011754,2.9610962333908146,3.3790349283555914
1923,1.4986541079195388,1.9161391650723316,2.492882238143448,3.069625311214564,3.4871103683673565
1924,1.6015337029185066,2.0185775565050035,2.5947111200947237,3.170844683684444,3.58788853727094
1925,1.6949063641354702,2.111555856634246,2.6871446222204565,3.262733387806667,3.6793828803054422
1926,1.7775563251830937,2.1938524369457624,2.768953017653941,3.34405359836212,3.760349710124788
1927,1.8497341573239807,2.2657357165030048,2.840429381659688,3.4151230468163716,3.831124605995395
1928,1.9122039892772373,2.327948158466631,2.902286247079786,3.476624335692941,3.8923685048823344
