time,NearestPointAverage,PressureDifference,NearestPointAverage_trend,NearestPointAverage_dt,NearestPointAverage_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1836,4.869834730870036,-1.1845054702881153,2.4093707493365017,2.460463981533534,-0.572556071434149,-4.253859217657754,3.069353747369639,0.5759686531265694
1837,1.3752710393876106,-3.7403596769261895,2.4230287596807574,-1.0477577202931467,-0.5633921912865161,-4.176520085493008,0.4361604085668187,0.47649595151537494
1838,-0.22624184687241047,-4.999466188439581,2.4367207339108914,-2.6629625807833017,-0.5501614848327495,-4.100308502817327,-0.8991576856222538,0.3799963489615811
1839,1.408600709685986,-5.103648421752611,2.4504456196594107,-1.0418449099734246,-0.5347410247219879,-4.025215054803207,-1.0784333669494046,0.2849747191903289
1840,3.7170740343083404,-2.4591322802573132,2.4642023645588162,1.2528716697495241,-0.5175566898344991,-3.951230326623167,1.4920980463658537,0.19099565009260341
1841,1.7998568393966787,-3.5948791781816443,2.477989916241624,-0.6781330768449452,-0.4983462412604362,-3.878344903449652,0.28346572526800795,0.09880428979094547
1842,0.5753075579208403,-4.13675166737431,2.4918072223403347,-1.9164996644194945,-0.4774389880925903,-3.806549370455184,-0.33020229691912606,0.00904170639790793
1843,2.406825442492129,-3.8432931505934778,2.5056532304874546,-0.09882778799532543,-0.4546884393788871,-3.7358343128122558,-0.107458837781222,-0.07733743935441338
1844,-0.19810314190289152,-7.367961849637419,2.519526888315486,-2.7176300302183773,-0.4276258846364446,-3.6661903156933864,-3.701771533944033,-0.15802300518102946
1845,3.5576920350974772,-2.730255838800599,2.5334271434569433,1.024264891640534,-0.3886142941476267,-3.597607964271025,0.867352125470426,-0.22706249820857852
1846,2.3948647682770168,-4.419506530047658,2.547352943544329,-0.15248817526731218,-0.31802830519326053,-3.530077843717689,-0.8894286863299694,-0.27044886641324695
1847,2.2793605418574607,-3.8920839739000894,2.5613032362101475,-0.2819426943526868,-0.2268912066758713,-3.4635905392058737,-0.42849343469421575,-0.3008579294527259
1848,2.917386430684062,-4.3296850326622085,2.5752769690869024,0.3421094615971594,-0.12072853771434107,-3.398136635908096,-0.9315483967541125,-0.32887813002677535
1849,1.4514227384876097,-3.680107024012755,2.589273089807108,-1.1378503513194982,-0.007831078635691787,-3.3337067189968077,-0.3464003050159472,-0.3464495323552555
1850,4.8780917739879435,-1.9261795028209057,2.603290546003265,2.2748012279846783,0.08541514829545946,-3.2702913736445245,1.3441118708236188,-0.34316115321133306
1851,1.8517660142397556,-4.4249475542189805,2.617328285307881,-0.7655622710681254,0.1505928655470495,-3.207881185023743,-1.2170663691952375,-0.31819569752893456
1852,2.606067815758615,-3.0985864160634606,2.631385255353457,-0.025317439594842117,0.19056213147902185,-3.146466738306978,0.04788032224351735,-0.2824884780000399
1853,0.8288994866991938,-5.248281547880302,2.645460403772508,-1.8165609170733141,0.23926096448100365,-3.0860386186666835,-2.162242929213619,-0.24419267956444052
1854,5.543471548954372,-0.23214784607242595,2.659552678197536,2.883918870756836,0.3205747124845859,-3.026587411275375,2.794439565202949,-0.21163468281800768
1855,4.49147000618796,-3.9136696763502172,2.6736610262610467,1.8178089799269133,0.45109072355829266,-2.9681037013055476,-0.9455659750446697,-0.17668933724864816
1856,-5.305965713412387,-2.4520500291228946,2.6877843955955414,-7.993750109007928,0.5925585187304708,-2.910578073929715,0.4585280448068203,-0.1499292249971107
1857,1.8315588690086724,-3.652108048809772,2.701921733833536,-0.8703628648248638,0.7115778335433769,-2.8540011143203348,-0.7981069344894371,-0.12902402003515928
1858,-0.29784557433992886,-2.998596447275753,2.716071988607532,-3.0139175629474613,0.8124224537471617,-2.7983634076499206,-0.20023303962583228,-0.10272406953440036
1859,5.824708135260108,-1.1408880797998897,2.730234107550036,3.0944740277100724,0.8962008460995379,-2.7436555390909683,1.6027674592910786,-0.06387502697202262
1860,1.5265672326644784,-3.3089132192760373,2.7444070382935477,-1.2178398056290693,0.988569069318201,-2.6898680938159893,-0.619045125460048,-0.005408539375916267
1861,8.026149654219527,-2.238414012848754,2.758589728470584,5.267559925748943,1.0882358354396757,-2.636991656997444,0.3985776441486899,0.06519932877119532
1862,4.189552845122837,-4.1143631908661495,2.7727811257136463,1.416771719409191,1.1849029685848653,-2.585016813807845,-1.5293463770583045,0.1301842266006941
1863,7.7469257800502485,0.41667198707768865,2.78698017765524,4.959945602395008,1.2733841543820386,-2.5339341494196876,2.950606136497376,0.1737415028641182
