Statistical model,Degrees of freedom,Deviance
Tr : Trend only,5.6,1432.0
TrNc : Trend and nodal tide,7.6,1380.0
"TrNcZw : Trend, nodal tide and wind (velocity)",8.5,806.0
"TrNcPd : Trend, nodal tide and wind (pressure)",8.5,1044.0
